Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,User Points:,Peer Points:,Action type:,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/25 - 01:09:31.2749097,3.714975,1,0,User hit user's target,0.01729679,0.02754225,-0.3858176,339.2529,107.8896,348.8553,0.4663147,-0.2815985,-0.5338282,337.4835,114.2458,344.3249
2018/06/25 - 01:09:33.6015432,6.043867,2,0,User hit user's target,0.102024,-0.01626569,-0.3292968,10.14654,55.15881,3.102335,0.4620707,-0.517891,-0.2546186,11.5117,62.23393,6.930681
2018/06/25 - 01:09:35.8367695,8.277795,3,0,User hit user's target,0.06252667,0.02027405,-0.3994447,342.8362,333.2101,356.8711,0.05505634,-0.3298099,-0.2582196,330.0918,334.5033,353.0658
2018/06/25 - 01:09:37.6583078,10.09984,4,0,User hit user's target,0.06019872,-0.007800133,-0.3605267,2.675874,357.0081,358.6808,0.1891569,-0.5316688,-0.1789132,10.64189,1.39849,358.6602
2018/06/25 - 01:09:38.4017382,10.84391,5,0,User hit user's target,0.0749867,0.03733948,-0.4366184,330.1352,345.2017,356.1131,0.08346774,-0.2157629,-0.1814533,321.0276,341.9526,358.2416
2018/06/25 - 01:09:39.1148311,11.55612,6,0,User hit user's target,0.08964788,0.01988348,-0.434012,348.1517,351.9613,356.4955,0.09425575,-0.4564415,-0.2120629,4.644778,344.0587,355.5838
2018/06/25 - 01:09:39.7910879,12.23294,5,0,User missed,0.04582127,0.02575936,-0.4370122,341.1279,329.113,359.9572,-0.04092195,-0.3403915,-0.222561,346.817,323.4028,359.8545
2018/06/25 - 01:09:40.1137332,12.55564,4,0,User missed,0.03924415,0.009394517,-0.4136367,353.6341,330.1546,358.3495,-0.01535119,-0.4430308,-0.2201997,3.86136,329.033,357.7496
2018/06/25 - 01:09:40.7570135,13.19901,5,0,User hit user's target,0.08658846,-0.01525443,-0.375501,9.998401,3.582165,358.1508,0.183679,-0.5351941,-0.2257106,21.80131,1.359533,1.431037
2018/06/25 - 01:09:41.5357716,13.97733,6,0,User hit user's target,0.1151647,0.02442515,-0.4270581,342.5815,24.1472,351.2412,0.2845397,-0.2833536,-0.2346532,334.1559,18.96901,0.6486759
