Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/21 - 03:57:20.084866,0.02384755,0.7817334,0.2982335,-0.6160228,15.84689,287.879,0.3088731,0.554683,-0.08374335,-0.4698521,356.459,276.3369,337.8557
2018/06/21 - 03:57:20.103825,0.04572589,0.7831722,0.2978297,-0.6183198,15.97408,288.0265,0.1156128,0.5562713,-0.08357483,-0.4712114,357.0688,276.4813,337.7619
2018/06/21 - 03:57:20.125777,0.06837337,0.7843718,0.2972572,-0.6204875,16.11543,288.0975,359.8587,0.5579404,-0.08337061,-0.4719614,357.5646,277.5924,337.79
2018/06/21 - 03:57:20.148695,0.09035241,0.7856032,0.2969022,-0.6226477,16.56607,288.248,359.9572,0.5595813,-0.08300261,-0.4724364,357.9947,279.2232,338.1725
2018/06/21 - 03:57:20.168642,0.110639,0.7866669,0.29653,-0.6249208,16.95563,288.3947,0.06005142,0.5618169,-0.08235362,-0.4731164,358.2643,280.1384,338.5891
2018/06/21 - 03:57:20.190583,0.1327307,0.7876557,0.296167,-0.6274249,17.40325,288.6056,0.4481209,0.5648814,-0.08175679,-0.4737978,358.3701,280.2902,338.3456
2018/06/21 - 03:57:20.212544,0.1552493,0.7888071,0.2957464,-0.6299189,17.74361,288.5942,0.6324004,0.5672734,-0.08187892,-0.4742375,359.2632,280.127,337.5125
2018/06/21 - 03:57:20.233469,0.1757805,0.789695,0.2956745,-0.6323895,17.90466,288.6735,0.7335084,0.5701374,-0.08194388,-0.4748172,359.6699,279.6364,336.8876
2018/06/21 - 03:57:20.256407,0.1983171,0.7909389,0.2951902,-0.6345173,18.01472,288.6451,1.455907,0.5733462,-0.08214067,-0.4751643,359.7188,279.2941,336.242
2018/06/21 - 03:57:20.279346,0.2219789,0.7924685,0.2948186,-0.6366957,18.44263,288.7647,2.186056,0.5765165,-0.08232927,-0.4758807,359.8292,279.1437,336.0521
2018/06/21 - 03:57:20.302284,0.2441306,0.7937019,0.2945602,-0.6388146,18.37817,288.4575,1.958759,0.579907,-0.08247197,-0.4769584,359.5467,278.5916,336.1562
2018/06/21 - 03:57:20.325222,0.2674977,0.7950594,0.2941198,-0.6405653,18.24606,288.3341,2.080116,0.5834085,-0.08281331,-0.4779922,359.1618,278.4183,336.4726
2018/06/21 - 03:57:20.346167,0.2884254,0.7966675,0.2934922,-0.642297,18.26983,288.132,2.286226,0.5868958,-0.08325517,-0.4787654,358.9076,278.4889,336.8174
2018/06/21 - 03:57:20.369105,0.3107614,0.7987872,0.2926128,-0.6439221,18.42054,287.7397,2.54721,0.5905181,-0.08387086,-0.4793127,358.7849,278.9224,337.2054
2018/06/21 - 03:57:20.391074,0.3332928,0.801245,0.2917292,-0.6456501,18.69199,287.2661,2.747007,0.5940791,-0.08467235,-0.4800742,358.6122,279.2442,337.5882
2018/06/21 - 03:57:20.414028,0.3558391,0.8042518,0.2911416,-0.6475416,18.83344,286.5693,3.134556,0.5974848,-0.08553664,-0.4810756,358.4005,279.4095,337.9941
2018/06/21 - 03:57:20.435953,0.378226,0.8075609,0.2907656,-0.6497625,18.86949,285.6295,3.65547,0.6007364,-0.08640567,-0.4822688,358.2657,279.5135,338.3059
2018/06/21 - 03:57:20.457896,0.4003572,0.8109531,0.2906541,-0.6523073,18.59164,284.3604,4.235235,0.6040835,-0.08728738,-0.4838831,358.0717,279.5203,338.6862
2018/06/21 - 03:57:20.479837,0.422423,0.8146484,0.2908463,-0.6554687,18.12274,282.9198,4.803028,0.6074234,-0.0884743,-0.4863204,357.8155,279.3552,339.355
2018/06/21 - 03:57:20.501778,0.4441788,0.8186673,0.2912623,-0.6593898,17.80301,281.229,5.125274,0.6104782,-0.08989228,-0.4894777,358.0322,278.661,340.4585
2018/06/21 - 03:57:20.524716,0.4668792,0.8227968,0.2916663,-0.6638251,17.31457,279.041,5.519557,0.6130346,-0.09123334,-0.4927702,358.7285,277.4695,341.2257
2018/06/21 - 03:57:20.546658,0.4889922,0.8268712,0.2919917,-0.6688346,16.74002,276.4883,5.694408,0.61571,-0.09204997,-0.4960829,359.2319,276.7884,342.0396
2018/06/21 - 03:57:20.569597,0.5114806,0.8311589,0.2919503,-0.6739734,16.3188,273.9788,5.424699,0.6184479,-0.09257407,-0.5002052,359.2635,276.0512,343.4579
2018/06/21 - 03:57:20.591538,0.5338346,0.8361853,0.2915704,-0.6791481,16.24541,271.318,5.157909,0.6208012,-0.09300134,-0.5045917,358.8703,275.8683,344.5746
2018/06/21 - 03:57:20.613479,0.5560161,0.8416282,0.2915808,-0.6837633,16.12942,268.6987,4.963164,0.6228098,-0.09369172,-0.5093897,359.1237,275.6898,345.8236
2018/06/21 - 03:57:20.635422,0.5780762,0.8470919,0.2922404,-0.6878175,15.67307,266.4917,4.456255,0.6245409,-0.09465674,-0.5144711,359.7617,275.3497,346.8098
2018/06/21 - 03:57:20.658359,0.6006466,0.8525217,0.2932676,-0.6911534,14.9029,264.5544,3.957134,0.6263989,-0.09578965,-0.5199429,0.4100791,274.9257,347.3501
2018/06/21 - 03:57:20.680301,0.6223218,0.8576416,0.2946604,-0.6942824,13.93573,262.771,3.626244,0.6283612,-0.09731604,-0.5261169,1.28596,273.9023,347.6691
