Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (s):,User Points:,Peer Points:,Action type:,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/21 - 03:57:23.876327,3.815904,1,0,User hit user's target,0.9241753,0.3334894,-0.690385,348.5826,254.2226,357.7268,0.7026659,-0.09142018,-0.6351194,349.9952,247.0759,6.315636
2018/06/21 - 03:57:25.627456,5.569327,1,1,Peer hit peer's target,0.9582042,0.3502132,-0.6931966,333.2397,250.6198,1.126033,0.770623,-0.03282264,-0.6576938,320.9051,241.6508,11.10098
2018/06/21 - 03:57:26.016760,5.9581,2,1,User hit user's target,0.9490287,0.3491574,-0.6807351,336.5023,266.9716,356.7651,0.7075724,-0.02895284,-0.6012886,333.7097,269.9727,356.7456
2018/06/21 - 03:57:27.461306,7.403367,3,1,User hit user's target,0.9149304,0.321862,-0.6835619,359.6373,281.022,359.2846,0.6462767,-0.221789,-0.5009527,14.274,289.3694,2.341565
2018/06/21 - 03:57:29.327228,9.269257,3,2,Peer hit peer's target,0.9150544,0.3210222,-0.7228929,358.637,232.6445,1.142565,0.6959223,-0.1851888,-0.7661852,6.814511,230.7368,356.3974
2018/06/21 - 03:57:31.896231,11.83782,3,1,Peer missed,0.9698387,0.34439,-0.7824631,339.6697,251.0051,8.589083,0.7837835,-0.07224255,-0.7472435,347.5026,242.3963,0.4456986
2018/06/21 - 03:57:32.028920,11.97088,4,1,User hit user's target,0.9629637,0.33912,-0.7857231,343.6296,248.109,8.397582,0.7736325,-0.1027867,-0.7391775,352.035,243.6512,0.4795847
2018/06/21 - 03:57:32.763292,12.70513,4,2,Peer hit peer's target,0.9547673,0.341951,-0.7149504,342.1172,279.0721,0.2080238,0.8225247,-0.1463471,-0.7192415,351.2166,243.182,2.453919
2018/06/21 - 03:57:33.209100,13.15052,5,2,User hit user's target,0.9523421,0.3398215,-0.7158407,344.9008,277.143,359.2801,0.7543291,-0.09171074,-0.6519643,345.8344,267.2168,356.3253
2018/06/21 - 03:57:33.751491,13.69289,6,2,User hit user's target,0.9538898,0.3409074,-0.7162971,343.6075,270.764,359.2406,0.7369545,-0.08637735,-0.6635331,344.2376,262.6774,358.4954
2018/06/21 - 03:57:33.874164,13.81601,6,3,Peer hit peer's target,0.9543233,0.3405269,-0.7087122,344.2104,274.6749,357.7784,0.7282953,-0.07055274,-0.6507827,342.3953,265.7547,356.3673
2018/06/21 - 03:57:34.550379,14.49249,7,3,User hit user's target,0.9783852,0.3200322,-0.6552341,359.3326,331.4924,355.5074,0.8354797,-0.2554709,-0.3046463,15.95269,332.3123,355.0377
