Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/21 - 03:59:22.156398,120.0083,1.03893,0.3111365,-0.7584695,358.8232,193.7322,1.415552,0.9243352,-0.08708343,-0.8692726,349.3696,192.2629,357.8487
2018/06/21 - 03:59:22.167370,120.0206,1.037663,0.31132,-0.7582957,358.6949,194.2453,1.271078,0.9221566,-0.08566692,-0.8686262,349.3942,192.818,357.2767
2018/06/21 - 03:59:22.179336,120.0331,1.03632,0.3115128,-0.758108,358.5543,194.827,1.15056,0.9203379,-0.08437856,-0.8679822,349.3496,193.3559,356.9775
2018/06/21 - 03:59:22.190307,120.0437,1.035009,0.3117849,-0.7577873,358.4687,195.4312,1.016322,0.9187865,-0.0831439,-0.8671879,349.2195,193.6288,356.9465
2018/06/21 - 03:59:22.199285,120.053,1.033627,0.3119993,-0.7574601,358.3054,196.0731,0.9017451,0.9173968,-0.08195687,-0.8662111,348.9788,193.7896,357.0886
2018/06/21 - 03:59:22.211250,120.0639,1.032325,0.3122647,-0.7570689,358.186,196.7662,0.7500501,0.9160972,-0.08073965,-0.8649657,348.5641,193.9806,357.391
2018/06/21 - 03:59:22.221224,120.0748,1.030908,0.3124949,-0.7566898,358.0243,197.4957,0.6279449,0.9146674,-0.07945675,-0.8636327,348.0966,194.2739,357.5958
2018/06/21 - 03:59:22.232194,120.0852,1.029527,0.3127711,-0.7562563,357.9103,198.2369,0.428549,0.9131263,-0.07818479,-0.8623041,347.6672,194.6626,357.6849
2018/06/21 - 03:59:22.242168,120.0964,1.028118,0.3130244,-0.7557531,357.7597,198.9975,0.278087,0.9113139,-0.07698132,-0.8609101,347.3394,195.2157,357.6602
2018/06/21 - 03:59:22.254137,120.1077,1.026673,0.3132105,-0.7553519,357.5784,199.771,0.1627157,0.9093533,-0.0759002,-0.8595482,347.1017,195.9708,357.515
2018/06/21 - 03:59:22.265613,120.1189,1.025238,0.3134807,-0.7548995,357.4566,200.592,359.9921,0.9074026,-0.07499631,-0.8582359,346.9403,196.7237,357.3507
2018/06/21 - 03:59:22.277582,120.1307,1.023726,0.3137029,-0.7544037,357.301,201.393,359.8542,0.9053804,-0.07417249,-0.8568867,346.8299,197.3987,357.197
2018/06/21 - 03:59:22.286559,120.14,1.022384,0.3139518,-0.7538802,357.1991,202.1464,359.6996,0.9033813,-0.07351144,-0.8555791,346.8421,198.0211,357.0271
2018/06/21 - 03:59:22.296531,120.1506,1.021046,0.3140977,-0.7534209,357.0455,202.917,359.6346,0.9013274,-0.0730012,-0.8543354,346.9254,198.5695,356.8587
2018/06/21 - 03:59:22.308499,120.162,1.019812,0.3143021,-0.7529656,356.9507,203.6397,359.4691,0.8993635,-0.07255845,-0.8529612,346.934,199.0216,356.7626
2018/06/21 - 03:59:22.320466,120.1744,1.018598,0.3144903,-0.7525163,356.8679,204.3711,359.3901,0.897411,-0.07231048,-0.8515275,346.9323,199.5431,356.6829
2018/06/21 - 03:59:22.332435,120.186,1.017419,0.314617,-0.7521067,356.7294,205.1032,359.2838,0.8955057,-0.07220042,-0.8501617,346.9569,200.1264,356.5556
2018/06/21 - 03:59:22.342409,120.1968,1.016253,0.3148569,-0.7515577,356.6979,205.7906,359.1588,0.893571,-0.07221388,-0.8487369,346.9741,200.6646,356.4387
2018/06/21 - 03:59:22.355374,120.208,1.015059,0.3149655,-0.7511344,356.5651,206.4801,359.063,0.8916337,-0.07238843,-0.8473142,347.0054,201.2224,356.3083
2018/06/21 - 03:59:22.364349,120.2187,1.013915,0.3152086,-0.7506169,356.51,207.1522,358.8678,0.8896415,-0.07258778,-0.8459022,347.0373,201.799,356.1908
2018/06/21 - 03:59:22.376317,120.23,1.012738,0.315365,-0.7501107,356.4452,207.8322,358.7766,0.8876168,-0.07285463,-0.8444266,347.0694,202.4405,356.1149
2018/06/21 - 03:59:22.387289,120.2407,1.011705,0.3154585,-0.74965,356.3614,208.5641,358.6402,0.8856834,-0.07332993,-0.8429905,347.0757,203.0612,356.1118
2018/06/21 - 03:59:22.397261,120.2516,1.010678,0.3155956,-0.7490493,356.3129,209.2835,358.5345,0.8837831,-0.07393111,-0.8416241,347.0918,203.6626,356.1419
2018/06/21 - 03:59:22.410227,120.2627,1.009585,0.3157441,-0.748518,356.2512,210.0168,358.4083,0.8818424,-0.07482173,-0.8404272,347.1954,204.3245,356.1971
2018/06/21 - 03:59:22.419202,120.2737,1.008533,0.3158745,-0.7479681,356.2393,210.7863,358.333,0.8798502,-0.07591718,-0.8393134,347.3481,205.0641,356.2467
2018/06/21 - 03:59:22.431170,120.2847,1.007457,0.3159285,-0.7474638,356.172,211.5034,358.2414,0.8778297,-0.07703446,-0.8381772,347.557,205.8217,356.2741
2018/06/21 - 03:59:22.442142,120.2965,1.006488,0.3160289,-0.7469398,356.157,212.2625,358.1421,0.8758689,-0.07822575,-0.8369978,347.7978,206.4635,356.3151
2018/06/21 - 03:59:22.454111,120.3074,1.005432,0.3160421,-0.7463975,356.0347,212.9767,358.1268,0.8739491,-0.0793907,-0.8357655,347.9689,206.971,356.3893
2018/06/21 - 03:59:22.464101,120.3183,1.004414,0.316231,-0.7458634,355.977,213.6793,357.961,0.8719765,-0.08059698,-0.8345618,348.1525,207.4309,356.5234
2018/06/21 - 03:59:22.476050,120.3294,1.003403,0.3163402,-0.745312,355.8558,214.4604,357.9362,0.8698628,-0.08174708,-0.8333313,348.3591,207.9853,356.5945
2018/06/21 - 03:59:22.488018,120.3412,1.002417,0.3165115,-0.7447039,355.7543,215.1701,357.8576,0.8675969,-0.08280953,-0.8320075,348.5297,208.6929,356.5262
2018/06/21 - 03:59:22.498014,120.3521,1.001696,0.3165621,-0.7441582,355.5745,215.9603,357.7849,0.8652523,-0.0837983,-0.8306143,348.7346,209.4862,356.368
2018/06/21 - 03:59:22.509962,120.3635,1.001005,0.3166621,-0.7435593,355.472,216.7341,357.7486,0.8629542,-0.08473117,-0.8292083,349.0048,210.2227,356.2264
2018/06/21 - 03:59:22.520954,120.375,1.000283,0.3168097,-0.7429888,355.3808,217.5264,357.6723,0.8606924,-0.08551829,-0.8277156,349.241,210.8932,356.097
2018/06/21 - 03:59:22.531924,120.3856,0.9995543,0.3169124,-0.7423456,355.2635,218.3265,357.6767,0.8585225,-0.08610956,-0.8260871,349.3957,211.5468,355.9607
2018/06/21 - 03:59:22.542872,120.3966,0.9989194,0.3170744,-0.7417706,355.1837,219.0806,357.5985,0.856443,-0.0866364,-0.8244368,349.5168,212.1828,355.9074
2018/06/21 - 03:59:22.554858,120.4083,0.9981745,0.3171186,-0.7412176,355.0172,219.7771,357.6445,0.8544852,-0.08703534,-0.8227295,349.553,212.7468,355.9688
2018/06/21 - 03:59:22.564813,120.4192,0.997528,0.3173287,-0.7406038,354.9755,220.4551,357.5962,0.8526115,-0.08739157,-0.8210334,349.5331,213.2952,356.0901
2018/06/21 - 03:59:22.576801,120.4297,0.9966536,0.3175048,-0.7400388,354.8524,221.1054,357.5573,0.8507025,-0.08775508,-0.819381,349.5391,213.8939,356.1948
2018/06/21 - 03:59:22.587752,120.4412,0.9959203,0.3176702,-0.7393858,354.7408,221.7667,357.5609,0.8488126,-0.08803519,-0.8177366,349.5778,214.5094,356.3062
2018/06/21 - 03:59:22.597725,120.4517,0.9952279,0.3178661,-0.738836,354.6614,222.4299,357.5276,0.8469401,-0.08829637,-0.816093,349.6075,215.0447,356.4193
2018/06/21 - 03:59:22.609718,120.4628,0.994544,0.3180726,-0.7383394,354.5735,223.0882,357.4219,0.8450435,-0.08858541,-0.8144871,349.6329,215.5622,356.5207
2018/06/21 - 03:59:22.619666,120.4741,0.9938573,0.3182623,-0.7377755,354.4684,223.7532,357.378,0.8430393,-0.08878937,-0.8128453,349.6821,216.1015,356.616
2018/06/21 - 03:59:22.632632,120.4855,0.993188,0.3184636,-0.7372211,354.3732,224.4325,357.3436,0.8408289,-0.08884226,-0.8111082,349.6901,216.8079,356.5843
2018/06/21 - 03:59:22.642606,120.4967,0.9924598,0.3186037,-0.7366661,354.2488,225.1019,357.4076,0.8385888,-0.08884185,-0.8092962,349.6792,217.6014,356.5509
2018/06/21 - 03:59:22.654574,120.5079,0.9918907,0.3188037,-0.7361226,354.1721,225.7822,357.3928,0.8363369,-0.08878217,-0.8074436,349.6573,218.3908,356.5307
2018/06/21 - 03:59:22.665544,120.5193,0.9913398,0.3190171,-0.7356523,354.1047,226.478,357.3799,0.8341939,-0.0887379,-0.8056043,349.637,219.0428,356.5643
2018/06/21 - 03:59:22.676515,120.53,0.9907942,0.3191923,-0.7351134,354.0347,227.1401,357.4138,0.8321817,-0.08874314,-0.8038134,349.6046,219.6091,356.6577
2018/06/21 - 03:59:22.688482,120.5416,0.9903488,0.3193882,-0.7346278,353.9755,227.8182,357.3901,0.8301548,-0.08873298,-0.8019956,349.5695,220.2032,356.7425
2018/06/21 - 03:59:22.699454,120.5531,0.9898973,0.3194959,-0.7341672,353.8394,228.5405,357.413,0.8281363,-0.08875296,-0.8001704,349.5297,220.8386,356.8223
2018/06/21 - 03:59:22.710424,120.5635,0.9893477,0.3196206,-0.7335936,353.7008,229.2609,357.4143,0.8261281,-0.08879676,-0.7983642,349.5189,221.4707,356.9138
2018/06/21 - 03:59:22.720397,120.5744,0.9888554,0.3198107,-0.7330225,353.6065,230.064,357.422,0.8241882,-0.08882787,-0.7965339,349.5334,222.0565,357.0443
2018/06/21 - 03:59:22.731368,120.5851,0.9884295,0.3199899,-0.7324567,353.525,230.888,357.4566,0.8222905,-0.08881764,-0.7946582,349.4764,222.6039,357.1465
2018/06/21 - 03:59:22.743357,120.597,0.9879786,0.320127,-0.7319053,353.4151,231.7112,357.5215,0.8204026,-0.08876786,-0.7927388,349.3793,223.1602,357.2776
2018/06/21 - 03:59:22.754326,120.6078,0.9875975,0.3202982,-0.7313326,353.3487,232.4813,357.5148,0.8182641,-0.08865986,-0.7906383,349.3126,223.8293,357.43
2018/06/21 - 03:59:22.764281,120.6186,0.9871501,0.3204226,-0.7307271,353.2607,233.2244,357.5665,0.8161852,-0.0885482,-0.7886585,349.2501,224.5247,357.5139
2018/06/21 - 03:59:22.777246,120.6302,0.9867057,0.3205532,-0.7301609,353.2,233.9586,357.6302,0.8141269,-0.08843252,-0.7866966,349.1835,225.2425,357.6236
2018/06/21 - 03:59:22.788235,120.6413,0.9863955,0.3207187,-0.7296394,353.14,234.7024,357.6307,0.8121327,-0.08836279,-0.7847357,349.1243,225.9306,357.7592
2018/06/21 - 03:59:22.798190,120.6524,0.9860986,0.320921,-0.7290549,353.0937,235.3884,357.6322,0.8101462,-0.08828905,-0.782751,349.0946,226.5756,357.88
2018/06/21 - 03:59:22.810158,120.6632,0.9857986,0.3210715,-0.7285444,353.0098,236.0892,357.6653,0.8082026,-0.08821798,-0.7807547,349.0637,227.2283,357.984
2018/06/21 - 03:59:22.820130,120.674,0.985575,0.3212762,-0.7280196,352.9589,236.7691,357.6836,0.8062883,-0.08814256,-0.7787166,349.1097,227.8902,358.0533
2018/06/21 - 03:59:22.832099,120.6852,0.9853889,0.3214765,-0.7276293,352.8856,237.4777,357.6818,0.8044049,-0.08800407,-0.776585,349.1542,228.5641,358.0947
2018/06/21 - 03:59:22.842072,120.6966,0.9851522,0.32163,-0.7271869,352.7777,238.1559,357.7445,0.8026922,-0.08780937,-0.7743781,349.1126,229.1973,358.0912
2018/06/21 - 03:59:22.855037,120.7085,0.9849504,0.3218338,-0.7267318,352.738,238.7893,357.8156,0.8010611,-0.08763443,-0.7721829,349.0625,229.8054,358.11
2018/06/21 - 03:59:22.866009,120.7199,0.9847338,0.3220241,-0.7263047,352.6911,239.4084,357.8342,0.7995273,-0.08748987,-0.7699662,348.9959,230.4072,358.1536
2018/06/21 - 03:59:22.876978,120.7307,0.9845106,0.322122,-0.7259551,352.579,240.0922,357.8737,0.7979806,-0.08737522,-0.7677251,348.9338,231.0309,358.2356
