Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (s):,User Points:,Peer Points:,Action type:,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/21 - 03:59:22.144429,119.9969,0,0,User missed,1.04012,0.3109072,-0.7587285,358.8679,193.2495,1.467688,0.9264319,-0.08867729,-0.8697793,349.2623,191.7796,358.4324
2018/06/21 - 03:59:24.815085,122.6667,1,0,User hit user's target,1.006609,0.3414733,-0.7192893,338.5815,275.0024,0.5649819,0.8163329,0.01583143,-0.6174816,329.409,267.105,354.1781
2018/06/21 - 03:59:25.777773,123.63,0,0,User missed,1.011505,0.3370228,-0.702777,342.8192,279.5672,358.6899,0.8054448,-0.05692921,-0.6033927,348.8177,267.0842,358.42
2018/06/21 - 03:59:26.165718,124.019,1,0,User hit user's target,1.01116,0.3392822,-0.703655,340.6852,281.9948,358.3516,0.7925981,0.007128664,-0.5715026,329.4561,281.8397,354.3212
2018/06/21 - 03:59:27.111063,124.9637,1,1,Peer hit peer's target,1.013325,0.336295,-0.6930538,343.3015,282.4415,359.1465,0.8117888,-0.06968953,-0.5763927,348.3443,274.0514,352.874
2018/06/21 - 03:59:28.037583,125.8855,2,1,User hit user's target,1.009585,0.3349219,-0.6903036,344.4277,281.1148,358.4117,0.8130333,-0.02606221,-0.5922292,338.5591,271.76,355.5429
2018/06/21 - 03:59:28.189426,126.0411,2,2,Peer hit peer's target,1.01548,0.3366875,-0.6875377,342.8751,283.8852,357.583,0.8087346,-0.02059009,-0.5753509,337.9947,275.9403,355.6042
2018/06/21 - 03:59:28.600326,126.4529,2,3,Peer hit peer's target,1.024138,0.3376442,-0.6799402,342.1598,297.1888,355.9922,0.8240231,-0.04460154,-0.5170528,343.5919,286.6865,354.1056
2018/06/21 - 03:59:30.967011,128.8199,2,4,Peer hit peer's target,1.007888,0.3353665,-0.6821527,341.6074,270.6113,356.9953,0.7740839,-0.06946269,-0.5882957,345.0096,269.1217,356.4651
2018/06/21 - 03:59:31.221208,129.0749,2,3,Peer missed,1.020002,0.3407209,-0.6693912,337.726,277.2347,354.7996,0.8034821,0.001533599,-0.5675716,333.2138,274.0883,354.3535
