Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/21 - 04:01:23.495014,240.0126,1.1364,0.3336673,-0.682831,349.2333,4.180431,359.2855,1.217618,0.05033722,-0.426511,340.735,354.3017,3.335037
2018/06/21 - 04:01:23.504986,240.0238,1.137183,0.3336033,-0.6830136,349.3387,4.089282,359.2531,1.215815,0.04768689,-0.424555,341.4708,354.2632,3.77321
2018/06/21 - 04:01:23.517951,240.0358,1.137764,0.3335469,-0.6831168,349.4184,3.980738,359.1485,1.214557,0.04559403,-0.4227917,341.9353,354.6546,3.414298
2018/06/21 - 04:01:23.528923,240.0473,1.138366,0.3334015,-0.6831165,349.4117,3.940477,359.132,1.213572,0.04369067,-0.4212153,342.2609,355.2258,2.833225
2018/06/21 - 04:01:23.537918,240.0567,1.138996,0.3333367,-0.6832027,349.4319,3.812719,359.0227,1.21261,0.04186208,-0.4196942,342.7832,355.4981,2.432503
2018/06/21 - 04:01:23.548870,240.0674,1.139555,0.3332414,-0.6832289,349.4118,3.711888,359.001,1.211494,0.04010192,-0.4182324,343.4264,355.6235,1.930371
2018/06/21 - 04:01:23.559862,240.0786,1.139943,0.3333311,-0.6832721,349.4591,3.628933,358.9466,1.211018,0.03848666,-0.4170409,344.2363,355.503,1.121265
2018/06/21 - 04:01:23.571809,240.0902,1.140404,0.3333604,-0.6832259,349.3947,3.483277,358.9059,1.209984,0.03685532,-0.4158984,345.0213,355.2378,0.687712
2018/06/21 - 04:01:23.581782,240.1012,1.140735,0.3334225,-0.6831746,349.3843,3.363307,358.8793,1.209121,0.03529265,-0.4153034,345.6269,354.8066,0.4138696
2018/06/21 - 04:01:23.593748,240.1117,1.141116,0.3334859,-0.6830438,349.3373,3.228179,358.86,1.208085,0.03378229,-0.4147803,346.1646,354.434,0.02351883
2018/06/21 - 04:01:23.603723,240.1225,1.141446,0.333595,-0.6829342,349.3438,3.082524,358.8458,1.207264,0.03257544,-0.414663,346.5838,353.7607,359.6061
2018/06/21 - 04:01:23.616687,240.1347,1.14165,0.3337675,-0.6827623,349.3288,2.945762,358.765,1.206327,0.03147324,-0.4145656,346.836,353.1981,359.0074
2018/06/21 - 04:01:23.626660,240.1448,1.141908,0.3339582,-0.6826591,349.3991,2.828302,358.7481,1.205391,0.03047102,-0.4148816,346.9923,352.1876,358.2613
2018/06/21 - 04:01:23.637649,240.1563,1.142446,0.3339773,-0.6825578,349.3571,2.725817,358.7004,1.204345,0.02915532,-0.4152971,347.2028,351.0308,357.7696
2018/06/21 - 04:01:23.649599,240.1674,1.142742,0.3340427,-0.6824626,349.3974,2.623927,358.6706,1.203581,0.02792469,-0.4155133,347.5925,350.4662,357.5769
2018/06/21 - 04:01:23.660570,240.1793,1.143226,0.3340576,-0.6823484,349.4107,2.519059,358.6654,1.202714,0.02701215,-0.4155926,347.7245,350.4685,357.3921
2018/06/21 - 04:01:23.672542,240.19,1.143693,0.3340831,-0.6822108,349.4156,2.392987,358.6687,1.201875,0.02607173,-0.415793,347.6984,350.3629,357.3526
2018/06/21 - 04:01:23.682512,240.2012,1.144092,0.3341511,-0.6820977,349.4804,2.230268,358.6628,1.200749,0.02519821,-0.4160901,347.5391,350.2269,357.6851
2018/06/21 - 04:01:23.694480,240.2117,1.14456,0.3340973,-0.6818757,349.4748,2.077201,358.6499,1.199599,0.02437022,-0.4163641,347.3845,350.1198,358.058
2018/06/21 - 04:01:23.703456,240.2224,1.144832,0.3341068,-0.6816761,349.5555,1.924874,358.5778,1.198559,0.02360423,-0.4166525,347.2412,350.0793,358.3412
2018/06/21 - 04:01:23.716420,240.2345,1.145188,0.334011,-0.6813784,349.5811,1.799635,358.5912,1.197648,0.02287296,-0.4169188,347.1717,349.9347,358.4235
2018/06/21 - 04:01:23.727392,240.2455,1.145399,0.333977,-0.6810953,349.6797,1.639685,358.5584,1.196967,0.02216927,-0.417091,347.1767,349.8031,358.3584
2018/06/21 - 04:01:23.737364,240.2562,1.145623,0.3338857,-0.6807643,349.802,1.462285,358.5943,1.1961,0.02149452,-0.4171631,347.2877,349.7859,358.2469
2018/06/21 - 04:01:23.750332,240.2682,1.145679,0.3337536,-0.6804278,349.9472,1.242481,358.608,1.195294,0.0208686,-0.4171729,347.5491,349.7331,358.0565
2018/06/21 - 04:01:23.760303,240.2787,1.145775,0.3335766,-0.6800651,350.0778,0.991431,358.6651,1.194836,0.02037929,-0.4172814,347.8904,349.5711,357.6227
2018/06/21 - 04:01:23.772272,240.2899,1.145823,0.3334534,-0.6796702,350.2992,0.7468513,358.6738,1.194303,0.01989498,-0.417478,348.1013,349.3726,357.1777
2018/06/21 - 04:01:23.782267,240.3013,1.145683,0.3332894,-0.6791978,350.4613,0.490675,358.7419,1.193679,0.01944152,-0.4177288,348.2607,349.1544,356.6954
2018/06/21 - 04:01:23.794213,240.3128,1.145353,0.3332141,-0.6787047,350.6781,0.1928152,358.8353,1.192984,0.01895286,-0.417996,348.3898,348.9499,356.3166
2018/06/21 - 04:01:23.807178,240.3255,1.145075,0.3329798,-0.6781577,350.8629,359.9345,358.9081,1.192211,0.01843884,-0.4183971,348.5072,348.6867,356.0968
2018/06/21 - 04:01:23.816154,240.3344,1.144826,0.3327796,-0.6776545,351.0403,359.6812,358.953,1.191191,0.01792108,-0.4188178,348.5929,348.3934,355.9419
2018/06/21 - 04:01:23.830116,240.3483,1.144795,0.3326075,-0.6772366,351.1635,359.3837,358.9959,1.190065,0.01738414,-0.4193475,348.5774,348.0558,355.8523
2018/06/21 - 04:01:23.840090,240.3592,1.144838,0.3324736,-0.6768491,351.2528,359.1502,359.0871,1.188691,0.01680782,-0.4200104,348.4482,347.7022,355.9028
2018/06/21 - 04:01:23.850066,240.3684,1.14475,0.3323528,-0.6764771,351.2967,358.8773,359.0902,1.187238,0.01610318,-0.4207021,348.3118,347.3307,356.0859
2018/06/21 - 04:01:23.860037,240.3793,1.144544,0.3323954,-0.6761281,351.3755,358.6247,359.169,1.185693,0.01540409,-0.421317,348.2985,346.9129,356.3622
2018/06/21 - 04:01:23.872026,240.3894,1.144025,0.3324386,-0.6756928,351.3844,358.3562,359.1494,1.184205,0.01477663,-0.4219338,348.3459,346.4532,356.6494
2018/06/21 - 04:01:23.881979,240.4005,1.143794,0.3323507,-0.6752908,351.3358,358.0264,359.236,1.182779,0.0142238,-0.4225557,348.3402,345.9942,356.8365
2018/06/21 - 04:01:23.892949,240.4113,1.143487,0.3324058,-0.6750054,351.4063,357.7844,359.2028,1.181391,0.01369159,-0.4231405,348.2461,345.6013,356.94
2018/06/21 - 04:01:23.903920,240.4231,1.14326,0.3323565,-0.6747236,351.3462,357.4707,359.1839,1.180139,0.01314983,-0.4236264,348.1295,345.2908,356.9778
2018/06/21 - 04:01:23.915887,240.434,1.143053,0.3323652,-0.6744667,351.336,357.2114,359.1805,1.178858,0.01256336,-0.4239125,348.0992,345.0485,356.9637
2018/06/21 - 04:01:23.925863,240.4446,1.143115,0.3322886,-0.67427,351.3254,356.953,359.2309,1.177765,0.01183415,-0.4240451,348.1839,344.8344,356.8941
2018/06/21 - 04:01:23.936832,240.4562,1.143178,0.3322238,-0.6741087,351.3222,356.7297,359.2551,1.176646,0.01105072,-0.4238815,348.4547,344.6802,356.7502
2018/06/21 - 04:01:23.950795,240.4683,1.143249,0.3321587,-0.6739846,351.3426,356.4813,359.2393,1.175584,0.01028882,-0.4236461,348.7861,344.5467,356.5782
2018/06/21 - 04:01:23.959792,240.4787,1.143176,0.3320365,-0.673823,351.3274,356.2887,359.2967,1.174794,0.009534764,-0.4233603,349.0987,344.4432,356.3205
2018/06/21 - 04:01:23.971738,240.4899,1.14311,0.3319505,-0.6737171,351.3549,356.0858,359.3436,1.173772,0.008950356,-0.4231477,349.2888,344.2873,356.093
2018/06/21 - 04:01:23.983728,240.5026,1.142833,0.3319404,-0.6735885,351.4044,355.8801,359.303,1.173012,0.008424113,-0.4230049,349.3691,344.0946,355.9685
2018/06/21 - 04:01:23.994678,240.5134,1.142557,0.3319161,-0.6734281,351.4024,355.6329,359.3353,1.172108,0.008043169,-0.4228389,349.4106,343.9309,355.9449
2018/06/21 - 04:01:24.004651,240.5235,1.142222,0.331866,-0.6731873,351.3388,355.4294,359.3752,1.171555,0.007772832,-0.4226492,349.3604,343.8971,355.9748
2018/06/21 - 04:01:24.015621,240.5337,1.141727,0.3320068,-0.6729907,351.3606,355.178,359.3386,1.170829,0.007501945,-0.4224454,349.3295,343.8835,355.9482
2018/06/21 - 04:01:24.026592,240.5449,1.14112,0.3321463,-0.6727011,351.3095,354.9188,359.3635,1.170256,0.007365185,-0.4221984,349.2762,343.955,355.8957
2018/06/21 - 04:01:24.036564,240.5552,1.140538,0.3321997,-0.6724665,351.2875,354.6819,359.3771,1.169557,0.007289976,-0.4219809,349.2514,343.9691,355.8222
2018/06/21 - 04:01:24.048534,240.5663,1.139883,0.3322625,-0.6722196,351.2855,354.4975,359.3891,1.168935,0.007247067,-0.4218407,349.1828,343.8906,355.7426
2018/06/21 - 04:01:24.058507,240.5779,1.139225,0.3322598,-0.6719594,351.231,354.2485,359.4263,1.168401,0.007109387,-0.4217424,349.117,343.7645,355.6639
2018/06/21 - 04:01:24.070474,240.5892,1.138442,0.3323566,-0.6717529,351.2248,354.0327,359.4535,1.167701,0.006981259,-0.4216025,349.1105,343.6729,355.569
2018/06/21 - 04:01:24.081467,240.5998,1.137647,0.3324701,-0.6715709,351.1967,353.8194,359.4669,1.167233,0.006762206,-0.4215249,349.1493,343.5887,355.5019
2018/06/21 - 04:01:24.093413,240.6118,1.137356,0.3323873,-0.6715325,351.158,353.6228,359.5489,1.166573,0.006579141,-0.4215083,349.1602,343.4695,355.4977
2018/06/21 - 04:01:24.103387,240.6225,1.137372,0.3322843,-0.6716378,351.1832,353.3717,359.5624,1.165879,0.006395006,-0.4216257,349.1247,343.272,355.5619
2018/06/21 - 04:01:24.116372,240.634,1.137201,0.3321629,-0.6715931,351.1906,353.1099,359.5997,1.165221,0.00619494,-0.4217614,349.0635,343.0747,355.6105
2018/06/21 - 04:01:24.129340,240.6472,1.136888,0.3320335,-0.6715039,351.1727,352.8645,359.6685,1.164564,0.005938666,-0.4219351,348.9945,342.903,355.6721
2018/06/21 - 04:01:24.138293,240.6574,1.136425,0.3319488,-0.6714514,351.2075,352.6543,359.7582,1.163805,0.005676467,-0.4220568,348.9614,342.7637,355.7235
2018/06/21 - 04:01:24.150283,240.6683,1.136072,0.3318361,-0.6714396,351.2288,352.3662,359.7667,1.163092,0.005374621,-0.4222129,348.9162,342.6405,355.7798
2018/06/21 - 04:01:24.159260,240.6783,1.135751,0.331709,-0.6714536,351.2555,352.1248,359.8274,1.162616,0.004975894,-0.4224333,348.9172,342.5099,355.8784
2018/06/21 - 04:01:24.171205,240.6895,1.135671,0.3315809,-0.6715704,351.3343,351.85,359.9295,1.162132,0.004637865,-0.4226717,348.9374,342.336,355.9384
2018/06/21 - 04:01:24.181178,240.7001,1.135609,0.3313808,-0.6716636,351.3673,351.6193,0.01294439,1.161719,0.004343663,-0.4229586,348.9222,342.1125,355.9153
2018/06/21 - 04:01:24.193164,240.7112,1.135378,0.3312101,-0.671706,351.4143,351.3251,0.1378556,1.161387,0.004036061,-0.4232451,348.923,341.8808,355.8389
2018/06/21 - 04:01:24.203138,240.7223,1.13513,0.3310701,-0.6717597,351.4685,351.0027,0.2230824,1.161187,0.003605393,-0.423538,348.9581,341.6195,355.752
2018/06/21 - 04:01:24.215088,240.7334,1.134807,0.3309509,-0.6717969,351.5469,350.6412,0.3433383,1.160907,0.003217582,-0.4238119,348.9933,341.4189,355.7234
2018/06/21 - 04:01:24.227055,240.7449,1.134506,0.3308466,-0.6718915,351.7061,350.2722,0.4545504,1.160613,0.00273797,-0.4240954,348.9801,341.269,355.7161
2018/06/21 - 04:01:24.237029,240.7556,1.134418,0.3305818,-0.6719165,351.7859,349.9037,0.6523415,1.160337,0.002172644,-0.4243801,348.9816,341.0996,355.7523
2018/06/21 - 04:01:24.248997,240.7667,1.134162,0.3302966,-0.671943,351.9115,349.5583,0.7814316,1.160193,0.001467314,-0.4245647,349.039,341.0076,355.786
2018/06/21 - 04:01:24.258970,240.7784,1.133823,0.3300345,-0.672005,352.1217,349.1996,0.9235269,1.159858,0.0007330131,-0.4246147,349.2007,341.0498,355.7521
2018/06/21 - 04:01:24.270939,240.7892,1.13354,0.329718,-0.6719739,352.2392,348.7717,1.087502,1.159526,-6.874846E-05,-0.4247634,349.3359,341.0763,355.7437
2018/06/21 - 04:01:24.281909,240.8005,1.133208,0.3294843,-0.6719957,352.4599,348.4084,1.191497,1.159109,-0.001007732,-0.4250166,349.4541,341.0155,355.7372
2018/06/21 - 04:01:24.292906,240.8114,1.132841,0.3292364,-0.6719862,352.6588,348.0419,1.268095,1.158629,-0.002014421,-0.4253703,349.5804,340.8871,355.7341
2018/06/21 - 04:01:24.303851,240.823,1.132444,0.3288623,-0.671873,352.8293,347.6663,1.44596,1.158086,-0.003198524,-0.4258476,349.7569,340.6813,355.7746
2018/06/21 - 04:01:24.315840,240.8338,1.131954,0.3285769,-0.6717981,353.0909,347.3257,1.615114,1.157378,-0.004410528,-0.4263437,349.9521,340.4482,355.8296
