Time (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Left Hand Position x:,Left Hand Position y:,Left Hand Position z:,Left Hand rotation x:,Left Hand rotation y:,Left Hand rotation z:
0.004355129,0,0,0,0,0,0,-0.1166576,-0.06651847,-0.02067034,319.6097,275.8216,358.9227
0.06665017,0,0,0,0,0,0,-0.1172933,-0.06675393,-0.02090948,321.2374,275.6193,0.3100416
0.07247531,0,0,0,0,0,0,-0.1173761,-0.0667806,-0.02093436,321.47,275.5959,0.4633232
0.0779264,0,0,0,0,0,0,-0.1174502,-0.06679711,-0.02094917,321.66,275.6198,0.561825
0.08448739,0,0,0,0,0,0,-0.1175191,-0.06679405,-0.02094505,321.8261,275.7138,0.5647146
0.0899584,0,0,0,0,0,0,-0.1175947,-0.066776,-0.02092616,322.0259,275.847,0.500156
0.09589589,0,0,0,0,0,0,-0.1176719,-0.06674161,-0.02089111,322.243,276.0218,0.3601445
0.1019995,0,0,0,0,0,0,-0.1177592,-0.06669759,-0.02084587,322.503,276.2208,0.1786505
0.1075257,0,0,0,0,0,0,-0.1178503,-0.06665174,-0.02079795,322.7406,276.4634,359.986
0.1138059,0,0,0,0,0,0,-0.1179405,-0.06660846,-0.02075176,322.9133,276.7613,359.799
0.1203411,0,0,0,0,0,0,-0.1180299,-0.06657691,-0.02071635,323.0462,277.06,359.6632
0.1260189,0,0,0,0,0,0,-0.1180994,-0.0665639,-0.02069971,323.1564,277.2478,359.612
0.1326339,0,0,0,0,0,0,-0.1181593,-0.06656151,-0.02069377,323.2522,277.3805,359.6089
0.1398326,0,0,0,0,0,0,-0.1182025,-0.06656501,-0.02069449,323.3112,277.4697,359.6302
0.1469605,0,0,0,0,0,0,-0.1182129,-0.06657137,-0.02070007,323.3017,277.4977,359.659
0.1530738,0,0,0,0,0,0,-0.1181907,-0.06657644,-0.02070649,323.2393,277.4626,359.6775
0.1588654,0,0,0,0,0,0,-0.118146,-0.06658004,-0.02071281,323.1364,277.3899,359.6857
0.1703362,0,0,0,0,0,0,-0.1180402,-0.06658577,-0.02072449,322.8841,277.2375,359.6902
0.176675,0,0,0,0,0,0,-0.1179715,-0.06658948,-0.02073168,322.6936,277.1666,359.6898
0.182914,0,0,0,0,0,0,-0.1179123,-0.06659339,-0.02073831,322.5206,277.1132,359.6913
0.1889653,0,0,0,0,0,0,-0.1178526,-0.0665959,-0.02074337,322.3455,277.0648,359.6854
0.1952199,0,0,0,0,0,0,-0.117804,-0.06659713,-0.02074652,322.2066,277.0248,359.6766
0.2015394,0,0,0,0,0,0,-0.1177564,-0.06659797,-0.02074908,322.0793,276.9782,359.6667
0.2085049,0,0,0,0,0,0,-0.1177125,-0.06659964,-0.02075221,321.9664,276.9276,359.6621
0.2151353,0,0,0,0,0,0,-0.1176706,-0.06660182,-0.02075564,321.8677,276.8682,359.6612
0.2211317,0,0,0,0,0,0,-0.1176375,-0.06660344,-0.02075816,321.7907,276.8203,359.66
0.2272763,0,0,0,0,0,0,-0.1176119,-0.0666049,-0.02076028,321.7336,276.7801,359.6602
0.2337582,0,0,0,0,0,0,-0.1175847,-0.06660507,-0.02076112,321.6747,276.7405,359.6541
0.2397224,0,0,0,0,0,0,-0.1175626,-0.06660588,-0.02076243,321.6273,276.7057,359.6522
0.2454727,0,0,0,0,0,0,-0.1175434,-0.0666075,-0.02076444,321.5855,276.6727,359.6549
0.2521524,0,0,0,0,0,0,-0.1175298,-0.06660847,-0.02076567,321.5426,276.6643,359.6543
0.2586636,0,0,0,0,0,0,-0.1175178,-0.06660793,-0.02076538,321.4754,276.6927,359.6434
0.2651557,0,0,0,0,0,0,-0.1175101,-0.06660824,-0.02076584,321.4126,276.7294,359.637
0.2715589,0,0,0,0,0,0,-0.1175042,-0.06661159,-0.02076922,321.3556,276.7564,359.6458
0.2778687,0,0,0,0,0,0,-0.1174983,-0.06661996,-0.02077751,321.31,276.7543,359.6801
0.2839234,0,0,0,0,0,0,-0.1174931,-0.06662941,-0.02078681,321.2784,276.736,359.7213
0.2905492,0,0,0,0,0,0,-0.1174857,-0.06664164,-0.02079886,321.2462,276.7006,359.7757
0.297106,0,0,0,0,0,0,-0.1174801,-0.06665246,-0.02080947,321.2244,276.666,359.8247
0.304625,0,0,0,0,0,0,-0.1174767,-0.06666379,-0.02082052,321.2122,276.6274,359.8773
0.3120515,0,0,0,0,0,0,-0.1174778,-0.06667451,-0.0208309,321.2123,276.595,359.9286
0.3197998,0,0,0,0,0,0,-0.1174826,-0.06668088,-0.02083698,321.2202,276.5826,359.96
0.3267272,0,0,0,0,0,0,-0.1174868,-0.06668574,-0.02084162,321.2307,276.5709,359.9845
0.3348663,0,0,0,0,0,0,-0.1174883,-0.06669141,-0.02084707,321.2409,276.5464,0.01281671
0.3408018,0,0,0,0,0,0,-0.1174857,-0.06669674,-0.02085227,321.2457,276.5138,0.03886138
0.3460942,0,0,0,0,0,0,-0.1174762,-0.06670453,-0.02085995,321.2381,276.4601,0.07505725
0.3518911,0,0,0,0,0,0,-0.1174664,-0.06671274,-0.02086803,321.2229,276.4118,0.1123087
0.3578113,0,0,0,0,0,0,-0.1174522,-0.06672403,-0.02087913,321.1904,276.355,0.1621052
0.3667636,0,0,0,0,0,0,-0.1174293,-0.06674056,-0.02089536,321.132,276.2756,0.233629
0.3751462,0,0,0,0,0,0,-0.1173959,-0.06676096,-0.02091535,321.055,276.1637,0.3212667
0.383155,0,0,0,0,0,0,-0.1173692,-0.06677667,-0.02093067,321.0061,276.063,0.3900168
0.3913276,0,0,0,0,0,0,-0.1173471,-0.06678721,-0.02094094,320.9893,275.9637,0.4380831
0.402452,0,0,0,0,0,0,-0.1173366,-0.06679545,-0.0209489,321.008,275.8781,0.4796268
0.4180179,0,0,0,0,0,0,-0.1173587,-0.06680905,-0.02096167,321.0923,275.8267,0.554396
0.4258541,0,0,0,0,0,0,-0.1173678,-0.06682156,-0.02097348,321.1304,275.7792,0.6181798
0.4331913,0,0,0,0,0,0,-0.1173727,-0.06683424,-0.02098547,321.1651,275.7197,0.6822404
0.4399742,0,0,0,0,0,0,-0.1173782,-0.06684794,-0.0209984,321.2037,275.655,0.7514182
0.4487331,0,0,0,0,0,0,-0.1173846,-0.06686391,-0.02101345,321.2487,275.58,0.8318421
0.4563445,0,0,0,0,0,0,-0.1173955,-0.06689274,-0.02104052,321.3285,275.4443,0.9762496
0.4626831,0,0,0,0,0,0,-0.1173941,-0.066916,-0.02106242,321.3599,275.3317,1.088818
0.4699697,0,0,0,0,0,0,-0.1173834,-0.0669328,-0.02107829,321.3613,275.2367,1.167722
0.4764778,0,0,0,0,0,0,-0.1173623,-0.06694022,-0.02108546,321.333,275.1641,1.199575
0.484785,0,0,0,0,0,0,-0.117336,-0.06694457,-0.02108975,321.3005,275.0869,1.216578
0.4907916,0,0,0,0,0,0,-0.1173015,-0.06694867,-0.02109382,321.2578,274.9906,1.23137
0.4970727,0,0,0,0,0,0,-0.1172742,-0.06695431,-0.02109923,321.2264,274.9044,1.254544
0.5031058,0,0,0,0,0,0,-0.1172477,-0.06696374,-0.0211081,321.1996,274.8042,1.295891
0.5090243,0,0,0,0,0,0,-0.1172261,-0.06697474,-0.0211184,321.1877,274.7022,1.346244
0.5146298,0,0,0,0,0,0,-0.117211,-0.06698546,-0.02112838,321.1937,274.6067,1.397065
0.5200422,0,0,0,0,0,0,-0.1172052,-0.06699386,-0.02113619,321.2161,274.5364,1.438682
0.5254008,0,0,0,0,0,0,-0.1172007,-0.06700142,-0.02114322,321.2389,274.4732,1.476372
0.5310763,0,0,0,0,0,0,-0.1172152,-0.06700546,-0.02114697,321.2972,274.4552,1.501087
0.5368184,0,0,0,0,0,0,-0.1172355,-0.06701055,-0.02115169,321.3744,274.4362,1.532482
0.5422572,0,0,0,0,0,0,-0.1172609,-0.06701586,-0.02115655,321.463,274.4236,1.56571
0.5478887,0,0,0,0,0,0,-0.1172974,-0.06702334,-0.02116334,321.5731,274.4239,1.610807
0.5536091,0,0,0,0,0,0,-0.1173483,-0.06703071,-0.02116981,321.7057,274.455,1.656956
0.5595065,0,0,0,0,0,0,-0.1174096,-0.06703655,-0.02117457,321.8516,274.5161,1.6966
0.5655569,0,0,0,0,0,0,-0.1174967,-0.06704193,-0.02117823,322.055,274.6165,1.738102
0.5711173,0,0,0,0,0,0,-0.1176148,-0.06705086,-0.02118392,322.3222,274.7571,1.799537
0.5774894,0,0,0,0,0,0,-0.1177682,-0.06706543,-0.02119274,322.6557,274.9464,1.889115
0.5841602,0,0,0,0,0,0,-0.11796,-0.06708661,-0.02120437,323.0641,275.1855,2.009628
0.5901887,0,0,0,0,0,0,-0.1182484,-0.06712043,-0.02121922,323.6664,275.5579,2.190207
0.5955175,0,0,0,0,0,0,-0.1185198,-0.0671562,-0.02123193,324.2435,275.8954,2.368509
0.6013464,0,0,0,0,0,0,-0.1188369,-0.06720733,-0.0212493,324.9512,276.2423,2.606178
0.6071504,0,0,0,0,0,0,-0.1192221,-0.06728369,-0.02127451,325.849,276.6073,2.936764
0.6125156,0,0,0,0,0,0,-0.1196565,-0.06738207,-0.02130226,326.8783,276.9973,3.333201
0.6184523,0,0,0,0,0,0,-0.1201528,-0.06746082,-0.02128877,327.9046,277.6932,3.617394
0.6235876,0,0,0,0,0,0,-0.1206765,-0.06751991,-0.02123593,328.9082,278.5837,3.796116
0.6290106,0,0,0,0,0,0,-0.1212198,-0.06755391,-0.02113797,329.8696,279.6684,3.854532
0.6364909,0,0,0,0,0,0,-0.1219711,-0.06759312,-0.02096322,331.1427,281.2725,3.882051
0.643245,0,0,0,0,0,0,-0.1227976,-0.06766124,-0.02074891,332.5595,283.016,3.976852
0.652851,0,0,0,0,0,0,-0.1241378,-0.06784863,-0.0203684,334.9688,285.7054,4.333993
0.659691,0,0,0,0,0,0,-0.1252725,-0.06808923,-0.02001689,337.0611,287.906,4.852169
0.6656169,0,0,0,0,0,0,-0.1262484,-0.06837267,-0.01970365,338.89,289.7354,5.506394
0.6721392,0,0,0,0,0,0,-0.1271774,-0.06871246,-0.01939531,340.6646,291.4306,6.310122
0.6789411,0,0,0,0,0,0,-0.128096,-0.06914421,-0.01910102,342.5266,292.9746,7.347829
0.6850885,0,0,0,0,0,0,-0.1288394,-0.0695697,-0.01887058,344.1433,294.1242,8.361812
0.6906803,0,0,0,0,0,0,-0.1294136,-0.06996085,-0.01870716,345.4603,294.9384,9.296648
0.6962423,0,0,0,0,0,0,-0.1298512,-0.07029501,-0.01858776,346.4917,295.5377,10.09476
0.701552,0,0,0,0,0,0,-0.1302025,-0.07058281,-0.01849092,347.3365,296.0183,10.77692
0.706957,0,0,0,0,0,0,-0.1305223,-0.070854,-0.018396,348.1175,296.4713,11.40959
0.7123348,0,0,0,0,0,0,-0.1307519,-0.07107148,-0.01833766,348.7043,296.7649,11.92113
0.7180452,0,0,0,0,0,0,-0.1309088,-0.07122979,-0.01830095,349.1334,296.9469,12.28771
0.7231894,0,0,0,0,0,0,-0.1310657,-0.07137866,-0.01825282,349.5565,297.1602,12.62139
0.7287295,0,0,0,0,0,0,-0.1311819,-0.07147517,-0.01820385,349.8762,297.3461,12.81893
0.734111,0,0,0,0,0,0,-0.1313092,-0.07157255,-0.01814133,350.2217,297.5729,13.00782
0.7395888,0,0,0,0,0,0,-0.1314259,-0.07165585,-0.01807721,350.5286,297.8018,13.16365
0.7450709,0,0,0,0,0,0,-0.1315665,-0.07174398,-0.0179878,350.8715,298.1181,13.31999
0.7504383,0,0,0,0,0,0,-0.1317232,-0.07183877,-0.01788224,351.2101,298.5055,13.49792
0.7558559,0,0,0,0,0,0,-0.1319387,-0.07196535,-0.01772805,351.5659,299.1121,13.7701
0.7621114,0,0,0,0,0,0,-0.1322086,-0.07213806,-0.01753604,351.9775,299.8854,14.16653
0.7678745,0,0,0,0,0,0,-0.1325756,-0.07239506,-0.01727339,352.6056,300.9078,14.74355
