Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,User Points:,Peer Points:,Action type:,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/22 - 01:54:31.8810682,14.99264,0,0,User missed,0.1066383,-0.04816864,-0.2995248,4.314732,317.2567,358.6692,0.0487558,-0.5066038,-0.2235242,9.666292,291.7568,320.1952
2018/06/22 - 01:54:33.8211718,14.99264,0,0,User missed,0.1152039,-0.04498867,-0.2936407,1.173908,324.3794,359.0287,0.1486083,-0.3757612,-0.1850873,334.1191,317.5729,334.9511
2018/06/22 - 01:54:34.9311776,16.10264,0,1,User hit peer's target,0.1093639,-0.04854197,-0.292951,3.11662,324.0705,359.5666,0.1310088,-0.4946016,-0.1318477,358.2737,324.438,339.6389
2018/06/22 - 01:54:35.1431196,16.31489,0,2,Peer hit peer's target,0.1126533,-0.04651881,-0.2926379,1.970474,325.562,359.6057,0.1376235,-0.4578826,-0.1313416,350.394,325.7503,339.6322
2018/06/22 - 01:54:35.4104054,16.58171,0,3,User hit peer's target,0.1198641,-0.04211484,-0.2982689,358.986,328.3664,359.3539,0.1400822,-0.4465633,-0.129807,348.8909,329.0818,342.6674
2018/06/22 - 01:54:36.7075533,17.87716,1,3,User hit user's target,0.2146087,-0.05089277,-0.3184744,6.734466,45.93034,0.4662781,0.5327023,-0.5130363,-0.1042308,14.59348,58.34647,335.5921
2018/06/22 - 01:54:38.1019983,19.27289,2,3,User hit user's target,0.1372971,-0.03481426,-0.3112461,357.3733,354.0222,3.070123,0.181758,-0.4804038,-0.08498319,354.8592,356.5773,350.2794
2018/06/22 - 01:54:38.5438170,19.71495,2,2,Peer missed,0.1534003,-0.0329483,-0.3123635,355.8964,356.6434,0.723269,0.1771155,-0.4630575,-0.09541875,352.2992,350.5169,347.5207
2018/06/22 - 01:54:38.7093754,19.88084,2,3,Peer hit peer's target,0.1540144,-0.03437971,-0.3115751,356.647,356.274,0.07084147,0.1780125,-0.4713182,-0.1020669,354.5439,348.8714,346.7758
2018/06/22 - 01:54:39.1909646,20.36029,2,4,Peer hit peer's target,0.1514774,-0.02757245,-0.3132727,351.5698,355.5201,0.2936447,0.1937963,-0.4206193,-0.1057815,343.4483,353.7358,344.6377
2018/06/22 - 01:54:39.5416694,20.71249,1,4,User missed,0.177228,-0.020646,-0.3281226,346.9933,13.25895,357.0997,0.3336684,-0.3284273,-0.09297814,327.9995,25.92957,344.1228
2018/06/22 - 01:54:39.5870577,20.7575,1,5,Peer hit peer's target,0.1794242,-0.02060604,-0.3294131,347.12,13.93495,356.9458,0.3480865,-0.3265136,-0.09013855,330.6671,25.25831,342.3712
2018/06/22 - 01:54:39.8987524,21.06946,2,5,User hit user's target,0.1945473,-0.02342719,-0.3324789,350.5063,19.41745,356.2759,0.4037656,-0.4112516,-0.06455236,352.6653,29.8715,342.1186
2018/06/22 - 01:54:42.6251025,23.7953,2,4,Peer missed,0.1071766,-0.03993812,-0.3272376,358.3939,311.4229,357.8663,0.08413734,-0.4675887,-0.2199171,354.168,302.6965,354.4503
2018/06/22 - 01:54:42.8465119,24.01599,2,5,Peer hit peer's target,0.1029764,-0.04157215,-0.3439902,0.2516026,297.3739,358.3244,0.0766137,-0.4717451,-0.2382706,357.2703,292.3043,353.6492
2018/06/22 - 01:54:43.0768952,24.24805,2,6,Peer hit peer's target,0.107048,-0.04680169,-0.3548129,4.311043,293.3607,359.3638,0.08086228,-0.512096,-0.2213579,10.18454,293.1325,356.3321
2018/06/22 - 01:54:43.2873336,24.45897,1,6,User missed,0.1214056,-0.04184739,-0.342213,2.165268,301.2468,359.7182,0.09101266,-0.5382056,-0.1826057,14.54266,302.4261,357.0337
2018/06/22 - 01:54:43.7313178,24.90234,2,6,User hit user's target,0.1511324,-0.03692531,-0.3014545,359.0541,319.1517,357.9668,0.118325,-0.5285756,-0.09715859,7.954948,321.2182,354.6405
2018/06/22 - 01:54:46.2780456,27.44839,2,7,Peer hit peer's target,0.1133374,-0.01792678,-0.2817553,357.4225,350.5739,8.354666,0.1303122,-0.4711304,-0.1068232,1.252614,355.7409,8.103975
2018/06/22 - 01:54:47.5443242,28.71511,2,6,Peer missed,0.09345888,-0.002360801,-0.05493262,339.0882,351.8005,358.5619,-0.01119128,-0.6506443,0.1506777,15.70569,334.9986,349.6782
