Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,User Points:,Peer Points:,Action type:,Target position x:,Target position y:,Target position z:
2018/06/28 - 03:22:23.6710659,0.8995851,0,1,Peer hit peer's target,2.220877,3.43332,3.980656
2018/06/28 - 03:22:24.9466949,2.177598,0,2,Peer hit peer's target,0.3485658,4.764349,-4.942122
2018/06/28 - 03:22:25.7007845,2.932256,0,3,Peer hit peer's target,1.463624,0.7580576,-2.496389
2018/06/28 - 03:22:27.0127812,4.243907,1,4,Peer hit peer's target,-4.655765,3.636884,-2.548746
2018/06/28 - 03:22:27.6899808,4.921734,1,5,Peer hit peer's target,0.6762499,5.453187,4.771049
2018/06/28 - 03:22:28.0121198,5.2435,1,4,Peer missed, , , 
2018/06/28 - 03:22:28.0340604,5.265777,1,3,Peer missed, , , 
2018/06/28 - 03:22:30.4836647,7.714733,1,2,Peer missed, , , 
2018/06/28 - 03:22:32.0008994,9.23208,2,3,Peer hit peer's target,-0.5185848,8.206869,-3.499671
2018/06/28 - 03:22:34.3801431,11.61163,2,4,Peer hit peer's target,2.39487,4.501484,4.412265
2018/06/28 - 03:22:35.3904855,12.62245,3,5,Peer hit peer's target,-2.566027,8.731428,-2.223509
2018/06/28 - 03:22:36.6128718,13.84469,4,6,Peer hit peer's target,-3.654752,2.747874,-0.3832216
2018/06/28 - 03:22:37.2242634,14.45551,4,7,Peer hit peer's target,-4.617119,4.53103,-3.618757
2018/06/28 - 03:22:38.7909626,16.02331,4,8,Peer hit peer's target,3.21576,2.794821,-2.006074
2018/06/28 - 03:22:41.0473857,18.27824,5,9,Peer hit peer's target,-1.802672,4.408359,-4.479795
2018/06/28 - 03:22:41.2458268,18.47722,5,10,Peer hit peer's target,-1.595732,3.702578,-3.736389
2018/06/28 - 03:22:44.5568242,21.78908,6,11,Peer hit peer's target,-1.94904,3.84328,-4.923371
2018/06/28 - 03:22:44.7353507,21.96733,6,10,Peer missed, , , 
2018/06/28 - 03:22:45.2491983,22.48103,6,9,Peer missed, , , 
2018/06/28 - 03:22:45.3698749,22.60181,6,8,Peer missed, , , 
2018/06/28 - 03:22:46.1462621,23.37793,6,7,Peer missed, , , 
2018/06/28 - 03:22:47.2236658,24.4551,7,6,Peer missed, , , 
2018/06/28 - 03:22:47.7602316,24.99089,8,7,Peer hit peer's target,-1.50905,2.862612,-4.278382
2018/06/28 - 03:22:51.2034577,28.43413,8,9,Peer hit peer's target,3.663983,5.931032,-2.221867
2018/06/28 - 03:22:54.6139043,31.84576,10,10,Peer hit peer's target,4.155066,3.367534,-2.284891
2018/06/28 - 03:22:55.2482969,32.47968,10,11,Peer hit peer's target,5.716416,6.282332,-0.3674244
2018/06/28 - 03:22:56.3817832,33.61263,10,12,Peer hit peer's target,-4.693479,3.698268,0.3018973
2018/06/28 - 03:22:56.6919517,33.92392,11,13,Peer hit peer's target,1.789637,4.460546,4.669807
2018/06/28 - 03:22:57.2035863,34.43455,11,14,Peer hit peer's target,-4.404707,6.546241,-1.472666
2018/06/28 - 03:22:58.0975628,35.32204,11,15,Peer hit peer's target,2.22307,6.611042,-4.759985
2018/06/28 - 03:22:58.2900484,35.52175,11,16,Peer hit peer's target,4.17848,3.903691,-2.333782
2018/06/28 - 03:22:58.8328711,36.06492,11,17,Peer hit peer's target,4.311147,7.466343,-0.7950307
2018/06/28 - 03:23:00.2569292,37.48865,12,18,Peer hit peer's target,0.7297093,7.731068,-4.16049
2018/06/28 - 03:23:01.0243558,38.25548,13,19,Peer hit peer's target,3.76864,7.521784,-2.772575
2018/06/28 - 03:23:01.5342456,38.76677,13,18,Peer missed, , , 
