Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/28 - 03:28:53.4748668,0,-0.04562432,0.02467446,-0.1880821,359.8646,215.978,358.7205,-0.2247029,-0.3975724,-0.3332008,21.38794,221.9833,359.3245
2018/06/28 - 03:28:53.4868354,0.01096502,-0.04545852,0.02466675,-0.1882288,359.8361,215.9153,358.6603,-0.2246658,-0.3974117,-0.3331399,21.36117,221.965,359.3091
2018/06/28 - 03:28:53.4968091,0.02574159,-0.04547886,0.0247332,-0.1884953,359.7849,215.918,358.6414,-0.2246301,-0.3973317,-0.333074,21.35103,221.954,359.3118
2018/06/28 - 03:28:53.5057870,0.03662582,-0.0454534,0.02486401,-0.1886509,359.7615,215.8965,358.5957,-0.224607,-0.3972574,-0.3330263,21.35382,221.9491,359.3208
2018/06/28 - 03:28:53.5157593,0.04497937,-0.04535293,0.02510009,-0.1889311,359.5724,215.8772,358.4635,-0.2245949,-0.3971677,-0.3329785,21.35877,221.9612,359.3281
2018/06/28 - 03:28:53.5277475,0.05551147,-0.04533869,0.02533326,-0.189215,359.4926,215.9058,358.3897,-0.2245994,-0.3969815,-0.3329495,21.35104,221.9856,359.3324
2018/06/28 - 03:28:53.5376996,0.06614909,-0.04525422,0.02555193,-0.1893285,359.4233,215.8616,358.2647,-0.2245835,-0.3967754,-0.3328047,21.33351,222.0418,359.3373
2018/06/28 - 03:28:53.5496670,0.07736329,-0.04509005,0.02575372,-0.1893251,359.3113,215.8064,358.2294,-0.2245655,-0.3966749,-0.3327248,21.32645,222.0822,359.3574
2018/06/28 - 03:28:53.5616347,0.08883376,-0.04494274,0.02599759,-0.1893338,359.1886,215.7759,358.2575,-0.2244969,-0.3965486,-0.3325931,21.31167,222.1598,359.4337
2018/06/28 - 03:28:53.5716460,0.09992594,-0.04468368,0.02624954,-0.189217,359.0658,215.6799,358.1357,-0.2244324,-0.3964625,-0.3324926,21.29992,222.2141,359.493
2018/06/28 - 03:28:53.5835957,0.1108856,-0.0444431,0.02639919,-0.1889788,358.8612,215.6132,358.1242,-0.2243754,-0.3963637,-0.3324226,21.26991,222.2682,359.5112
2018/06/28 - 03:28:53.5935495,0.1220619,-0.04414168,0.02651954,-0.1884738,358.6723,215.57,358.098,-0.2242849,-0.396346,-0.332315,21.23794,222.2751,359.5038
2018/06/28 - 03:28:53.6055172,0.1334923,-0.04382087,0.02673356,-0.1882336,358.5241,215.5643,358.0191,-0.2241618,-0.3963453,-0.3321972,21.20237,222.2662,359.4987
2018/06/28 - 03:28:53.6154915,0.1446664,-0.04364532,0.02692131,-0.1881796,358.3456,215.533,358.054,-0.224091,-0.3963726,-0.3321704,21.21101,222.2617,359.5084
2018/06/28 - 03:28:53.6284570,0.1551384,-0.04348318,0.02716278,-0.1884441,358.2032,215.503,357.9716,-0.2239788,-0.3963799,-0.3321959,21.21605,222.2582,359.529
2018/06/28 - 03:28:53.6374514,0.1668644,-0.04328644,0.02734557,-0.1887202,358.0192,215.5138,357.8676,-0.2237525,-0.396419,-0.332334,21.23257,222.2073,359.5703
2018/06/28 - 03:28:53.6494200,0.1768725,-0.04311629,0.02754838,-0.1888333,357.9167,215.442,357.7597,-0.2235437,-0.3964872,-0.3325091,21.25532,222.1232,359.6067
2018/06/28 - 03:28:53.6603725,0.1880728,-0.04283035,0.02766901,-0.1888495,357.7812,215.4076,357.5908,-0.2234236,-0.3965725,-0.3326603,21.28364,222.0979,359.6298
2018/06/28 - 03:28:53.6702182,0.1994494,-0.04242263,0.02783277,-0.188379,357.7241,215.3979,357.5082,-0.2233627,-0.396648,-0.3327,21.30393,222.1142,359.6394
2018/06/28 - 03:28:53.6821796,0.2100415,-0.04204707,0.02782743,-0.1877533,357.5847,215.411,357.5744,-0.2232508,-0.3967469,-0.3327774,21.34164,222.1545,359.6651
2018/06/28 - 03:28:53.6931501,0.2216092,-0.04161699,0.02795038,-0.1871641,357.5214,215.4146,357.5374,-0.2231521,-0.3968062,-0.3328441,21.36666,222.1861,359.6831
2018/06/28 - 03:28:53.7051183,0.2323797,-0.04141518,0.02810276,-0.1872202,357.4276,215.4075,357.561,-0.2229534,-0.3968553,-0.3329351,21.37588,222.2182,359.7178
2018/06/28 - 03:28:53.7160893,0.2440092,-0.04119103,0.02836372,-0.1875471,357.4018,215.4023,357.5353,-0.2227111,-0.3968514,-0.3330769,21.39016,222.204,359.7638
2018/06/28 - 03:28:53.7270913,0.2555257,-0.04103883,0.02862597,-0.1880681,357.3506,215.3735,357.5238,-0.2223884,-0.3967777,-0.3333516,21.44184,222.1726,359.8443
2018/06/28 - 03:28:53.7370631,0.2662333,-0.04091424,0.02885563,-0.1886638,357.2136,215.3297,357.5308,-0.2221061,-0.3966125,-0.3335916,21.4563,222.1208,359.8754
2018/06/28 - 03:28:53.7500300,0.2768755,-0.04076038,0.0290483,-0.189044,357.1429,215.3052,357.611,-0.2218936,-0.3964711,-0.3336776,21.4275,222.0784,359.8555
2018/06/28 - 03:28:53.7620164,0.2884023,-0.04045652,0.02905019,-0.1892295,357.0497,215.3301,357.6902,-0.2215035,-0.3962189,-0.3338267,21.39262,221.9845,359.823
2018/06/28 - 03:28:53.7709733,0.3002576,-0.04001563,0.02905563,-0.1891323,357.0079,215.2967,357.707,-0.2211869,-0.395997,-0.3339248,21.36736,221.9191,359.8232
2018/06/28 - 03:28:53.7829410,0.3107769,-0.03957544,0.02909022,-0.1888945,356.9562,215.2789,357.7921,-0.220808,-0.3957157,-0.3339876,21.33148,221.8605,359.8493
2018/06/28 - 03:28:53.7929150,0.3214091,-0.0391482,0.02921009,-0.1886694,356.8777,215.2271,357.8129,-0.2205308,-0.3954821,-0.3340242,21.28949,221.8223,359.8614
2018/06/28 - 03:28:53.8048824,0.3325955,-0.03877021,0.02936645,-0.1884253,356.7516,215.1661,357.8625,-0.2201293,-0.3952467,-0.3338474,21.21523,221.7826,359.8681
2018/06/28 - 03:28:53.8148559,0.3438492,-0.03838386,0.02948791,-0.1882687,356.6337,215.1333,357.9069,-0.2197321,-0.3950724,-0.3335913,21.10454,221.7474,359.89
2018/06/28 - 03:28:53.8268252,0.3546305,-0.03798594,0.02965031,-0.1882123,356.5715,215.0524,357.8608,-0.2193577,-0.3949795,-0.3332649,21.01284,221.7056,359.9127
2018/06/28 - 03:28:53.8378179,0.3656046,-0.0376408,0.02976376,-0.1882464,356.4995,214.9641,357.9229,-0.2190529,-0.3949023,-0.3330484,21.00913,221.6949,359.9715
2018/06/28 - 03:28:53.8557455,0.3770196,-0.03729261,0.02989291,-0.1881717,356.449,214.7754,357.9232,-0.2189002,-0.3948254,-0.3329872,21.01037,221.6748,359.99
2018/06/28 - 03:28:53.8637477,0.388269,-0.03678384,0.02993016,-0.1884617,356.4861,214.7508,358.0287,-0.218825,-0.3947497,-0.3329888,21.02213,221.6492,359.9681
2018/06/28 - 03:28:53.8707200,0.4023558,-0.03646373,0.02999456,-0.1884262,356.4633,214.6208,358.1385,-0.2188527,-0.3947013,-0.3330757,21.03752,221.6481,359.9337
2018/06/28 - 03:28:53.8836716,0.4104753,-0.03611227,0.03000264,-0.1883756,356.3694,214.5937,358.2045,-0.2187873,-0.3945407,-0.3331626,21.04465,221.6357,359.8878
2018/06/28 - 03:28:53.8946648,0.4226042,-0.035627,0.03012571,-0.1880635,356.3041,214.5991,358.1924,-0.2187598,-0.3944686,-0.3332109,21.04972,221.6426,359.8727
2018/06/28 - 03:28:53.9056133,0.4338136,-0.03529611,0.03018292,-0.1875828,356.2125,214.5361,358.3002,-0.2187156,-0.3944355,-0.3331977,21.04703,221.6531,359.8759
2018/06/28 - 03:28:53.9165846,0.4446648,-0.03491006,0.03020462,-0.1870447,356.1311,214.5292,358.367,-0.2186308,-0.3943761,-0.3331716,21.03792,221.6658,359.8914
2018/06/28 - 03:28:53.9275542,0.4558156,-0.03446321,0.03030545,-0.186536,356.1394,214.526,358.3749,-0.2185559,-0.3943252,-0.3331405,21.01713,221.6791,359.9204
2018/06/28 - 03:28:53.9375279,0.4666964,-0.03426363,0.03038789,-0.1864344,356.1763,214.5296,358.3614,-0.2184985,-0.3942833,-0.3330998,20.99871,221.6963,359.9522
2018/06/28 - 03:28:53.9494970,0.4774134,-0.03389426,0.03048106,-0.1863037,356.0981,214.4515,358.4408,-0.2184364,-0.3942291,-0.3330596,20.96734,221.7124,359.9836
2018/06/28 - 03:28:53.9614638,0.4885018,-0.03372879,0.03064562,-0.186535,356.1009,214.4515,358.5999,-0.2183666,-0.3941896,-0.332976,20.94858,221.7109,0.004503353
2018/06/28 - 03:28:53.9724348,0.4997151,-0.03366747,0.03082694,-0.1870828,356.0266,214.4641,358.6212,-0.2182853,-0.3941882,-0.3328499,20.93441,221.7006,0.007898862
2018/06/28 - 03:28:53.9834050,0.5115645,-0.03365359,0.03100316,-0.1875114,355.9474,214.4084,358.7062,-0.2181775,-0.3942105,-0.3326779,20.92156,221.6857,0.002698234
2018/06/28 - 03:28:53.9933781,0.5220681,-0.03353652,0.03103993,-0.1877152,355.8687,214.3937,358.7467,-0.2180286,-0.3942424,-0.3324386,20.90959,221.6583,359.9872
2018/06/28 - 03:28:54.0053450,0.5326185,-0.03342118,0.03103352,-0.1878302,355.9499,214.377,358.8186,-0.2178934,-0.3942675,-0.3322052,20.91303,221.6276,359.9658
2018/06/28 - 03:28:54.0143260,0.5440468,-0.03330418,0.03098172,-0.1878449,356.0032,214.3709,358.8678,-0.2177865,-0.394309,-0.3319625,20.92079,221.6178,359.9426
2018/06/28 - 03:28:54.0282839,0.5544739,-0.03303342,0.03097727,-0.1875934,356.0468,214.3873,358.9899,-0.2176947,-0.3943415,-0.3317353,20.9243,221.6212,359.9241
2018/06/28 - 03:28:54.0372732,0.5664365,-0.03279198,0.03096624,-0.187067,355.9755,214.4205,359.105,-0.217573,-0.394391,-0.3314384,20.91998,221.6277,359.9107
2018/06/28 - 03:28:54.0492287,0.57731,-0.03248773,0.03108175,-0.1863111,355.8714,214.4981,359.2193,-0.2174626,-0.3944265,-0.3312088,20.90505,221.6399,359.9149
2018/06/28 - 03:28:54.0611972,0.5882651,-0.03219548,0.03120362,-0.1855956,355.7225,214.5352,359.2727,-0.2173299,-0.3944314,-0.3310268,20.88567,221.6564,359.9508
2018/06/28 - 03:28:54.0701728,0.59943,-0.03182296,0.03126082,-0.184766,355.5578,214.6034,359.3289,-0.2171886,-0.3944607,-0.3308354,20.87614,221.6736,359.9937
2018/06/28 - 03:28:54.0831873,0.610254,-0.03148767,0.03130938,-0.1840309,355.4279,214.6238,359.3552,-0.2170464,-0.3944809,-0.3306481,20.85474,221.6702,0.01705152
2018/06/28 - 03:28:54.0931599,0.6215322,-0.03108837,0.03134596,-0.1832666,355.3772,214.6978,359.4224,-0.2169393,-0.3944695,-0.3305272,20.84096,221.6606,0.02429985
2018/06/28 - 03:28:54.1051548,0.632681,-0.03071415,0.03134735,-0.1826419,355.346,214.7381,359.4734,-0.2167959,-0.3944446,-0.3303356,20.82568,221.6359,0.01224118
2018/06/28 - 03:28:54.1151297,0.6438732,-0.03033675,0.03134684,-0.1821497,355.282,214.7523,359.4713,-0.2166556,-0.3944024,-0.3301638,20.80038,221.6092,359.9818
2018/06/28 - 03:28:54.1270983,0.6546309,-0.03000991,0.03143103,-0.1818869,355.2315,214.8121,359.4906,-0.216515,-0.3943698,-0.3299459,20.78104,221.5745,359.9247
2018/06/28 - 03:28:54.1370700,0.6655063,-0.02984833,0.0315344,-0.1817068,355.1248,214.8533,359.6236,-0.2164265,-0.3943634,-0.3297745,20.80067,221.5651,359.884
2018/06/28 - 03:28:54.1490388,0.676799,-0.02961613,0.03181993,-0.1816157,355.1003,214.9025,359.6223,-0.2163406,-0.3943615,-0.3296293,20.80221,221.5635,359.8515
2018/06/28 - 03:28:54.1610057,0.6879856,-0.02951493,0.0319165,-0.1815466,354.8888,214.9393,359.7229,-0.2162315,-0.3943666,-0.3294851,20.78142,221.5465,359.8113
2018/06/28 - 03:28:54.1725128,0.7001572,-0.02930302,0.03216474,-0.1814076,354.8099,214.9792,359.7373,-0.2161591,-0.3943851,-0.3294237,20.77151,221.5264,359.7959
