Time (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
0.01126029,0.02572704,-0.03678267,-0.4592465,15.17825,349.2018,7.287774,-0.02116593,-0.4043872,-0.1606944,350.5336,330.1449,345.4035
0.02238688,0.02631427,-0.03696991,-0.4599895,15.25132,349.3132,7.208231,-0.0219059,-0.4047605,-0.1603723,350.9741,329.8899,345.4742
0.033974,0.02690376,-0.03717154,-0.4606662,15.21802,349.479,7.116975,-0.02200207,-0.4049411,-0.1596958,351.411,330.1765,345.0809
0.04457835,0.02744294,-0.03731691,-0.4614307,15.33303,349.6821,7.038763,-0.02145162,-0.4048773,-0.1585887,351.6619,331.119,344.5009
0.05569784,0.02798694,-0.03766796,-0.4622657,15.42508,349.8682,7.000591,-0.02054919,-0.4047667,-0.1573275,351.7585,332.6468,344.0132
0.06763197,0.02848363,-0.03807841,-0.4632715,15.69883,350.0107,7.046561,-0.01985395,-0.4047837,-0.1561864,351.9988,333.97,343.8235
0.077736,0.02896003,-0.03852758,-0.4643418,16.04121,350.0794,7.156901,-0.01941529,-0.4049876,-0.155257,352.5842,334.7214,343.8295
0.08830082,0.02926769,-0.0390794,-0.4654192,16.33734,350.1745,7.252495,-0.01914687,-0.4053785,-0.1546207,353.2621,334.8675,343.9845
0.1007967,0.02954614,-0.03947096,-0.4664609,16.62232,350.1345,7.253649,-0.01851766,-0.4057638,-0.154677,353.7011,334.6359,343.9252
0.1114412,0.02978306,-0.03979309,-0.4673638,16.71967,350.1712,7.195242,-0.01780771,-0.4060755,-0.1547687,354.0732,334.5431,343.8093
0.1224361,0.02995354,-0.03995739,-0.4682065,16.79788,350.2737,7.103567,-0.01708515,-0.4061902,-0.154631,354.4147,334.4919,343.5771
0.1341191,0.03010976,-0.04012221,-0.4689706,16.76056,350.4141,7.041636,-0.01602947,-0.4059826,-0.1546514,354.5356,334.0977,342.9923
0.1443994,0.03023656,-0.04029046,-0.4697579,16.79087,350.586,7.023628,-0.01474452,-0.4059216,-0.1552297,354.3815,333.6152,342.4228
0.1559208,0.03020998,-0.04057071,-0.4705687,16.81787,350.7807,6.991539,-0.01352725,-0.4059529,-0.1553824,354.5547,333.7184,342.1803
0.1659415,0.03015197,-0.04089585,-0.4714479,16.96777,350.9667,7.004191,-0.01243248,-0.4059761,-0.1554983,354.6945,334.071,342.2769
0.1771335,0.03005216,-0.04133384,-0.4723923,17.17936,351.0909,7.096414,-0.01137787,-0.4061199,-0.1557256,354.6791,334.4194,342.5708
0.1881151,0.02981088,-0.04160753,-0.4733846,17.50735,351.1465,6.981229,-0.01040849,-0.4062805,-0.1559149,354.7165,334.6306,342.8625
0.1992943,0.02947866,-0.04206222,-0.4743843,17.7201,351.2217,7.084158,-0.009602369,-0.4065635,-0.1560923,354.712,334.7754,343.2883
0.2108185,0.02916566,-0.04241643,-0.4753325,17.88412,351.1453,7.086367,-0.00899272,-0.406937,-0.1562146,354.8618,334.9019,343.7622
0.2222148,0.02874233,-0.04268316,-0.4762763,18.04456,351.1299,7.073937,-0.008283307,-0.4072207,-0.1563064,354.9811,335.0234,344.0558
