Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/28 - 04:39:09.3568321,0,-0.1083631,0.008888528,-0.04602556,358.0365,357.1121,0.06068346,0.00269569,-0.5702279,0.1015102,4.413898,358.5638,10.41437
2018/06/28 - 04:39:09.3697973,0.01044932,-0.1072828,0.008814277,-0.04451634,358.0746,357.1287,0.05902924,0.002730889,-0.5704529,0.1020065,4.411529,358.4925,10.2986
2018/06/28 - 04:39:09.3777759,0.02548047,-0.1063311,0.00864614,-0.04366686,358.1265,357.1256,359.9862,0.002806608,-0.5706534,0.1026724,4.431576,358.4039,10.2233
2018/06/28 - 04:39:09.3877505,0.03482701,-0.1053712,0.008518557,-0.04267123,358.2179,357.184,359.9289,0.002893247,-0.5708366,0.1034479,4.419592,358.3375,10.17378
2018/06/28 - 04:39:09.3977237,0.04457432,-0.1043142,0.008372941,-0.04141631,358.2716,357.2172,359.859,0.002973027,-0.5709873,0.1041675,4.393509,358.3238,10.14844
2018/06/28 - 04:39:09.4116873,0.0554688,-0.1021405,0.008042794,-0.03920945,358.4367,357.3108,359.6443,0.003109718,-0.5712686,0.1055897,4.369975,358.1991,9.982388
2018/06/28 - 04:39:09.4206627,0.06788107,-0.1010127,0.007862972,-0.03852736,358.5298,357.3188,359.5161,0.003103888,-0.5714123,0.1062354,4.362886,358.0535,9.853127
2018/06/28 - 04:39:09.4326298,0.07792023,-0.1010508,0.007960273,-0.03850895,358.5472,357.3727,359.4688,0.003081769,-0.5714025,0.1060981,4.361412,358.0663,9.837152
2018/06/28 - 04:39:09.4423495,0.08950221,-0.09989546,0.007888784,-0.03731851,358.5807,357.4549,359.3049,0.003174894,-0.5714998,0.1067997,4.349275,358.0615,9.772241
2018/06/28 - 04:39:09.4553150,0.1001859,-0.09856649,0.007761316,-0.03572394,358.596,357.5419,359.1982,0.003277767,-0.5715786,0.1075215,4.306675,358.0786,9.687542
2018/06/28 - 04:39:09.4652879,0.1105573,-0.09715003,0.007737369,-0.03397386,358.6501,357.5915,359.0633,0.003423804,-0.5716271,0.1082033,4.198939,358.0923,9.554923
2018/06/28 - 04:39:09.4772559,0.1231001,-0.0957616,0.007698615,-0.03212752,358.6383,357.6801,358.9341,0.003524185,-0.5716785,0.1089537,4.147905,358.127,9.49929
2018/06/28 - 04:39:09.4882269,0.1338521,-0.09449662,0.007637699,-0.03083674,358.6718,357.7903,358.8577,0.003582962,-0.5717239,0.1097361,4.144169,358.0778,9.406394
2018/06/28 - 04:39:09.4982000,0.1445827,-0.09330232,0.007561796,-0.02990968,358.6905,357.89,358.7762,0.003620324,-0.571775,0.1104968,4.12662,358.0084,9.286626
2018/06/28 - 04:39:09.5091704,0.1561155,-0.09228809,0.007507334,-0.02961275,358.6753,357.9514,358.6808,0.003618525,-0.5718601,0.1112145,4.170519,357.9442,9.185726
2018/06/28 - 04:39:09.5191445,0.1662534,-0.09137448,0.007504616,-0.02951107,358.7023,358.0591,358.603,0.003622371,-0.5719781,0.111845,4.189118,357.8734,9.063835
2018/06/28 - 04:39:09.5321086,0.1763702,-0.0903694,0.00745213,-0.02931492,358.6647,358.1386,358.5332,0.0036293,-0.5720359,0.112441,4.132167,357.833,8.952834
2018/06/28 - 04:39:09.5410995,0.1880813,-0.08925553,0.007392534,-0.02895287,358.6505,358.172,358.4719,0.00366911,-0.5720436,0.1130772,4.052083,357.8604,8.87828
2018/06/28 - 04:39:09.5530539,0.1988304,-0.0885071,0.007197523,-0.02947469,358.686,358.3038,358.4473,0.003731509,-0.5719835,0.1137318,3.934607,357.8946,8.809778
2018/06/28 - 04:39:09.5630265,0.2101337,-0.08758352,0.007101465,-0.02947539,358.6857,358.3808,358.3967,0.00379424,-0.5719692,0.1144128,3.840991,357.8986,8.724001
2018/06/28 - 04:39:09.5759917,0.220765,-0.08653237,0.007113563,-0.02901871,358.6935,358.4327,358.3594,0.003814904,-0.5720172,0.1150805,3.818266,357.8799,8.668371
2018/06/28 - 04:39:09.5849733,0.2321783,-0.08538913,0.007066968,-0.02811048,358.7104,358.4933,358.2953,0.003784118,-0.5720891,0.1157368,3.871289,357.7956,8.599445
2018/06/28 - 04:39:09.5969361,0.2430259,-0.08425425,0.007013151,-0.02727965,358.8037,358.5629,358.2507,0.003724399,-0.5721781,0.1163631,3.897866,357.6643,8.490473
2018/06/28 - 04:39:09.6089035,0.2540768,-0.08318971,0.006848696,-0.0264845,358.8482,358.603,358.1609,0.003673432,-0.5722895,0.1169101,3.885607,357.5138,8.369152
2018/06/28 - 04:39:09.6208726,0.2658659,-0.08203979,0.006794907,-0.02555382,358.9734,358.6549,358.1671,0.003664087,-0.5724323,0.1174489,3.865534,357.4266,8.3036
2018/06/28 - 04:39:09.6318428,0.2782944,-0.08087092,0.006724568,-0.02449799,359.0221,358.6819,358.134,0.003710739,-0.5725681,0.1180097,3.817375,357.4162,8.285123
2018/06/28 - 04:39:09.6408184,0.2881415,-0.07983133,0.006598821,-0.02372136,359.0561,358.6802,358.0489,0.003738063,-0.572743,0.1185315,3.799501,357.4083,8.258855
2018/06/28 - 04:39:09.6527861,0.2988013,-0.07876194,0.006442784,-0.02301862,359.1635,358.6354,358.0358,0.003772456,-0.57288,0.1191306,3.774378,357.3325,8.21248
2018/06/28 - 04:39:09.6627641,0.3099222,-0.07775667,0.006453218,-0.02237667,359.3163,358.6133,357.9555,0.003779876,-0.5730557,0.1196566,3.754996,357.258,8.171118
2018/06/28 - 04:39:09.6747275,0.3208139,-0.07675969,0.006326511,-0.02169851,359.3325,358.5606,357.9124,0.003790131,-0.5733144,0.1199943,3.773003,357.1548,8.093062
