2018/06/29 - 01:21:48.3702242,2.333683,0,1,Peer hit peer's target,-3.856806,4.404709,3.541686
2018/06/29 - 01:21:48.4829228,2.444783,0,0,Peer missed, , , 
2018/06/29 - 01:21:51.8258012,5.789036,2,1,Peer hit peer's target,5.269442,4.940506,2.410685
2018/06/29 - 01:21:54.1271233,8.088492,2,2,Peer hit peer's target,-0.330313,6.852998,-4.502412
2018/06/29 - 01:21:54.3156236,8.277535,2,3,Peer hit peer's target,2.330729,3.818742,3.23697
2018/06/29 - 01:21:54.6063560,8.566746,2,4,Peer hit peer's target,2.171447,8.503047,-3.332186
2018/06/29 - 01:21:54.8387323,8.799377,2,5,Peer hit peer's target,0.6758692,3.968208,4.690534
2018/06/29 - 01:21:54.9933190,8.954819,2,6,Peer hit peer's target,-2.011563,3.347246,4.924112
2018/06/29 - 01:21:55.9947383,9.955838,3,7,Peer hit peer's target,0.7175837,4.685133,-5.029318
2018/06/29 - 01:21:56.7507223,10.71119,3,8,Peer hit peer's target,-2.547595,1.803473,-2.439176
2018/06/29 - 01:21:58.5512934,12.51127,3,9,Peer hit peer's target,3.089958,7.213172,-3.084647
2018/06/29 - 01:21:59.1288626,13.08977,3,8,Peer missed, , , 
2018/06/29 - 01:21:59.5169187,13.47851,3,7,Peer missed, , , 
2018/06/29 - 01:22:02.7061514,16.6675,3,6,Peer missed, , , 
2018/06/29 - 01:22:03.3399520,17.30116,4,7,Peer hit peer's target,2.3543,8.260868,2.683517
2018/06/29 - 01:22:04.1070208,18.0687,4,8,Peer hit peer's target,-2.02843,7.037379,-4.630011
2018/06/29 - 01:22:05.5288488,19.49024,4,7,Peer missed, , , 
2018/06/29 - 01:22:06.1304171,20.09136,5,8,Peer hit peer's target,0.9417746,6.357764,4.383923
2018/06/29 - 01:22:06.9066447,20.86756,6,9,Peer hit peer's target,0.8875491,5.122165,5.315015
2018/06/29 - 01:22:07.1066641,21.06788,6,10,Peer hit peer's target,2.8062,8.922221,0.6400363
2018/06/29 - 01:22:07.4836541,21.44445,6,11,Peer hit peer's target,-4.820148,3.852798,-0.949795
2018/06/29 - 01:22:09.4171836,23.37832,7,12,Peer hit peer's target,0.6927107,3.278444,-4.836196
2018/06/29 - 01:22:09.9620936,23.92362,5,11,Peer missed, , , 
2018/06/29 - 01:22:11.0994577,25.06067,6,10,Peer missed, , , 
2018/06/29 - 01:22:13.9170639,27.8787,7,9,Peer missed, , , 
2018/06/29 - 01:22:15.8384112,29.80037,7,8,Peer missed, , , 
2018/06/29 - 01:22:16.7644143,30.72382,8,9,Peer hit peer's target,-4.873566,5.352348,0.6163001
2018/06/29 - 01:22:19.9949007,33.95657,6,11,Peer hit peer's target,-1.751265,3.050313,-4.982832
2018/06/29 - 01:22:21.3076543,35.26849,6,12,Peer hit peer's target,-1.303946,4.313604,4.52617
2018/06/29 - 01:22:22.2956769,36.25719,5,13,Peer hit peer's target,0.06652562,6.144463,-5.143796
2018/06/29 - 01:22:22.7854819,36.74564,5,12,Peer missed, , , 
2018/06/29 - 01:22:24.7850217,38.74566,5,11,Peer missed, , , 
2018/06/29 - 01:22:25.1622970,39.12384,5,10,Peer missed, , , 
2018/06/29 - 01:22:26.1063509,40.06793,6,9,Peer missed, , , 
2018/06/29 - 01:22:30.8946710,44.85655,8,10,Peer hit peer's target,-1.03399,5.082481,5.503092
2018/06/29 - 01:22:30.9634865,44.92404,8,11,Peer hit peer's target,-1.824718,7.84334,-3.479701
2018/06/29 - 01:22:31.6726334,45.6343,8,12,Peer hit peer's target,-4.376216,6.164256,1.650954
2018/06/29 - 01:22:31.7633912,45.72404,8,13,Peer hit peer's target,-0.5510712,7.864658,-2.243321
2018/06/29 - 01:22:32.7638528,46.72466,8,14,Peer hit peer's target,-3.47321,7.179079,-2.172107
2018/06/29 - 01:22:33.2305362,47.19085,9,13,Peer missed, , , 
2018/06/29 - 01:22:33.6963853,47.65777,9,12,Peer missed, , , 
2018/06/29 - 01:22:35.3180792,49.27954,10,11,Peer missed, , , 
2018/06/29 - 01:22:36.2627096,50.22311,9,12,Peer hit peer's target,4.900698,7.169199,-0.08538134
2018/06/29 - 01:22:39.2086969,53.16977,10,11,Peer missed, , , 
2018/06/29 - 01:22:39.2426063,53.20329,10,12,Peer hit peer's target,2.480278,2.398044,-4.69736
2018/06/29 - 01:22:39.2864957,53.24728,10,13,Peer hit peer's target,2.196222,6.889125,3.528039
2018/06/29 - 01:22:39.3304030,53.2919,11,14,Peer hit peer's target,3.904162,2.051041,0.1490083
2018/06/29 - 01:22:39.8716120,53.83565,11,15,Peer hit peer's target,-2.130951,7.785451,3.584761
2018/06/29 - 01:22:42.8862478,56.84694,11,16,Peer hit peer's target,-4.732194,4.017188,-2.174942
2018/06/29 - 01:22:43.6529107,57.61411,11,15,Peer missed, , , 
2018/06/29 - 01:22:44.6636069,58.62482,11,14,Peer missed, , , 
2018/06/29 - 01:22:45.3737064,59.33561,10,15,Peer hit peer's target,-0.4140728,4.281983,-5.249972
2018/06/29 - 01:22:48.4310281,62.39142,12,16,Peer hit peer's target,-4.589629,5.752856,2.246266
2018/06/29 - 01:22:49.6186070,63.58043,14,15,Peer missed, , , 
2018/06/29 - 01:22:52.7515512,66.71277,15,16,Peer hit peer's target,-4.394086,7.9627,-0.568595
2018/06/29 - 01:22:55.8941007,69.85596,15,17,Peer hit peer's target,2.794401,4.786255,-4.356379
2018/06/29 - 01:22:56.0297576,69.99046,15,18,Peer hit peer's target,3.229793,8.22541,0.06639067
2018/06/29 - 01:22:57.0537163,71.01428,14,19,Peer hit peer's target,4.64875,3.418437,-1.221226
2018/06/29 - 01:22:58.2742979,72.23522,12,18,Peer missed, , , 
