Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Left Hand Position x:,Left Hand Position y:,Left Hand Position z:,Left Hand rotation x:,Left Hand rotation y:,Left Hand rotation z:
2018/06/29 - 02:39:54.1381620,0,0.1011734,0.005772182,0.03327536,357.3421,304.3726,358.4711,-0.1340989,-0.3704978,0.04867493,350.9154,312.6981,19.53875
2018/06/29 - 02:39:54.1491258,0.01129896,0.1008009,0.006781681,0.03292853,356.1631,304.1193,358.5106,-0.1344068,-0.370612,0.04855816,350.9604,312.5953,19.4204
2018/06/29 - 02:39:54.1581015,0.02350842,0.1009904,0.008059316,0.03216922,355.4738,303.9299,358.6866,-0.1346373,-0.3706474,0.04849062,350.982,312.5245,19.3201
2018/06/29 - 02:39:54.1700717,0.03383913,0.1013334,0.008930856,0.03145869,354.6733,303.5978,358.815,-0.1348593,-0.3706488,0.04838581,350.9886,312.4389,19.24091
2018/06/29 - 02:39:54.1820385,0.04516795,0.1015041,0.009579487,0.03072062,354.0659,303.3254,358.9618,-0.1351107,-0.3705632,0.04823971,350.9838,312.353,19.19039
2018/06/29 - 02:39:54.1920217,0.05651157,0.1016044,0.01011101,0.03005525,353.4555,303.0364,359.1662,-0.1353786,-0.3704288,0.04804416,350.9706,312.2594,19.20061
2018/06/29 - 02:39:54.2039839,0.06729284,0.101901,0.01061256,0.02931191,353.0264,302.6934,359.3752,-0.1356763,-0.370292,0.04782597,350.9513,312.1824,19.28792
2018/06/29 - 02:39:54.2159457,0.07840151,0.1022165,0.01104856,0.02863652,352.5457,302.2719,359.5229,-0.1360271,-0.3701344,0.04762938,350.9425,312.1215,19.41239
2018/06/29 - 02:39:54.2259191,0.09148222,0.1022957,0.0115712,0.02796544,352.0142,301.9816,359.6449,-0.1363383,-0.3699996,0.04744152,350.9302,312.0273,19.4997
2018/06/29 - 02:39:54.2368895,0.1003981,0.1024561,0.01212475,0.02736506,351.5103,301.6202,359.7342,-0.136625,-0.3699108,0.04726106,350.9185,311.9069,19.55467
