2018/06/29 - 02:39:58.3035390,4.167006,0,1,User missed, , , 
2018/06/29 - 02:39:59.2311500,5.088777,0,4,User missed, , , 
2018/06/29 - 02:40:00.8058031,6.668329,1,5,User hit user's target,-4.386589,7.729188,2.121678
2018/06/29 - 02:40:01.9729844,7.834897,2,6,User hit user's target,-4.494852,7.378774,-2.415484
2018/06/29 - 02:40:04.9410160,10.80191,3,4,User hit user's target,-2.184544,7.730037,3.922968
2018/06/29 - 02:40:08.0491274,13.91104,4,4,User hit user's target,-4.19856,6.402885,1.286904
2018/06/29 - 02:40:10.4721364,16.33368,5,7,User hit user's target,-2.775182,6.944411,-2.515174
2018/06/29 - 02:40:11.4514818,17.31217,6,7,User hit user's target,-3.025022,3.864027,-3.181989
2018/06/29 - 02:40:12.3416325,18.20114,7,7,User hit user's target,-0.7784595,6.64075,-4.399951
2018/06/29 - 02:40:15.9155381,21.77828,8,12,User hit user's target,-4.889286,4.935904,1.965621
2018/06/29 - 02:40:18.1296924,23.99033,9,14,User hit user's target,-3.630081,7.186996,-2.952415
2018/06/29 - 02:40:19.5410560,25.40253,10,14,User hit user's target,-4.687839,6.387266,-2.57395
2018/06/29 - 02:40:21.0067143,26.86754,11,13,User hit user's target,-5.89032,5.324721,-0.4310432
2018/06/29 - 02:40:22.0616202,27.92393,12,13,User hit user's target,-1.846717,2.867742,-5.14781
2018/06/29 - 02:40:24.2846172,30.14605,13,17,User hit user's target,4.769947,5.022632,1.688395
2018/06/29 - 02:40:26.5305066,32.39214,14,17,User hit user's target,3.63188,6.725556,2.8955
2018/06/29 - 02:40:27.4072144,33.2691,15,18,User hit user's target,2.765708,6.59517,3.886795
2018/06/29 - 02:40:28.9521235,34.81403,14,18,User missed, , , 
2018/06/29 - 02:40:29.4727005,35.33431,15,18,User hit user's target,-4.571572,4.82459,2.1265
2018/06/29 - 02:40:29.8917717,35.74601,16,18,User hit user's target,-4.36003,4.707374,1.468545
2018/06/29 - 02:40:30.8382775,36.70016,15,19,User missed, , , 
2018/06/29 - 02:40:31.3942808,37.25698,16,20,User hit user's target,0.9517804,4.051226,5.049211
2018/06/29 - 02:40:32.1975672,38.05732,17,20,User hit user's target,-0.4859718,4.312239,5.217471
