Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Left Hand Position x:,Left Hand Position y:,Left Hand Position z:,Left Hand rotation x:,Left Hand rotation y:,Left Hand rotation z:
2018/06/29 - 02:44:36.5952101,0,-0.01173399,0.01319597,-0.02624297,349.4214,15.45816,359.7749,0.005690855,-0.3252096,0.2697074,342.8749,10.0498,38.4559
2018/06/29 - 02:44:36.6061814,0.01143578,-0.0117683,0.01279912,-0.02594807,349.7185,15.88655,359.7259,0.008492852,-0.3253503,0.2692335,342.9491,10.42241,37.57776
2018/06/29 - 02:44:36.6141606,0.02596943,-0.01183245,0.01250396,-0.02577692,350.0907,16.3004,359.6616,0.01123545,-0.3255203,0.2687692,342.9828,10.82095,36.77578
2018/06/29 - 02:44:36.6241338,0.03266637,-0.01188981,0.01211606,-0.02557749,350.5606,16.72613,359.5745,0.01419203,-0.3258057,0.2682736,343.0207,11.27441,35.86288
2018/06/29 - 02:44:36.6367540,0.04394314,-0.01185542,0.01167963,-0.02536216,351.0112,17.09919,359.5547,0.01731744,-0.3262161,0.2678972,343.183,11.6327,34.90682
2018/06/29 - 02:44:36.6467217,0.05544462,-0.01189712,0.01121275,-0.02512268,351.5385,17.5292,359.4651,0.02046929,-0.3267417,0.2675748,343.4464,11.96976,33.91951
2018/06/29 - 02:44:36.6587025,0.06604356,-0.01194673,0.01071161,-0.02487808,352.0959,17.97832,359.3466,0.02391034,-0.3275734,0.2672897,343.7917,12.43106,32.67805
2018/06/29 - 02:44:36.6696593,0.07745601,-0.0119339,0.01010477,-0.02469996,352.7272,18.3875,359.2092,0.02736634,-0.3283609,0.2670508,344.2458,12.80321,31.363
2018/06/29 - 02:44:36.6796336,0.08865912,-0.01197143,0.009427619,-0.02450861,353.4038,18.90084,359.1367,0.03073799,-0.3291702,0.2668198,344.7617,13.06203,30.17778
2018/06/29 - 02:44:36.6916001,0.09922563,-0.01196953,0.008575697,-0.02433237,354.1414,19.40294,359.0352,0.03396694,-0.3300201,0.2664658,345.1016,13.40677,29.26502
2018/06/29 - 02:44:36.7025708,0.1104102,-0.01194238,0.007738435,-0.02425748,355.0163,19.86929,358.9354,0.03722558,-0.3309843,0.2659888,345.2821,13.98372,28.53091
2018/06/29 - 02:44:36.7145388,0.1219092,-0.01191918,0.006856416,-0.02416029,355.8641,20.38542,358.8664,0.04043163,-0.3319959,0.2654917,345.466,14.56358,27.81203
2018/06/29 - 02:44:36.7255098,0.132974,-0.01188149,0.005984944,-0.02399134,356.6656,20.89981,358.7347,0.04360455,-0.3330865,0.2649313,345.6838,15.18994,27.13151
2018/06/29 - 02:44:36.7364814,0.1453493,-0.01186555,0.005278361,-0.02382131,357.513,21.46374,358.6582,0.04676856,-0.334031,0.2643454,345.8798,15.77179,26.5117
2018/06/29 - 02:44:36.7464554,0.1557113,-0.01176293,0.004413127,-0.02353688,358.0634,21.99227,358.6073,0.04971655,-0.3348548,0.2636504,345.9622,16.29396,26.07214
2018/06/29 - 02:44:36.7584356,0.1658904,-0.01170509,0.003639986,-0.02328562,358.6005,22.55513,358.5569,0.05254743,-0.3356677,0.2627504,345.8227,16.93257,25.75646
2018/06/29 - 02:44:36.7683957,0.1772901,-0.0116138,0.002939012,-0.02310621,359.1443,23.09918,358.5702,0.05556926,-0.3364055,0.2618501,345.7469,17.65955,25.25688
2018/06/29 - 02:44:36.7823601,0.1879744,-0.01154861,0.002213306,-0.02291026,359.6729,23.61882,358.5407,0.05851081,-0.3369393,0.2608853,345.6991,18.31483,24.76622
2018/06/29 - 02:44:36.7913338,0.1994059,-0.01148651,0.001525158,-0.02277705,0.297908,24.16807,358.593,0.06132659,-0.3373877,0.2598455,345.63,18.91698,24.38592
2018/06/29 - 02:44:36.8023375,0.2103572,-0.01142302,0.0007972646,-0.02255435,0.7985,24.71549,358.5617,0.06402396,-0.337712,0.2586837,345.4531,19.62957,24.05647
2018/06/29 - 02:44:36.8152708,0.2214676,-0.01137264,0.0002878708,-0.02244515,1.350928,25.2804,358.5742,0.06666636,-0.3380317,0.2575025,345.3002,20.28722,23.72527
2018/06/29 - 02:44:36.8242468,0.2337505,-0.01126857,-0.0002819824,-0.02225607,1.72054,25.82444,358.6158,0.0692322,-0.3382518,0.2562651,345.1603,20.82086,23.39574
2018/06/29 - 02:44:36.8362133,0.2436312,-0.01123756,-0.0007283773,-0.02210621,1.995373,26.42497,358.5937,0.07174119,-0.3384051,0.2550396,345.1067,21.31657,23.08265
2018/06/29 - 02:44:36.8461867,0.2552311,-0.01115022,-0.001057184,-0.02201175,2.305064,26.95889,358.6779,0.07417832,-0.3385083,0.253872,345.0794,21.79182,22.81396
2018/06/29 - 02:44:36.8581547,0.2658858,-0.01111686,-0.001340106,-0.02188556,2.476772,27.43494,358.6436,0.07639291,-0.3384959,0.2526481,345.026,22.19892,22.65683
2018/06/29 - 02:44:36.8691266,0.277282,-0.01117784,-0.001564051,-0.02170672,2.765776,28.02049,358.6567,0.07858061,-0.3384638,0.2513118,344.8912,22.70427,22.50501
2018/06/29 - 02:44:36.8840857,0.2884982,-0.01117925,-0.001843465,-0.02173549,2.985103,28.53637,358.739,0.08067194,-0.3382772,0.2500392,344.803,23.34165,22.41216
2018/06/29 - 02:44:36.8930898,0.3035046,-0.01122016,-0.002097835,-0.02165114,3.27282,29.0581,358.7253,0.08277418,-0.3381247,0.2487655,344.7146,23.94196,22.30496
2018/06/29 - 02:44:36.9020370,0.3114497,-0.01121514,-0.0024112,-0.0216123,3.486039,29.57433,358.7913,0.08471267,-0.3379464,0.2474598,344.5729,24.58246,22.31494
2018/06/29 - 02:44:36.9130077,0.3211637,-0.01120885,-0.002633834,-0.02160315,3.719681,30.0386,358.8123,0.08670449,-0.3378479,0.2461666,344.4949,25.27912,22.25395
2018/06/29 - 02:44:36.9239790,0.3320807,-0.01119478,-0.002783609,-0.02155977,3.975234,30.52523,358.9057,0.08855599,-0.337708,0.2448682,344.3861,25.88643,22.20813
2018/06/29 - 02:44:36.9359677,0.3433432,-0.01122892,-0.002924945,-0.02150019,4.190962,31.05249,358.9752,0.09031562,-0.3376138,0.2436177,344.2332,26.35868,22.2569
2018/06/29 - 02:44:36.9459195,0.3548162,-0.01124448,-0.003084995,-0.02148844,4.367206,31.51339,358.9832,0.09213097,-0.3375084,0.2425906,344.153,26.75282,22.24322
2018/06/29 - 02:44:36.9578878,0.3657431,-0.01128752,-0.003252054,-0.02151319,4.512731,32.03131,359.0196,0.09418732,-0.3374755,0.2416591,344.268,27.22609,22.00713
2018/06/29 - 02:44:36.9678624,0.3769582,-0.01131483,-0.003368481,-0.02161242,4.705745,32.54616,359.0805,0.09631252,-0.3374397,0.2407176,344.48,27.75739,21.78246
2018/06/29 - 02:44:36.9808273,0.3879081,-0.01130269,-0.003533982,-0.02170972,4.820117,33.08538,359.1488,0.09835858,-0.3373689,0.2398153,344.6723,28.38744,21.68649
2018/06/29 - 02:44:36.9917975,0.3994233,-0.01131253,-0.003627283,-0.0217504,4.940914,33.62838,359.1523,0.1003493,-0.3373669,0.2388465,344.8473,29.09436,21.66455
2018/06/29 - 02:44:37.0017706,0.4101903,-0.01127729,-0.003641452,-0.02192589,5.115676,34.19195,359.2172,0.1023825,-0.3374172,0.2378421,345.0592,29.83381,21.61259
2018/06/29 - 02:44:37.0137392,0.4213832,-0.01113744,-0.00372256,-0.02197452,5.118641,34.70629,359.2642,0.1043676,-0.3374491,0.2367346,345.2539,30.51265,21.52004
2018/06/29 - 02:44:37.0257290,0.4324398,-0.01103266,-0.003719505,-0.02207714,5.092954,35.32111,359.3322,0.1062426,-0.3374182,0.2356048,345.3704,31.19295,21.56759
2018/06/29 - 02:44:37.0356803,0.4447311,-0.01087484,-0.003694003,-0.02216265,5.014191,35.91696,359.4484,0.1082054,-0.337509,0.2344612,345.6086,32.0142,21.68347
2018/06/29 - 02:44:37.0456543,0.4546514,-0.01071784,-0.003559207,-0.02226481,4.9378,36.5585,359.5566,0.1104825,-0.3376272,0.2331647,346.0764,32.95517,21.67961
2018/06/29 - 02:44:37.0576314,0.4656927,-0.01055442,-0.003361008,-0.02235147,4.894979,37.17139,359.6225,0.1125332,-0.3376522,0.2319439,346.5561,33.69482,21.7186
