Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,User Points:,Peer Points:,Action type:,Target position x:,Target position y:,Target position z:
2018/07/02 - 10:41:49.6176769,45.03544,0,1,Peer hit peer's target,3.042099,7.959502,-2.60526
2018/07/02 - 10:41:52.7267963,48.14559,0,0,Peer missed, , , 
2018/07/02 - 10:41:54.7273228,50.14606,2,1,Peer hit peer's target,-3.806392,8.000839,0.8729033
2018/07/02 - 10:41:55.3267188,50.74523,2,2,Peer hit peer's target,-1.804594,6.101562,4.925402
2018/07/02 - 10:41:58.9045688,54.32338,4,3,Peer hit peer's target,-0.4795837,2.932104,4.410763
2018/07/02 - 10:42:02.1051938,57.52345,4,4,Peer hit peer's target,3.423775,7.218679,-0.2062296
2018/07/02 - 10:42:05.8053822,61.22393,5,5,Peer hit peer's target,4.669012,2.987718,0.7206079
2018/07/02 - 10:42:06.8167773,62.23507,6,6,Peer hit peer's target,-3.18067,7.756847,1.80543
2018/07/02 - 10:42:07.1180342,62.53566,6,7,Peer hit peer's target,3.649662,6.143097,3.582019
2018/07/02 - 10:42:08.7949800,64.21252,7,8,Peer hit peer's target,1.70421,9.793682,-0.575048
2018/07/02 - 10:42:09.0949399,64.51307,7,9,Peer hit peer's target,2.344232,8.53716,1.044036
2018/07/02 - 10:42:12.4056545,67.82389,11,10,Peer hit peer's target,4.231576,4.037835,-2.717058
2018/07/02 - 10:42:13.6723848,69.09055,11,9,Peer missed, , , 
2018/07/02 - 10:42:15.5276544,70.94666,11,8,Peer missed, , , 
2018/07/02 - 10:42:16.5398053,71.95771,12,9,Peer hit peer's target,4.200593,4.317187,3.307693
2018/07/02 - 10:42:16.8400920,72.25796,12,10,Peer hit peer's target,2.157276,5.160385,-4.273704
2018/07/02 - 10:42:17.5953409,73.01315,13,11,Peer hit peer's target,-4.371159,5.675148,1.001696
2018/07/02 - 10:42:17.9053175,73.32371,12,12,Peer hit peer's target,-4.123195,6.552588,3.505075
2018/07/02 - 10:42:20.1619235,75.5801,15,13,Peer hit peer's target,-1.982549,8.747249,-3.472462
2018/07/02 - 10:42:20.4626312,75.88022,15,14,Peer hit peer's target,-0.8588242,4.725818,6.225048
2018/07/02 - 10:42:20.8621088,76.28025,15,15,Peer hit peer's target,3.178506,4.725057,-2.277709
2018/07/02 - 10:42:24.2731473,79.69093,17,14,Peer hit user's target,-0.08072336,4.669737,4.908239
2018/07/02 - 10:42:26.8503379,82.26908,18,15,Peer hit peer's target,2.548588,7.583143,3.262897
2018/07/02 - 10:42:27.2722644,82.6908,18,16,Peer hit peer's target,1.832397,3.431506,-3.840365
2018/07/02 - 10:42:27.5735110,82.99122,18,17,Peer hit peer's target,-0.7651337,2.839458,-4.22311
2018/07/02 - 10:42:28.4741201,83.89239,19,18,Peer hit peer's target,-2.226948,2.764175,-3.72239
2018/07/02 - 10:42:30.2748429,85.69257,21,19,Peer hit peer's target,-3.848656,8.044544,1.388741
2018/07/02 - 10:42:30.5850117,86.00352,21,20,Peer hit peer's target,-4.100879,7.233933,-1.548786
2018/07/02 - 10:42:31.0288485,86.44784,21,21,Peer hit peer's target,1.051231,8.523848,-2.927017
2018/07/02 - 10:42:32.3622780,87.78091,20,22,Peer hit peer's target,1.56001,3.655007,-4.341128
