Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,User Points:,Peer Points:,Action type:,Target position x:,Target position y:,Target position z:
2018/07/02 - 10:41:43.4064063,44.99089,0,0,User missed, , , 
2018/07/02 - 10:41:53.0269934,48.44528,1,0,User hit user's target,2.72545,4.596204,3.863147
2018/07/02 - 10:41:54.1269233,49.54565,2,0,User hit user's target,2.214362,4.201101,3.681753
2018/07/02 - 10:41:56.7270506,52.14595,3,2,User hit user's target,-4.354034,4.600288,2.486665
2018/07/02 - 10:41:58.6606063,54.07818,4,2,User hit user's target,1.929415,4.566288,3.947342
2018/07/02 - 10:42:01.3163042,56.73397,3,3,User missed, , , 
2018/07/02 - 10:42:01.9386395,57.35627,4,3,User hit user's target,-2.714329,2.627019,-2.625458
2018/07/02 - 10:42:03.3827543,58.80186,5,4,User hit user's target,-3.180872,7.053676,2.357138
2018/07/02 - 10:42:03.9622037,59.38033,4,4,User missed, , , 
2018/07/02 - 10:42:04.3062833,59.72446,5,4,User hit user's target,-3.608877,7.045297,2.975533
2018/07/02 - 10:42:06.7170430,62.13465,6,5,User hit user's target,4.811525,6.527181,-2.492743
2018/07/02 - 10:42:08.2619689,63.67998,7,7,User hit user's target,3.751302,3.108371,-2.331845
2018/07/02 - 10:42:09.1717576,64.59008,8,9,User hit user's target,4.96808,4.246003,0.2248439
2018/07/02 - 10:42:10.2943406,65.71268,9,9,User hit user's target,4.475463,3.458082,2.963928
2018/07/02 - 10:42:11.4279225,66.8466,10,9,User hit user's target,0.6258994,5.532044,4.368436
2018/07/02 - 10:42:12.0276664,67.44631,11,9,User hit user's target,4.979993,4.077576,1.971794
2018/07/02 - 10:42:15.7828076,71.20169,12,8,User hit user's target,2.467647,2.96795,4.561398
2018/07/02 - 10:42:16.9497982,72.3682,13,10,User hit user's target,0.2019723,3.334386,-4.180908
2018/07/02 - 10:42:17.6975695,73.11464,12,11,User missed, , , 
2018/07/02 - 10:42:18.0948338,73.51293,13,12,User hit user's target,4.12951,3.086449,2.245239
2018/07/02 - 10:42:18.9399715,74.35744,14,12,User hit user's target,4.536003,6.736366,0.8156936
2018/07/02 - 10:42:20.0053381,75.42423,15,12,User hit user's target,1.156906,3.595879,5.375458
2018/07/02 - 10:42:21.2560553,76.66992,14,15,User missed, , , 
2018/07/02 - 10:42:21.7287917,77.14714,15,15,User hit user's target,-4.269765,7.611999,-1.649076
2018/07/02 - 10:42:23.6169322,79.03503,16,15,User hit user's target,2.929232,2.835256,3.598317
2018/07/02 - 10:42:24.6054003,80.02429,16,14,User missed, , , 
2018/07/02 - 10:42:24.9402102,80.35825,17,14,User hit user's target,-0.3395364,5.548253,4.806939
2018/07/02 - 10:42:25.9186548,81.33634,18,14,User hit user's target,-4.008815,2.578244,1.750576
2018/07/02 - 10:42:28.2407244,83.65898,19,17,User hit user's target,-1.275745,4.131724,3.124712
2018/07/02 - 10:42:28.9058818,84.32507,20,18,User hit user's target,1.030554,7.244327,5.076111
2018/07/02 - 10:42:29.5621259,84.98083,21,18,User hit user's target,-2.141973,4.284563,4.087667
2018/07/02 - 10:42:32.0959898,87.51415,20,21,User missed, , , 
2018/07/02 - 10:42:32.5846823,88.00313,19,22,User missed, , , 
2018/07/02 - 10:42:33.0625517,88.48024,20,22,User hit user's target,1.096203,2.176366,3.455358
2018/07/02 - 10:42:34.3282136,89.747,19,22,User missed, , , 
