Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,User Points:,Peer Points:,Action type:,Target position x:,Target position y:,Target position z:
2018/07/02 - 10:43:40.1787134,135.5937,0,1,Peer hit peer's target,-4.353497,2.020836,-0.6487341
2018/07/02 - 10:43:40.9386793,136.3554,0,2,Peer hit peer's target,2.90077,7.505424,-2.955332
2018/07/02 - 10:43:42.4204979,137.8374,1,3,Peer hit peer's target,-3.785794,3.83118,3.195267
2018/07/02 - 10:43:43.5220646,138.9397,2,4,Peer hit peer's target,-2.83584,6.696419,-3.812114
2018/07/02 - 10:43:44.7325887,140.1494,2,3,Peer missed, , , 
2018/07/02 - 10:43:45.3754108,140.7936,0,2,Peer missed, , , 
2018/07/02 - 10:43:45.6766765,141.0947,0,1,Peer missed, , , 
2018/07/02 - 10:43:49.1431409,144.561,1,0,Peer missed, , , 
2018/07/02 - 10:44:04.1994931,159.6169,5,1,Peer hit peer's target,4.821776,5.206439,1.306856
2018/07/02 - 10:44:04.8218261,160.2392,5,0,Peer missed, , , 
2018/07/02 - 10:44:07.0325560,162.4494,6,1,Peer hit peer's target,-1.2113,8.405277,4.059065
2018/07/02 - 10:44:09.5327113,164.9504,7,2,Peer hit peer's target,3.258159,7.520177,-4.348922
2018/07/02 - 10:44:11.4206635,166.8384,8,3,Peer hit peer's target,3.64499,8.156034,-2.993166
2018/07/02 - 10:44:13.8554130,169.2732,8,4,Peer hit peer's target,-0.07178839,7.517773,3.680665
2018/07/02 - 10:44:14.1793713,169.5954,8,3,Peer missed, , , 
2018/07/02 - 10:44:14.6219839,170.0391,8,2,Peer missed, , , 
2018/07/02 - 10:44:16.2880314,171.7057,8,1,Peer missed, , , 
2018/07/02 - 10:44:16.8226001,172.2393,9,2,Peer hit peer's target,2.865671,5.451451,3.905429
2018/07/02 - 10:44:17.8433733,173.2615,9,3,Peer hit peer's target,-3.952618,6.86516,-2.608843
2018/07/02 - 10:44:19.4087991,174.8262,10,4,Peer hit peer's target,-0.2287673,8.121959,3.40466
2018/07/02 - 10:44:20.1454505,175.5632,10,5,Peer hit peer's target,4.261917,8.129913,-1.189993
2018/07/02 - 10:44:21.5332261,176.9502,10,4,Peer missed, , , 
2018/07/02 - 10:44:24.1666271,179.5839,11,3,Peer missed, , , 
