Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,User Points:,Peer Points:,Action type:,Target position x:,Target position y:,Target position z:
2018/07/02 - 10:53:30.2020184,2.597403,1, ,User hit user's target,1.131558,5.042528,4.916277
2018/07/02 - 10:53:30.7769955,3.174617,2, ,User hit user's target,0.08349509,3.866143,4.853621
2018/07/02 - 10:53:31.5760093,3.973339,3, ,User hit user's target,-5.318544,4.492631,0.1570608
2018/07/02 - 10:53:32.9105507,5.307203,2, ,User missed, , , 
2018/07/02 - 10:53:33.2428751,5.640718,3, ,User hit user's target,-4.428586,7.505393,2.338928
2018/07/02 - 10:53:34.5115327,6.907874,4, ,User hit user's target,-3.100097,3.614109,-3.628997
2018/07/02 - 10:53:35.4653155,7.862117,5, ,User hit user's target,-3.001063,2.193126,3.104445
2018/07/02 - 10:53:35.9540080,8.351123,6, ,User hit user's target,-1.938269,2.939118,4.104403
2018/07/02 - 10:53:37.7212852,10.11882,5, ,User missed, , , 
2018/07/02 - 10:53:38.1212151,10.51866,6, ,User hit user's target,0.9674153,4.108467,5.582064
2018/07/02 - 10:53:39.9335781,12.3302,7, ,User hit user's target,-2.743093,2.731619,-3.272176
2018/07/02 - 10:53:41.3100843,13.70742,6, ,User missed, , , 
2018/07/02 - 10:53:41.6112778,14.00751,5, ,User missed, , , 
2018/07/02 - 10:53:41.9980060,14.39613,4, ,User missed, , , 
2018/07/02 - 10:53:42.4886987,14.88544,5, ,User hit user's target,-4.726158,6.34743,1.684001
2018/07/02 - 10:53:43.8326222,16.22993,6, ,User hit user's target,5.165654,6.637803,-0.100023
2018/07/02 - 10:53:44.3991741,16.79672,7, ,User hit user's target,4.414601,6.8425,-2.450933
2018/07/02 - 10:53:45.5995456,17.99729,8, ,User hit user's target,3.06715,4.961844,3.948563
2018/07/02 - 10:53:49.5667464,21.96341,9, ,User hit user's target,2.860158,7.054055,3.486025
2018/07/02 - 10:53:51.4885284,23.88422,10, ,User hit user's target,-1.495631,5.869052,3.849192
2018/07/02 - 10:53:54.3757294,26.77275,11, ,User hit user's target,1.413706,8.021043,3.684515
2018/07/02 - 10:53:57.4754920,29.87176,12, ,User hit user's target,-2.124526,3.092875,4.712674
2018/07/02 - 10:53:58.0320010,30.42854,13, ,User hit user's target,-1.08924,5.805499,4.844131
2018/07/02 - 10:53:58.6875923,31.08427,14, ,User hit user's target,-1.202538,2.680632,4.438123
2018/07/02 - 10:54:00.0527483,32.45024,15, ,User hit user's target,4.852001,4.737409,1.240715
2018/07/02 - 10:54:01.3091138,33.7065,16, ,User hit user's target,4.599073,5.322144,-2.394314
2018/07/02 - 10:54:03.8890444,36.28545,15, ,User missed, , , 
2018/07/02 - 10:54:04.2776139,36.67431,16, ,User hit user's target,1.7881,2.735017,4.373799
2018/07/02 - 10:54:06.4675151,38.86382,17, ,User hit user's target,-5.632791,5.121498,1.537022
2018/07/02 - 10:54:07.3441649,39.74094,18, ,User hit user's target,-0.6523147,3.340901,4.558826
2018/07/02 - 10:54:07.8218853,40.21947,19, ,User hit user's target,0.05673984,3.22216,4.753069
2018/07/02 - 10:54:09.3677541,41.76413,20, ,User hit user's target,-2.793714,5.867749,-2.957675
2018/07/02 - 10:54:10.4669567,42.86382,21, ,User hit user's target,-4.990919,4.742578,1.113043
