Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,User Points:,Peer Points:,Action type:,Target position x:,Target position y:,Target position z:
2018/07/02 - 10:54:15.3141299,44.98619,0,0,User missed, , , 
2018/07/02 - 10:54:26.4895117,47.92968,1,0,User hit user's target,4.277016,4.235103,3.38853
2018/07/02 - 10:54:27.5337279,48.97474,2,0,User hit user's target,1.994082,7.221191,3.707773
2018/07/02 - 10:54:32.1224419,53.56405,3,1,User hit user's target,2.464662,4.065462,3.981547
2018/07/02 - 10:54:33.5352755,54.97543,4,2,User hit user's target,0.8162462,2.989407,4.185991
2018/07/02 - 10:54:34.4340830,55.87448,5,1,User hit user's target,0.3807169,4.929624,4.488338
2018/07/02 - 10:55:16.7790080,62.97334,6,2,User hit user's target,-3.280538,5.908627,3.963974
2018/07/02 - 10:55:21.0704493,67.26454,5,1,User missed, , , 
2018/07/02 - 10:55:21.3602266,67.55344,6,1,User hit user's target,-1.44722,8.718949,3.159595
2018/07/02 - 10:55:22.4363745,68.63042,5,0,User missed, , , 
2018/07/02 - 10:55:22.7798237,68.97438,6,0,User hit user's target,-2.390456,2.988288,3.491131
2018/07/02 - 10:55:24.0025716,70.19704,7,3,User hit user's target,-2.594854,2.91291,3.187935
2018/07/02 - 10:55:24.7690112,70.96413,6,4,User hit peer's target,-1.020544,3.961376,4.783279
2018/07/02 - 10:55:25.6694087,71.86394,7,5,User hit user's target,2.183738,6.856133,4.332906
2018/07/02 - 10:55:26.4473867,72.64182,8,6,User hit user's target,1.87773,3.694194,4.327823
2018/07/02 - 10:55:27.7694384,73.96436,9,6,User hit user's target,1.211467,3.105839,3.624193
2018/07/02 - 10:55:29.2147160,75.40891,8,7,User missed, , , 
2018/07/02 - 10:55:37.6474869,83.84209,7,6,User missed, , , 
2018/07/02 - 10:55:38.0035569,84.19767,7,5,User missed, , , 
2018/07/02 - 10:55:38.3596034,84.55354,6,5,User missed, , , 
2018/07/02 - 10:55:38.5812630,84.77567,5,5,User missed, , , 
2018/07/02 - 10:55:39.7037732,85.89805,4,4,User missed, , , 
2018/07/02 - 10:55:40.1250750,86.32001,3,2,User missed, , , 
2018/07/02 - 10:55:43.5932110,89.78696,2,0,User missed, , , 
