Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,User Points:,Peer Points:,Action type:,Target position x:,Target position y:,Target position z:
2018/07/10 - 10:36:36.1051577,137.1834,1, ,User hit user's target,0.1430827,2.26734,4.60887
2018/07/10 - 10:36:39.3438706,140.4174,2, ,User hit user's target,-1.730608,4.421015,5.294311
2018/07/10 - 10:36:40.3930622,141.4717,3, ,User hit user's target,-4.842131,2.675627,1.687576
2018/07/10 - 10:36:41.0148420,142.0944,4, ,User hit user's target,-4.320733,5.600155,0.2607974
2018/07/10 - 10:36:42.9942841,144.073,5, ,User hit user's target,1.732612,4.503388,4.259352
2018/07/10 - 10:36:43.6485308,144.7277,6, ,User hit user's target,-1.200542,2.949461,4.262442
2018/07/10 - 10:36:44.6481545,145.7272,7, ,User hit user's target,-2.194133,2.885187,4.769577
2018/07/10 - 10:36:45.2256156,146.3058,8, ,User hit user's target,-2.730505,3.217534,4.12094
2018/07/10 - 10:36:46.1258888,147.2053,9, ,User hit user's target,3.003916,2.915137,3.475895
2018/07/10 - 10:36:46.7262901,147.806,8, ,User missed, , , 
2018/07/10 - 10:36:47.0813239,148.1614,9, ,User hit user's target,-2.059731,2.239199,4.008325
2018/07/10 - 10:36:48.3068957,149.3863,10, ,User hit user's target,-2.947718,2.751094,3.702829
2018/07/10 - 10:36:49.0492142,150.1287,11, ,User hit user's target,1.864152,7.444726,3.905018
2018/07/10 - 10:36:49.5401800,150.6191,12, ,User hit user's target,1.38845,5.752927,5.544406
2018/07/10 - 10:36:50.2812892,151.3618,11, ,User missed, , , 
2018/07/10 - 10:36:50.6941838,151.7734,10, ,User hit peer's target,-1.905643,4.305981,4.619401
2018/07/10 - 10:36:51.2269235,152.3067,11, ,User hit user's target,2.471646,6.922991,3.703454
2018/07/10 - 10:36:52.1381839,153.2173,12, ,User hit user's target,1.961855,7.426943,4.703936
2018/07/10 - 10:36:52.8384838,153.9178,11, ,User hit peer's target,4.25542,5.207371,3.81664
2018/07/10 - 10:36:53.9504988,155.0295,10, ,User missed, , , 
2018/07/10 - 10:36:54.4721715,155.552,9, ,User missed, , , 
2018/07/10 - 10:36:54.8720840,155.9518,10, ,User hit user's target,-4.296761,7.008193,-0.1415535
2018/07/10 - 10:36:55.4043501,156.4847,9, ,User missed, , , 
2018/07/10 - 10:36:55.6950752,156.7744,10, ,User hit user's target,-1.728379,8.489223,0.7478693
2018/07/10 - 10:36:57.3154936,158.3949,9, ,User missed, , , 
2018/07/10 - 10:36:57.6944801,158.7732,10, ,User hit user's target,0.1911356,5.998654,5.125113
2018/07/10 - 10:36:58.2939072,159.3729,11, ,User hit user's target,1.561268,2.765714,3.454048
2018/07/10 - 10:36:59.5383043,160.618,12, ,User hit user's target,0.3192894,7.770183,4.418683
2018/07/10 - 10:37:02.2821542,163.362,13, ,User hit user's target,-0.2207025,3.210129,3.564791
2018/07/10 - 10:37:03.3042296,164.384,14, ,User hit user's target,0.4756261,4.464797,4.705841
2018/07/10 - 10:37:06.8732075,167.952,15, ,User hit user's target,-2.137757,6.126884,4.598709
2018/07/10 - 10:37:07.3389702,168.4187,16, ,User hit user's target,-2.40267,5.731107,4.667185
2018/07/10 - 10:37:07.8833061,168.9629,17, ,User hit user's target,-4.108564,5.049608,3.129606
2018/07/10 - 10:37:09.1831789,170.2633,18, ,User hit user's target,-3.229661,7.239832,3.351069
2018/07/10 - 10:37:10.7052643,171.7853,19, ,User hit user's target,-1.484523,6.098563,4.710937
2018/07/10 - 10:37:12.8041887,173.8838,20, ,User hit user's target,-3.08724,2.564117,-2.573992
2018/07/10 - 10:37:14.6500822,175.729,21, ,User hit user's target,-2.198611,2.963245,4.551942
2018/07/10 - 10:37:16.1378793,177.2174,22, ,User hit user's target,-2.727175,4.47124,2.912668
