Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:,User points:,Peer points:
2018/07/10 - 10:33:48.9228572,0,-0.00672568,-0.03948153,-0.1434599,8.748151,21.08313,1.123735,0.1162027,-0.6553496,-0.01974496,356.5158,350.24,51.66703,0,0
2018/07/10 - 10:33:48.9338293,0.01134475,-0.006717695,-0.03950508,-0.1434742,8.746583,21.08889,1.120814,0.116206,-0.6553422,-0.01973996,356.5278,350.2588,51.62775,0,0
2018/07/10 - 10:33:48.9418085,0.02448491,-0.006711047,-0.03951398,-0.1434987,8.751987,21.08667,1.106164,0.1162082,-0.6553383,-0.01973773,356.5254,350.2751,51.60033,0,0
2018/07/10 - 10:33:48.9537751,0.03369691,-0.006693812,-0.03952651,-0.1435107,8.754374,21.08758,1.086668,0.1162126,-0.6553362,-0.0197393,356.5062,350.2817,51.57074,0,0
2018/07/10 - 10:33:48.9647478,0.04487469,-0.006675698,-0.03953578,-0.1435393,8.754478,21.08935,1.085223,0.1162139,-0.6553374,-0.01974175,356.4908,350.2805,51.56606,0,0
2018/07/10 - 10:33:48.9757179,0.05655282,-0.006661775,-0.03953839,-0.1435623,8.755223,21.09249,1.083567,0.1162142,-0.6553396,-0.01974442,356.4814,350.2719,51.57317,0,0
2018/07/10 - 10:33:48.9856911,0.06646284,-0.006646362,-0.0395369,-0.1435814,8.754741,21.10488,1.080952,0.1162138,-0.6553426,-0.0197472,356.4752,350.2599,51.58794,0,0
2018/07/10 - 10:33:48.9976596,0.07794356,-0.00663783,-0.03953436,-0.1435929,8.757574,21.11721,1.082607,0.1162131,-0.6553464,-0.01975073,356.4663,350.2456,51.60622,0,0
2018/07/10 - 10:33:49.0086280,0.08860166,-0.006618529,-0.03954237,-0.1436314,8.757132,21.11311,1.087843,0.1162135,-0.6553496,-0.01975454,356.4523,350.2343,51.61624,0,0
2018/07/10 - 10:33:49.0186012,0.09982553,-0.006609377,-0.03953882,-0.1436561,8.760375,21.12878,1.091099,0.1162136,-0.6553509,-0.01975607,356.4458,350.2307,51.61983,0,0
2018/07/10 - 10:33:49.0315673,0.1105232,-0.00658307,-0.0395562,-0.1437037,8.751028,21.1213,1.09991,0.1162143,-0.6553507,-0.01975657,356.4443,350.2282,51.6175,0,0
2018/07/10 - 10:33:49.0415396,0.1219151,-0.006578146,-0.03955967,-0.1437355,8.749365,21.12547,1.097027,0.1162158,-0.6553483,-0.01975516,356.4486,350.2322,51.60469,0,0
2018/07/10 - 10:33:49.0535354,0.1327158,-0.006562022,-0.03957372,-0.1437787,8.740838,21.12922,1.100555,0.1162181,-0.6553445,-0.01975322,356.4525,350.2395,51.58291,0,0
2018/07/10 - 10:33:49.0634819,0.144145,-0.006546178,-0.03957757,-0.1438158,8.739963,21.12543,1.103701,0.1162199,-0.6553425,-0.01975257,356.4519,350.2432,51.56888,0,0
2018/07/10 - 10:33:49.0744517,0.1549271,-0.006533712,-0.03958808,-0.143857,8.731463,21.12449,1.099636,0.1162218,-0.6553398,-0.01975128,356.4544,350.2479,51.55265,0,0
2018/07/10 - 10:33:49.0854227,0.1657559,-0.006529981,-0.03958135,-0.1438907,8.733759,21.1284,1.087416,0.1162228,-0.6553363,-0.01974836,356.4638,350.2572,51.53698,0,0
2018/07/10 - 10:33:49.0973915,0.177149,-0.006512562,-0.0395817,-0.1439144,8.731242,21.124,1.086601,0.1162243,-0.6553329,-0.01974604,356.4676,350.2679,51.51727,0,0
