Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:,User points:,Peer points:
2018/07/10 - 10:44:12.1002010,134.9811,0.2327977,-0.05895748,-0.2578554,0.5655494,354.588,2.845997,0.3381704,-0.6717502,-0.1094451,316.2493,352.832,2.061182,0,0
2018/07/10 - 10:44:12.1111728,134.9917,0.2327703,-0.05896422,-0.2577955,0.5673403,354.5928,2.842749,0.3381701,-0.6717458,-0.1094437,316.2684,352.8383,2.054953,0,0
2018/07/10 - 10:44:12.1211460,135.0033,0.2327406,-0.05897569,-0.2577052,0.5741107,354.609,2.846842,0.3381703,-0.6717419,-0.1094422,316.2859,352.842,2.049473,0,0
2018/07/10 - 10:44:12.1331245,135.0147,0.2327028,-0.05897493,-0.257624,0.5947245,354.6159,2.832263,0.3381693,-0.6717398,-0.1094416,316.2951,352.8464,2.048683,0,0
2018/07/10 - 10:44:12.1430962,135.0256,0.2326663,-0.05899629,-0.2575715,0.5836842,354.6281,2.835714,0.338168,-0.6717383,-0.1094414,316.3021,352.8599,2.040341,0,0
2018/07/10 - 10:44:12.1550545,135.0365,0.2326257,-0.05900185,-0.2574882,0.5903265,354.6331,2.832253,0.3381674,-0.671738,-0.1094415,316.3035,352.8643,2.038174,0,0
2018/07/10 - 10:44:12.1660252,135.0475,0.232582,-0.05901879,-0.2574259,0.5831183,354.6437,2.821938,0.3381684,-0.6717398,-0.1094419,316.2952,352.8563,2.042688,0,0
2018/07/10 - 10:44:12.1769951,135.0594,0.2325538,-0.05904038,-0.2573898,0.5744047,354.6477,2.828042,0.338169,-0.6717471,-0.1094444,316.2623,352.8383,2.060335,0,0
2018/07/10 - 10:44:12.1879655,135.0697,0.2325221,-0.05904708,-0.2573506,0.5788222,354.6414,2.829186,0.3381683,-0.6717529,-0.1094466,316.2369,352.8308,2.072807,0,0
2018/07/10 - 10:44:12.1989365,135.0807,0.2324793,-0.05906131,-0.2573013,0.5811417,354.6473,2.83556,0.3381685,-0.6717538,-0.1094469,316.2332,352.8299,2.072961,0,0
2018/07/10 - 10:44:12.2099069,135.0916,0.2324227,-0.05907898,-0.2572553,0.5780644,354.6505,2.837705,0.3381682,-0.6717553,-0.1094475,316.2262,352.8289,2.075467,0,0
2018/07/10 - 10:44:12.2218752,135.1027,0.232373,-0.05910169,-0.2571995,0.5766764,354.638,2.835135,0.3381672,-0.6717565,-0.1094482,316.2208,352.8287,2.080688,0,0
2018/07/10 - 10:44:12.2328468,135.1138,0.2323181,-0.05911819,-0.2571671,0.5844733,354.638,2.849789,0.338165,-0.6717566,-0.1094488,316.2201,352.8345,2.08486,0,0
2018/07/10 - 10:44:12.2438178,135.1254,0.2322631,-0.0591308,-0.2571191,0.5913035,354.6231,2.853733,0.3381625,-0.6717572,-0.1094496,316.217,352.8414,2.089437,0,0
2018/07/10 - 10:44:12.2537895,135.1364,0.232216,-0.05913906,-0.2571007,0.5893708,354.6177,2.858414,0.3381617,-0.6717566,-0.1094496,316.2192,352.843,2.090778,0,0
2018/07/10 - 10:44:12.2647608,135.1467,0.2321513,-0.05915376,-0.2570707,0.5845491,354.6082,2.877771,0.3381617,-0.6717558,-0.1094493,316.2232,352.8476,2.086061,0,0
2018/07/10 - 10:44:12.2767285,135.1584,0.2321195,-0.05917334,-0.2570789,0.5667778,354.5947,2.878448,0.338162,-0.6717559,-0.1094493,316.2231,352.8492,2.082808,0,0
2018/07/10 - 10:44:12.2876992,135.1692,0.2320833,-0.05918876,-0.2570956,0.5690597,354.572,2.882984,0.3381617,-0.6717548,-0.1094489,316.2278,352.8514,2.081815,0,0
2018/07/10 - 10:44:12.2986696,135.1806,0.2320583,-0.05920576,-0.2571015,0.5627415,354.5617,2.889815,0.3381596,-0.6717513,-0.1094482,316.2431,352.8651,2.076229,0,0
2018/07/10 - 10:44:12.3086433,135.1913,0.2320289,-0.05922345,-0.2570941,0.5615926,354.5382,2.892464,0.3381593,-0.6717461,-0.1094464,316.2674,352.8862,2.054439,0,0
2018/07/10 - 10:44:12.3206110,135.2024,0.2320085,-0.05924429,-0.2571244,0.5531014,354.5404,2.885217,0.3381604,-0.6717444,-0.1094455,316.2751,352.8869,2.048328,0,0
2018/07/10 - 10:44:12.3325787,135.2134,0.2320141,-0.05925494,-0.2571584,0.5584186,354.5304,2.890715,0.3381618,-0.671744,-0.109445,316.2762,352.8749,2.054252,0,0
2018/07/10 - 10:44:12.3435500,135.2249,0.2319822,-0.05930324,-0.2571284,0.5366836,354.5229,2.878278,0.3381624,-0.6717443,-0.109445,316.2744,352.8653,2.061609,0,0
2018/07/10 - 10:44:12.3545201,135.2364,0.2319885,-0.059294,-0.2571577,0.5459534,354.5027,2.867519,0.3381611,-0.6717443,-0.1094453,316.2739,352.8665,2.066425,0,0
2018/07/10 - 10:44:12.3654905,135.2475,0.2319726,-0.05929742,-0.2571937,0.5329922,354.5031,2.864738,0.3381587,-0.6717429,-0.1094454,316.2796,352.8688,2.074772,0,0
2018/07/10 - 10:44:12.3784578,135.2582,0.2319766,-0.05927709,-0.2572627,0.537315,354.4912,2.868577,0.3381557,-0.6717389,-0.1094446,316.2958,352.8726,2.083887,0,0
2018/07/10 - 10:44:12.3874331,135.2706,0.2319527,-0.05927341,-0.257279,0.5205286,354.4764,2.862512,0.3381543,-0.6717333,-0.109443,316.3201,352.8804,2.081246,0,0
2018/07/10 - 10:44:12.3984030,135.2809,0.2319429,-0.0592573,-0.2573341,0.5241657,354.474,2.871813,0.3381529,-0.6717252,-0.1094404,316.3549,352.8874,2.078595,0,0
2018/07/10 - 10:44:12.4093737,135.2915,0.2319102,-0.05923097,-0.2573755,0.5219868,354.4534,2.875365,0.3381527,-0.6717166,-0.1094373,316.3921,352.8885,2.076234,0,0
2018/07/10 - 10:44:12.4213416,135.3028,0.2318803,-0.05921667,-0.2574424,0.5127046,354.4528,2.880496,0.3381547,-0.6717032,-0.1094319,316.4507,352.8914,2.061337,0,0
2018/07/10 - 10:44:12.4323129,135.3143,0.2318488,-0.05922078,-0.2574455,0.4865691,354.4252,2.90621,0.3381572,-0.6716977,-0.1094293,316.4753,352.8916,2.048599,0,0
2018/07/10 - 10:44:12.4432831,135.3251,0.2318109,-0.05918671,-0.2575077,0.4962727,354.4332,2.899812,0.3381572,-0.6716986,-0.1094297,316.4712,352.8916,2.048684,0,0
