Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,User Points:,Peer Points:,Action type:,Target position x:,Target position y:,Target position z:
2018/07/10 - 10:41:34.9952873,7.888002,1,0,User hit user's target,-4.218195,7.155485,2.309459
2018/07/10 - 10:41:36.0604363,8.955653,2,0,User hit user's target,-0.9519933,8.380535,2.498372
2018/07/10 - 10:41:36.8019592,9.697738,2,1,Peer hit peer's target,-0.0199868,8.432953,4.232836
2018/07/10 - 10:41:36.9146584,9.809215,3,1,User hit user's target,-4.470346,2.674948,0.2493307
2018/07/10 - 10:41:37.1032431,9.998371,3,2,Peer hit peer's target,-1.397914,7.645937,-3.327237
2018/07/10 - 10:41:37.4154357,10.31028,4,2,User hit user's target,-1.464005,3.34452,4.833765
2018/07/10 - 10:41:37.8255831,10.72069,4,3,Peer hit peer's target,5.483627,3.024539,-2.069177
2018/07/10 - 10:41:38.1920066,11.08698,4,4,Peer hit peer's target,-5.090052,6.257057,2.397153
2018/07/10 - 10:41:38.4383465,11.33237,5,4,User hit user's target,-4.646975,3.580615,0.2433563
2018/07/10 - 10:41:38.8462570,11.7423,5,5,Peer hit peer's target,4.226495,5.806452,2.205358
2018/07/10 - 10:41:39.9938745,12.88855,5,6,Peer hit peer's target,2.072727,8.347178,2.78076
2018/07/10 - 10:41:41.2612354,14.15536,6,6,User hit user's target,0.5629778,3.47137,4.13575
2018/07/10 - 10:41:41.7818314,14.67718,7,6,User hit user's target,-1.091698,3.681526,4.761662
2018/07/10 - 10:41:42.4383491,15.33323,8,6,User hit user's target,1.827617,6.621344,4.396814
2018/07/10 - 10:41:42.5610209,15.45512,8,7,Peer hit peer's target,4.158432,7.121064,-0.3971954
2018/07/10 - 10:41:42.8711914,15.76627,8,8,Peer hit peer's target,2.106547,2.9514,-4.119382
2018/07/10 - 10:41:44.6379589,17.5331,8,9,Peer hit peer's target,-1.126065,7.632308,-4.172112
2018/07/10 - 10:41:45.5496095,18.44496,9,9,User hit user's target,-0.6680168,5.035772,4.242587
2018/07/10 - 10:41:45.8497875,18.74523,9,10,Peer hit peer's target,4.648918,4.061007,1.763364
2018/07/10 - 10:41:46.8385244,19.73316,10,10,User hit user's target,-0.1392303,3.031409,4.512303
2018/07/10 - 10:41:47.8266281,20.72249,11,10,User hit user's target,-3.119809,6.72932,2.943962
2018/07/10 - 10:41:49.9821062,22.87774,11,11,Peer hit peer's target,3.832534,2.604843,-1.957181
2018/07/10 - 10:41:51.1491023,24.04419,12,11,User hit user's target,-4.225171,5.669437,1.718119
2018/07/10 - 10:41:51.8939270,24.78913,12,10,Peer missed, , , 
2018/07/10 - 10:41:53.5274588,26.42279,12,9,Peer missed, , , 
2018/07/10 - 10:41:53.5494244,26.44531,11,9,User missed, , , 
2018/07/10 - 10:41:55.7061375,28.60128,12,9,User hit user's target,-3.103837,8.386863,1.646132
2018/07/10 - 10:41:55.8397803,28.73449,12,8,Peer missed, , , 
2018/07/10 - 10:41:56.1508567,29.04578,12,9,Peer hit peer's target,-2.263428,5.449064,-3.728739
2018/07/10 - 10:41:56.4500562,29.34589,12,10,Peer hit peer's target,-5.318461,3.087137,1.345718
2018/07/10 - 10:41:57.0604409,29.9553,12,11,Peer hit peer's target,0.3031863,3.940957,-4.275367
2018/07/10 - 10:41:57.2937226,30.18893,11,12,User hit peer's target,4.185671,5.706753,1.910426
2018/07/10 - 10:41:57.9491494,30.84461,10,13,User hit peer's target,3.384477,6.962663,2.631445
2018/07/10 - 10:41:58.0488828,30.94413,10,14,Peer hit peer's target,1.510464,7.235129,4.245418
2018/07/10 - 10:41:58.6283382,31.52344,10,13,Peer missed, , , 
2018/07/10 - 10:41:59.6946761,32.58965,10,12,Peer missed, , , 
2018/07/10 - 10:42:00.1943470,33.08906,11,12,User hit user's target,-4.49424,5.038917,1.212161
2018/07/10 - 10:42:00.7725409,33.66681,12,12,User hit user's target,-4.148771,6.904465,2.572607
2018/07/10 - 10:42:02.1171661,35.01171,13,12,User hit user's target,-0.766687,3.449264,5.215592
2018/07/10 - 10:42:02.2488348,35.14474,13,11,Peer missed, , , 
2018/07/10 - 10:42:02.5490099,35.44496,13,12,Peer hit peer's target,3.866071,4.35713,-3.567941
2018/07/10 - 10:42:02.8502267,35.74515,13,13,Peer hit peer's target,3.674344,2.62763,-1.953251
2018/07/10 - 10:42:03.3271148,36.22288,12,13,User missed, , , 
2018/07/10 - 10:42:03.6832782,36.57913,13,13,User hit user's target,-2.103884,3.397606,4.868015
2018/07/10 - 10:42:03.8947996,36.78927,13,14,Peer hit peer's target,5.444941,5.65502,-0.3443346
2018/07/10 - 10:42:04.7605112,37.65568,14,14,User hit user's target,-0.4568407,2.96913,4.644883
2018/07/10 - 10:42:05.0827413,37.97855,14,13,Peer missed, , , 
2018/07/10 - 10:42:07.0040109,39.89995,15,13,User hit user's target,2.738009,1.98862,3.324136
2018/07/10 - 10:42:08.4615859,41.35644,16,13,User hit user's target,1.319835,4.972492,4.915831
