Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,User Points:,Peer Points:,Action type:,Target position x:,Target position y:,Target position z:
2018/07/10 - 10:42:22.5755778,45.46701,0,1,Peer hit peer's target,5.145178,4.611281,0.04040764
2018/07/10 - 10:42:23.5297949,46.42296,0,2,Peer hit peer's target,2.010609,9.54851,-0.8186043
2018/07/10 - 10:42:24.8413461,47.73343,1,2,User hit user's target,4.146379,2.714678,2.990785
2018/07/10 - 10:42:25.1727686,48.0654,1,3,Peer hit peer's target,-2.954992,2.989767,-3.687169
2018/07/10 - 10:42:26.0952969,48.98777,1,4,Peer hit peer's target,3.51576,3.987976,3.5532
2018/07/10 - 10:42:27.3059957,50.19936,1,5,Peer hit peer's target,2.677233,1.795291,-2.40721
2018/07/10 - 10:42:29.3052585,52.19918,1,4,Peer missed, , , 
2018/07/10 - 10:42:29.8398357,52.73286,0,4,User missed, , , 
2018/07/10 - 10:42:30.3834108,53.27781,1,4,User hit user's target,0.4651245,3.291424,-4.402211
2018/07/10 - 10:42:30.7957137,53.68917,1,3,Peer missed, , , 
2018/07/10 - 10:42:32.6171524,55.5106,1,4,Peer hit peer's target,3.392988,2.536566,1.951869
2018/07/10 - 10:42:32.9183595,55.81112,1,5,Peer hit peer's target,-2.642781,7.517476,2.147865
2018/07/10 - 10:42:33.2185893,56.11149,1,6,Peer hit peer's target,-0.04953993,2.944639,4.376101
2018/07/10 - 10:42:33.2953840,56.189,2,6,User hit user's target,2.290443,6.418836,4.283031
2018/07/10 - 10:42:33.6065512,56.50038,2,7,Peer hit peer's target,-1.185928,7.711009,-4.215033
2018/07/10 - 10:42:34.5635749,57.45531,3,7,User hit user's target,3.35399,4.343795,-3.852615
2018/07/10 - 10:42:34.8727740,57.7659,3,8,Peer hit peer's target,1.9482,3.784574,-4.288995
2018/07/10 - 10:42:36.5168965,59.41013,4,8,User hit user's target,3.709476,3.569121,2.562286
2018/07/10 - 10:42:37.0058274,59.89961,4,9,Peer hit peer's target,-1.117086,2.511981,3.882904
2018/07/10 - 10:42:37.3399347,60.23322,4,8,Peer missed, , , 
2018/07/10 - 10:42:37.5284290,60.4222,5,8,User hit user's target,3.387869,5.21558,4.186639
2018/07/10 - 10:42:38.4624011,61.35532,6,8,User hit user's target,5.030947,5.359183,0.8803036
2018/07/10 - 10:42:39.0598012,61.95249,7,7,Peer hit user's target,0.5082479,5.412651,5.289639
2018/07/10 - 10:42:39.9632402,62.85638,8,7,User hit user's target,-1.81199,3.908023,4.973759
2018/07/10 - 10:42:40.2514810,63.14458,8,8,Peer hit peer's target,-3.659901,8.684184,2.288555
2018/07/10 - 10:42:40.5607418,63.45439,8,9,Peer hit peer's target,3.876008,4.511228,2.419036
2018/07/10 - 10:42:40.9275755,63.82142,8,10,Peer hit peer's target,3.27467,8.60121,-0.3496425
2018/07/10 - 10:42:41.4833581,64.37687,8,11,Peer hit peer's target,-4.019369,2.617689,-1.64964
2018/07/10 - 10:42:41.6279727,64.52165,9,11,User hit user's target,-4.039513,2.415769,1.186455
2018/07/10 - 10:42:41.7855502,64.67737,9,12,Peer hit peer's target,-3.096156,7.992092,3.36562
2018/07/10 - 10:42:42.0947451,64.98779,9,13,Peer hit peer's target,-0.4775692,2.459726,-2.764996
2018/07/10 - 10:42:42.2722837,65.16576,10,13,User hit user's target,-3.448829,4.495234,3.811559
2018/07/10 - 10:42:42.8399740,65.73325,10,14,Peer hit peer's target,-4.403201,6.520034,-1.350487
2018/07/10 - 10:42:43.5730124,66.466,10,15,Peer hit peer's target,1.220068,3.067044,-4.226481
2018/07/10 - 10:42:44.0502598,66.94397,10,14,Peer missed, , , 
2018/07/10 - 10:42:44.7405518,67.63338,10,13,Peer missed, , , 
2018/07/10 - 10:42:45.0627210,67.95592,11,13,User hit user's target,4.400643,3.343664,-1.6099
2018/07/10 - 10:42:45.9738414,68.86681,11,12,Peer missed, , , 
2018/07/10 - 10:42:46.1079074,68.98875,12,12,User hit user's target,4.587653,2.527885,-1.433907
2018/07/10 - 10:42:47.2743562,70.16714,12,13,Peer hit peer's target,2.576086,6.549751,4.310113
2018/07/10 - 10:42:47.5746284,70.46761,12,14,Peer hit peer's target,-4.035254,3.410717,-1.273317
2018/07/10 - 10:42:47.8408967,70.73373,13,14,User hit user's target,-3.60137,6.024839,3.793243
2018/07/10 - 10:42:48.5071475,71.40051,14,14,User hit user's target,-3.617256,3.427652,3.217337
2018/07/10 - 10:42:48.9966160,71.88941,14,15,Peer hit peer's target,0.6076626,7.012462,-4.536602
2018/07/10 - 10:42:49.3067859,72.20044,14,16,Peer hit peer's target,-1.654189,3.726303,-4.477159
2018/07/10 - 10:42:49.6069821,72.50049,14,17,Peer hit peer's target,-1.220584,7.414478,3.989097
2018/07/10 - 10:42:50.8523663,73.74562,15,17,User hit user's target,-1.844689,7.661696,4.004372
2018/07/10 - 10:42:51.4407919,74.33427,15,18,Peer hit peer's target,-1.941106,7.580064,3.538288
2018/07/10 - 10:42:52.6743077,75.56778,16,18,User hit user's target,1.550007,7.772582,3.173393
2018/07/10 - 10:42:54.0292585,76.92312,17,18,User hit user's target,-1.157717,5.29317,4.917047
2018/07/10 - 10:42:54.0751364,76.96801,17,19,Peer hit peer's target,-0.8787172,8.511155,3.273232
2018/07/10 - 10:42:56.4192789,79.31227,18,19,User hit user's target,4.61926,2.195985,-0.4198951
2018/07/10 - 10:42:57.3623014,80.25623,18,20,Peer hit peer's target,3.422235,3.171549,-2.042876
2018/07/10 - 10:42:57.6624976,80.55647,18,21,Peer hit peer's target,0.2779798,4.073877,-3.938036
2018/07/10 - 10:42:57.6964064,80.58958,19,21,User hit user's target,3.116888,5.350165,3.337486
2018/07/10 - 10:42:58.0285368,80.92294,18,21,User missed, , , 
2018/07/10 - 10:42:58.3616264,81.25604,19,21,User hit user's target,4.744635,3.713994,0.3004066
2018/07/10 - 10:42:58.6209330,81.51228,18,21,User missed, , , 
2018/07/10 - 10:42:58.9286456,81.82272,19,21,User hit user's target,4.346166,2.954027,3.347499
2018/07/10 - 10:43:00.0298091,82.92321,20,21,User hit user's target,4.112949,3.351018,-1.566691
2018/07/10 - 10:43:00.4845923,83.37841,20,22,Peer hit peer's target,4.978676,3.931769,0.5348573
2018/07/10 - 10:43:00.6531698,83.54542,19,22,User missed, , , 
2018/07/10 - 10:43:01.0191624,83.91202,19,23,Peer hit peer's target,-4.998148,6.092624,-2.004907
2018/07/10 - 10:43:01.0411141,83.93391,20,23,User hit user's target,5.176327,5.194636,-0.01257308
2018/07/10 - 10:43:01.5515347,84.44476,20,24,Peer hit peer's target,-4.53574,3.058701,-1.976764
2018/07/10 - 10:43:03.0406225,85.93398,21,24,User hit user's target,2.883665,4.249281,3.517529
2018/07/10 - 10:43:03.7517480,86.64495,20,24,User missed, , , 
2018/07/10 - 10:43:04.0968241,86.98977,21,24,User hit user's target,2.968762,3.634753,3.209205
2018/07/10 - 10:43:04.3862527,87.27902,21,25,Peer hit peer's target,4.439816,7.213977,-2.465339
2018/07/10 - 10:43:04.7063932,87.60081,21,26,Peer hit peer's target,2.114251,8.759923,-1.668401
2018/07/10 - 10:43:05.1531971,88.0464,22,26,User hit user's target,2.338002,5.788238,4.469164
2018/07/10 - 10:43:05.5850999,88.47824,21,26,User missed, , , 
2018/07/10 - 10:43:05.8517112,88.74452,22,26,User hit user's target,2.167013,6.234616,4.177084
2018/07/10 - 10:43:05.9629293,88.85612,22,27,Peer hit peer's target,-3.101242,8.455764,-2.460686
