Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,User Points:,Peer Points:,Action type:,Target position x:,Target position y:,Target position z:
2018/07/02 - 11:44:33.1812990,44.98977,0,0,User missed, , , 
2018/07/02 - 11:44:38.3485004,46.41118,0,0,User missed, , , 
2018/07/02 - 11:44:38.9249583,46.98922,0,1,User missed, , , 
2018/07/02 - 11:44:39.3252369,47.39002,0,1,User missed, , , 
2018/07/02 - 11:44:39.5815491,47.64516,0,2,User missed, , , 
2018/07/02 - 11:44:39.8358700,47.90082,0,2,User missed, , , 
2018/07/02 - 11:44:40.0861986,48.14533,0,2,User missed, , , 
2018/07/02 - 11:44:40.3255583,48.38971,0,2,User missed, , , 
2018/07/02 - 11:44:40.5805109,48.64534,0,2,User missed, , , 
2018/07/02 - 11:44:40.8587657,48.923,0,2,User missed, , , 
2018/07/02 - 11:44:41.1011191,49.16582,0,2,User missed, , , 
2018/07/02 - 11:44:41.3134419,49.37812,0,2,User missed, , , 
2018/07/02 - 11:44:41.5029360,49.56738,0,3,User missed, , , 
2018/07/02 - 11:44:41.7365798,49.80065,0,3,User missed, , , 
2018/07/02 - 11:44:41.9689424,50.03381,0,3,User missed, , , 
2018/07/02 - 11:44:42.2242588,50.2884,0,3,User missed, , , 
