Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:,User points:,Peer points:
2018/07/10 - 11:04:19.6994397,44.99165,0.03745757,-0.03665212,-0.128874,8.391324,2.528663,359.3404,0.1002635,-0.4192858,0.03577698,356.9567,4.134764,355.2681,0,0
2018/07/10 - 11:04:19.7088841,45.00259,0.03747672,-0.03663505,-0.1289033,8.380407,2.546743,359.3457,0.1003001,-0.4192986,0.03582068,357.0293,4.129176,355.2075,0,0
2018/07/10 - 11:04:19.7198548,45.01374,0.0374833,-0.03660562,-0.1289381,8.380306,2.559492,359.3389,0.1002969,-0.4192682,0.03578137,357.0031,4.061812,355.1807,0,0
2018/07/10 - 11:04:19.7308255,45.02492,0.03749779,-0.03658145,-0.1289663,8.371,2.581386,359.346,0.100294,-0.4192313,0.03573193,356.9739,4.022769,355.1733,0,0
2018/07/10 - 11:04:19.7428157,45.03616,0.03751064,-0.03655972,-0.1289984,8.353487,2.593962,359.3363,0.1003238,-0.4191943,0.03566509,356.9601,4.00338,355.1632,0,0
2018/07/10 - 11:04:19.7527678,45.04736,0.03751222,-0.03652909,-0.1290211,8.340644,2.614386,359.3258,0.1003547,-0.4191556,0.03563904,356.9637,4.016052,355.1584,0,0
2018/07/10 - 11:04:19.7657322,45.05842,0.03751553,-0.03650497,-0.1290468,8.332381,2.639456,359.3303,0.1004324,-0.4190739,0.03560098,356.9672,4.036438,355.1461,0,0
2018/07/10 - 11:04:19.7757062,45.06981,0.03750689,-0.03648136,-0.1290532,8.316714,2.677637,359.3253,0.1005384,-0.4189736,0.03556563,356.9573,4.055633,355.1224,0,0
2018/07/10 - 11:04:19.7866755,45.0806,0.0375085,-0.03647036,-0.129069,8.308244,2.702544,359.3144,0.1006709,-0.4188566,0.03553587,356.9229,4.078832,355.1015,0,0
2018/07/10 - 11:04:19.7976470,45.09171,0.03750534,-0.03645515,-0.1290825,8.313269,2.728089,359.3111,0.100799,-0.4187856,0.03549333,356.8919,4.109168,355.0896,0,0
2018/07/10 - 11:04:19.8078773,45.10264,0.03747209,-0.03642599,-0.1290455,8.327142,2.794395,359.3238,0.1010105,-0.4187048,0.03546201,356.8675,4.170562,355.0642,0,0
2018/07/10 - 11:04:19.8208701,45.11365,0.03741828,-0.03641183,-0.1289841,8.332006,2.850509,359.3307,0.1013104,-0.4186613,0.03545159,356.8539,4.304233,355.0158,0,0
2018/07/10 - 11:04:19.8308154,45.12482,0.03735985,-0.03636083,-0.1289328,8.355681,2.87466,359.3103,0.1014539,-0.4186652,0.03547706,356.8746,4.39041,355.02,0,0
2018/07/10 - 11:04:19.8427854,45.13601,0.03727264,-0.0363613,-0.1288254,8.340692,2.953464,359.371,0.1014909,-0.4186439,0.03546462,356.8877,4.409594,355.057,0,0
2018/07/10 - 11:04:19.8527583,45.14718,0.03721041,-0.03632889,-0.1287296,8.335879,2.96092,359.3622,0.1014727,-0.4186037,0.03545024,356.8761,4.382193,355.0568,0,0
2018/07/10 - 11:04:19.8647371,45.15842,0.03714853,-0.03628101,-0.1286437,8.339322,2.964767,359.3502,0.1015311,-0.4185612,0.03541275,356.8527,4.38869,355.0422,0,0
2018/07/10 - 11:04:19.8756964,45.16953,0.03705252,-0.03624992,-0.1285645,8.331437,2.990582,359.338,0.1015775,-0.4185389,0.03537727,356.8317,4.397341,355.039,0,0
2018/07/10 - 11:04:19.8866671,45.18076,0.03699837,-0.03622692,-0.1285009,8.329732,2.993217,359.358,0.1016106,-0.4185529,0.03534249,356.8024,4.403631,355.0401,0,0
2018/07/10 - 11:04:19.8986348,45.1917,0.03683518,-0.03619689,-0.1284185,8.325179,3.036471,359.3676,0.1016089,-0.4186081,0.03532309,356.7967,4.397554,355.049,0,0
