Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:,User points:,Peer points:
2018/07/11 - 02:43:19.0089844,59.96499,0.007174015,-0.05066341,-0.04744174,9.381198,14.14866,0.1973805,0.166072,-0.3737267,0.1764956,350.0547,13.9216,346.9705,0,0
2018/07/11 - 02:43:19.0319231,59.98732,0.007108696,-0.05068012,-0.04749697,9.387341,14.12172,0.1937954,0.1663038,-0.3738646,0.1766637,350.1207,13.98718,346.8979,0,0
2018/07/11 - 02:43:19.0528681,60.01099,0.007057314,-0.05067924,-0.04752226,9.37846,14.09185,0.1958203,0.1663489,-0.3738931,0.1766855,350.1312,13.99612,346.8914,0,0
2018/07/11 - 02:43:19.0723221,60.03224,0.007033486,-0.05067068,-0.04758957,9.370382,14.06187,0.1988987,0.1663598,-0.3739345,0.1766626,350.1209,14.00438,346.9099,0,0
2018/07/11 - 02:43:19.0982523,60.05269,0.006990228,-0.05063699,-0.04764809,9.363336,14.06826,0.2074733,0.1662859,-0.3739678,0.1765763,350.125,13.98257,346.924,0,0
2018/07/11 - 02:43:19.1221879,60.07754,0.006990455,-0.05060304,-0.04771287,9.343569,14.05504,0.2144092,0.1660932,-0.3739584,0.1764081,350.1251,13.91073,346.9188,0,0
2018/07/11 - 02:43:19.1541085,60.10165,0.006967064,-0.05059599,-0.0477702,9.325597,14.06036,0.2204993,0.1659162,-0.3739001,0.176233,350.0819,13.8767,346.9202,0,0
2018/07/11 - 02:43:19.1725603,60.13239,0.006947122,-0.05060088,-0.04781583,9.326738,14.06489,0.2007834,0.1657571,-0.3738456,0.1762042,350.0429,13.85945,346.9631,0,0
2018/07/11 - 02:43:19.1895140,60.15238,0.006941658,-0.05058976,-0.04784166,9.327638,14.06223,0.1903094,0.1657461,-0.3738638,0.1762208,350.0597,13.86205,346.9572,0,0
2018/07/11 - 02:43:19.2084634,60.1691,0.006943668,-0.05057846,-0.04786311,9.314864,14.07097,0.1932144,0.1658005,-0.3738731,0.1762391,350.0907,13.8647,346.9094,0,0
2018/07/11 - 02:43:19.2284097,60.18841,0.006942347,-0.05054292,-0.0478937,9.312338,14.08687,0.1975576,0.1658622,-0.3738305,0.1762327,350.0887,13.89639,346.8716,0,0
2018/07/11 - 02:43:19.2463618,60.20778,0.006949496,-0.05052511,-0.04791134,9.306136,14.09079,0.1998032,0.1658876,-0.3737929,0.1762012,350.068,13.92854,346.8819,0,0
2018/07/11 - 02:43:19.2623203,60.2264,0.006952257,-0.05051303,-0.04793358,9.309868,14.09931,0.1997956,0.1658764,-0.373776,0.176197,350.0699,13.92717,346.8951,0,0
2018/07/11 - 02:43:19.2772792,60.24294,0.006964003,-0.05051051,-0.04795963,9.323855,14.09972,0.1994416,0.1658316,-0.3737557,0.1761367,350.0766,13.88298,346.8973,0,0
2018/07/11 - 02:43:19.2962288,60.25737,0.006984238,-0.0505289,-0.04798866,9.327695,14.101,0.2030956,0.1658008,-0.3737484,0.1760719,350.0875,13.83205,346.8864,0,0
2018/07/11 - 02:43:19.3141803,60.27568,0.006993101,-0.05053044,-0.04799764,9.328741,14.11361,0.1938331,0.1658193,-0.3737013,0.1759604,350.063,13.83151,346.8848,0,0
