Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,User Points:,Peer Points:,Action type:,Target position x:,Target position y:,Target position z:
2018/07/11 - 02:42:46.7006241,39.96601,0,0,User missed, , , 
2018/07/11 - 02:42:47.2700992,39.96601,0,0,User missed, , , 
2018/07/11 - 02:42:50.4951044,41.47657,1,0,User hit user's target,0.04734549,2.737346,4.391098
2018/07/11 - 02:42:51.8309486,42.8127,2,0,User hit user's target,4.507076,4.567681,1.468673
2018/07/11 - 02:42:55.4295658,46.41104,3,0,User hit user's target,2.444265,3.342266,2.886943
2018/07/11 - 02:42:57.1612648,48.14172,2,0,User missed, , , 
2018/07/11 - 02:42:57.6060742,48.58806,3,0,User hit user's target,2.50617,7.243227,2.183393
2018/07/11 - 02:42:58.3189465,49.30064,3,1,Peer hit peer's target,-4.950925,6.467847,-0.1048392
2018/07/11 - 02:42:58.8285817,49.81059,4,1,User hit user's target,0.9935918,3.418415,4.083077
2018/07/11 - 02:42:59.8056561,50.78777,4,0,Peer missed, , , 
2018/07/11 - 02:43:00.1627012,51.14468,5,0,User hit user's target,-1.663337,3.204493,4.565289
2018/07/11 - 02:43:01.2755136,52.25761,4,0,User missed, , , 
2018/07/11 - 02:43:01.5826722,52.56467,3,0,User missed, , , 
2018/07/11 - 02:43:01.9187723,52.9011,4,0,User hit user's target,-4.800274,6.65699,1.936728
2018/07/11 - 02:43:03.0147129,53.99627,4,1,Peer hit peer's target,-3.659934,3.788856,-1.96053
2018/07/11 - 02:43:03.2969829,54.27914,3,1,User missed, , , 
2018/07/11 - 02:43:03.5915789,54.5724,4,1,User hit user's target,3.867342,7.375734,2.678141
2018/07/11 - 02:43:04.1655682,55.14768,4,2,Peer hit peer's target,-2.842108,3.601472,4.211817
2018/07/11 - 02:43:04.9769734,55.95889,5,2,User hit user's target,2.941068,5.591626,3.578972
2018/07/11 - 02:43:06.1217388,57.10354,5,3,Peer hit peer's target,3.322307,6.682233,-2.048155
2018/07/11 - 02:43:06.3192101,57.30083,6,3,User hit user's target,-4.183381,5.88668,3.002284
2018/07/11 - 02:43:06.8375909,57.81958,6,2,Peer missed, , , 
2018/07/11 - 02:43:06.9622577,57.94353,7,2,User hit user's target,-4.619882,5.19197,2.996644
2018/07/11 - 02:43:08.6295721,59.61095,8,2,User hit user's target,0.5885455,5.880483,4.532924
