Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/07/02 - 12:31:11.3002249,0,0.02128635,0.02031718,-0.08760392,354.6662,359.1298,359.344,0.09046672,-0.3639058,0.1624701,348.2135,351.3015,345.4641
2018/07/02 - 12:31:11.3121704,0.01219638,0.02114354,0.02025915,-0.08767213,354.6552,359.1264,359.377,0.09046739,-0.3637735,0.1624049,348.2219,351.3373,345.4337
2018/07/02 - 12:31:11.3211463,0.02651129,0.02108042,0.02023456,-0.08770948,354.6544,359.1008,359.3807,0.0904954,-0.3637392,0.1623613,348.2241,351.312,345.3956
2018/07/02 - 12:31:11.3321173,0.03557111,0.02097784,0.02019659,-0.08775688,354.6493,359.0822,359.3957,0.09049813,-0.3637,0.1623056,348.2634,351.2517,345.3467
2018/07/02 - 12:31:11.3420913,0.0459206,0.02083164,0.02015196,-0.08780833,354.6409,359.0546,359.4149,0.09031562,-0.3634126,0.1620829,348.3289,351.0293,345.2968
2018/07/02 - 12:31:11.3540778,0.05686798,0.02075377,0.02014215,-0.0878503,354.6512,359.0429,359.4081,0.09016223,-0.363298,0.1619651,348.3761,350.867,345.2732
2018/07/02 - 12:31:11.3650286,0.06766262,0.02058975,0.02008175,-0.0879351,354.6357,358.9933,359.4183,0.09000666,-0.3631878,0.161881,348.4378,350.7324,345.2592
2018/07/02 - 12:31:11.3750020,0.07921445,0.02051233,0.02004096,-0.08800259,354.6381,358.983,359.4464,0.08986248,-0.3630793,0.1618905,348.5233,350.7007,345.2511
2018/07/02 - 12:31:11.3869700,0.08937079,0.0203944,0.01997343,-0.08810054,354.6237,358.9547,359.4775,0.08979817,-0.3629862,0.1619688,348.6218,350.8792,345.2303
2018/07/02 - 12:31:11.3969429,0.10049,0.02029527,0.01993242,-0.08816738,354.6169,358.9469,359.4939,0.08973604,-0.3628571,0.1620367,348.7101,351.0864,345.2253
2018/07/02 - 12:31:11.4089108,0.1113441,0.02022496,0.01990299,-0.0882769,354.627,358.9152,359.4918,0.08971481,-0.3626933,0.162072,348.7321,351.3415,345.3166
2018/07/02 - 12:31:11.4188869,0.1223802,0.02014973,0.01990384,-0.08832681,354.6432,358.9199,359.5021,0.0897184,-0.3625685,0.1620039,348.7138,351.4963,345.4106
2018/07/02 - 12:31:11.4308531,0.1334812,0.02002051,0.0198592,-0.08842528,354.6502,358.909,359.5393,0.089715,-0.3624292,0.1619251,348.6715,351.6332,345.4936
2018/07/02 - 12:31:11.4408254,0.1446877,0.01992834,0.01983901,-0.0884553,354.641,358.8958,359.5401,0.08971393,-0.3622763,0.1618734,348.6266,351.704,345.5786
