Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/28 - 02:32:52.2700523,0,-0.002352941,0.005958544,-0.002745511,355.0879,6.010033,5.969829,0.1129055,-0.4418477,0.1204081,345.6725,13.24907,346.6713
2018/06/28 - 02:32:52.2790296,0.01062596,-0.00214592,0.005969129,-0.002770531,355.0895,6.052741,5.942797,0.1130376,-0.4418539,0.1204671,345.6877,13.26855,346.6434
2018/06/28 - 02:32:52.2909970,0.02242213,-0.001922934,0.00598094,-0.002852469,355.0986,6.092484,5.930717,0.1131252,-0.4418631,0.1205157,345.6998,13.28327,346.6295
2018/06/28 - 02:32:52.3019677,0.03486455,-0.001740687,0.005986843,-0.002986836,355.0978,6.137706,5.901999,0.1132194,-0.4418678,0.1206011,345.7088,13.29693,346.6149
2018/06/28 - 02:32:52.3119400,0.04495349,-0.001497574,0.006006633,-0.003176748,355.1131,6.210907,5.893659,0.1132847,-0.4418716,0.1206732,345.7146,13.30189,346.6086
2018/06/28 - 02:32:52.3239086,0.05574841,-0.001347113,0.005954728,-0.003402088,355.0794,6.238655,5.874415,0.1133557,-0.4418858,0.1207426,345.7256,13.30572,346.609
2018/06/28 - 02:32:52.3339042,0.06671883,-0.001198985,0.005945397,-0.003738998,355.0887,6.296636,5.828191,0.1134125,-0.4418938,0.1207914,345.7257,13.31501,346.6059
2018/06/28 - 02:32:52.3448749,0.07723756,-0.001037523,0.005884062,-0.004184096,355.0807,6.382016,5.838588,0.1134997,-0.441902,0.1208514,345.7312,13.33098,346.6052
2018/06/28 - 02:32:52.3558462,0.08832745,-0.0009518042,0.005843759,-0.004750369,355.1208,6.45507,5.783832,0.1135564,-0.4419112,0.120891,345.7387,13.34169,346.613
2018/06/28 - 02:32:52.3678105,0.09971544,-0.0009028316,0.005738135,-0.005098994,355.0898,6.483646,5.762842,0.1135924,-0.441919,0.1209156,345.7423,13.35297,346.6178
2018/06/28 - 02:32:52.3787618,0.1105436,-0.0008543357,0.005684183,-0.005419449,355.123,6.549282,5.743818,0.113622,-0.4419441,0.1208869,345.7459,13.35951,346.618
2018/06/28 - 02:32:52.3897502,0.1218932,-0.0008290187,0.005660684,-0.005499602,355.1261,6.571064,5.71244,0.113641,-0.4419753,0.1208354,345.7468,13.36358,346.6183
2018/06/28 - 02:32:52.4007058,0.1331638,-0.000770621,0.00566736,-0.005482974,355.1149,6.620671,5.705032,0.1136624,-0.4420112,0.1207896,345.7426,13.36676,346.6197
2018/06/28 - 02:32:52.4116936,0.1438531,-0.0006737821,0.005742666,-0.005383088,355.1206,6.63719,5.655535,0.1136688,-0.4420384,0.1207586,345.7379,13.36698,346.6222
2018/06/28 - 02:32:52.4236610,0.1554075,-0.0005387813,0.005828136,-0.005285712,355.1246,6.693989,5.602217,0.113659,-0.4420771,0.120718,345.7308,13.36672,346.6266
2018/06/28 - 02:32:52.4336151,0.1664061,-0.0003898777,0.005918203,-0.005131452,355.118,6.729872,5.56117,0.1136466,-0.4421326,0.1206508,345.7263,13.36617,346.6298
2018/06/28 - 02:32:52.4465795,0.1778726,-0.0002402328,0.005988668,-0.005122948,355.121,6.750449,5.495213,0.1136333,-0.4421794,0.120624,345.7257,13.3636,346.6317
2018/06/28 - 02:32:52.4565532,0.1892805,-0.000183709,0.006004951,-0.005196963,355.1415,6.754375,5.515956,0.1136092,-0.4422488,0.1205839,345.728,13.35839,346.6348
