Time (s):,User Points:,Peer Points:,Action type:,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Left Hand Position x:,Left Hand Position y:,Left Hand Position z:,Left Hand rotation x:,Left Hand rotation y:,Left Hand rotation z:
1.077785,-1,0,User missed,-0.8609418,0.3251995,-0.1849006,337.551,56.95387,5.005788,-0.6142189,-0.1649486,-0.1381391,359.1942,41.28926,3.237087
1.333633,-2,0,User missed,-0.8652928,0.3301375,-0.1815925,331.1057,54.89482,6.258207,-0.6120909,-0.1731689,-0.1365244,0.2864476,41.6857,2.421144
1.555797,-3,0,User missed,-0.8680072,0.3319804,-0.1826472,328.0191,54.3855,6.570631,-0.6128192,-0.1795913,-0.1357561,1.026967,41.32107,1.892003
1.766994,-4,0,User missed,-0.8700191,0.332621,-0.1836356,326.7536,54.22379,6.792922,-0.6143427,-0.179386,-0.1345953,0.4699194,41.62678,2.022235
1.978274,-5,0,User missed,-0.8714321,0.3331971,-0.1837954,325.6966,54.03809,6.900729,-0.613695,-0.1768414,-0.1361669,359.2555,42.01223,1.924683
2.189381,-6,0,User missed,-0.8707138,0.3332812,-0.1846201,325.0056,53.93816,6.870626,-0.6121194,-0.1770267,-0.1379622,358.8955,42.09687,1.05161
2.400182,-7,0,User missed,-0.8679587,0.3331722,-0.1855814,324.8871,54.09325,6.632902,-0.6118679,-0.1770816,-0.1393155,358.3279,41.79244,1.04543
2.589372,-8,0,User missed,-0.8657342,0.3329228,-0.1871093,324.8603,54.40207,6.385653,-0.6122676,-0.1773978,-0.1405329,358.0696,41.75624,0.8354548
2.689267,-8,1,Peer hit peer's target,-0.8652728,0.3329013,-0.1878304,324.7603,54.47083,6.314953,-0.6106718,-0.1793048,-0.1401234,359.8916,42.13248,359.9754
2.778311,-9,1,User missed,-0.8651022,0.3329592,-0.1887756,324.6488,54.62278,6.178174,-0.6135259,-0.1777082,-0.1413462,357.6295,41.93791,0.8672876
2.867271,-9,0,Peer missed,-0.8652107,0.3329942,-0.1894224,324.5034,54.5969,6.148892,-0.6110556,-0.1791462,-0.1403453,358.9488,41.48824,0.1633942
2.900335,-9,-1,Peer missed,-0.8652699,0.3330826,-0.1897734,324.4701,54.59386,6.236598,-0.6113542,-0.1789462,-0.1394538,359.7337,41.77357,0.1827129
2.978409,-10,-1,User missed,-0.8655941,0.33325,-0.190522,324.4011,54.4367,6.273423,-0.6146148,-0.1771439,-0.1412964,357.2623,41.51045,1.079399
2.989298,-10,-2,Peer missed,-0.8655941,0.33325,-0.190522,324.4011,54.4367,6.273423,-0.6146148,-0.1771439,-0.1412964,357.2623,41.51045,1.079399
3.044904,-9,-3,Peer hit user's target,-0.8657666,0.3333406,-0.190835,324.4299,54.39565,6.185581,-0.6129222,-0.1780019,-0.1413926,357.7312,40.90923,0.3901386
3.189296,-10,-3,User missed,-0.8662307,0.3335392,-0.1918125,324.3414,54.93392,6.069756,-0.6156315,-0.1760139,-0.1411912,356.8453,40.64228,1.17856
3.378247,-10,-4,Peer missed,-0.8689308,0.3315673,-0.1925934,324.52,52.17406,8.287117,-0.6137637,-0.1765201,-0.1388483,358.5921,40.10675,0.2044799
3.411943,-11,-4,User missed,-0.8693098,0.331235,-0.1942098,324.1507,52.47995,7.893514,-0.615466,-0.1760608,-0.140635,356.9578,40.11343,0.6306857
