Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Left Hand Position x:,Left Hand Position y:,Left Hand Position z:,Left Hand rotation x:,Left Hand rotation y:,Left Hand rotation z:
2018/06/22 - 01:52:33.2280863,0,0.5757769,0.2430795,-0.7259259,21.88967,306.8725,358.5682,0.4230916,-0.2716078,-0.5812597,6.806955,320.0879,358.6746
2018/06/22 - 01:52:33.2410345,0.01017117,0.5756626,0.243046,-0.72678,21.88382,306.8204,358.6184,0.422762,-0.2708779,-0.5812452,6.813438,320.8094,358.767
2018/06/22 - 01:52:33.2490109,0.02408421,0.575499,0.2430184,-0.7276596,21.89062,306.7794,358.6564,0.4223593,-0.2699211,-0.5812595,6.807898,321.4053,358.8321
2018/06/22 - 01:52:33.2609789,0.03349762,0.575296,0.2429956,-0.7285274,21.8827,306.7057,358.6102,0.421828,-0.2688732,-0.5814084,6.710385,321.7922,359.0883
2018/06/22 - 01:52:33.2709527,0.04445727,0.5751112,0.2429318,-0.729346,21.85269,306.6003,358.5892,0.4211074,-0.2677409,-0.5815057,6.586005,322.0465,359.3498
2018/06/22 - 01:52:33.2809262,0.0556021,0.574917,0.2429191,-0.7301511,21.83019,306.5004,358.6139,0.4196858,-0.2665691,-0.5814193,6.75752,321.6864,359.5937
2018/06/22 - 01:52:33.2938917,0.06527094,0.574673,0.2429043,-0.7309659,21.7764,306.4098,358.6574,0.4180137,-0.2655066,-0.5814157,7.132212,321.1417,0.01268943
2018/06/22 - 01:52:33.3048616,0.07772136,0.5743861,0.2429113,-0.7317994,21.72311,306.3275,358.6797,0.416418,-0.2644147,-0.5815571,7.368593,320.8444,0.4648521
2018/06/22 - 01:52:33.3158321,0.08863721,0.5741553,0.2428987,-0.7325616,21.66065,306.1615,358.7309,0.4151124,-0.2631697,-0.5817165,7.268856,320.8711,0.6919871
2018/06/22 - 01:52:33.3258056,0.09953912,0.5738527,0.2428938,-0.7333593,21.60632,306.0432,358.7699,0.4138627,-0.2613554,-0.5820977,6.628919,321.5295,1.579195
2018/06/22 - 01:52:33.3387708,0.1106379,0.5735338,0.2429593,-0.7341821,21.58227,305.8792,358.7267,0.4124951,-0.2598726,-0.5823351,6.410925,321.9751,1.912897
2018/06/22 - 01:52:33.3487443,0.1220429,0.5732075,0.2430519,-0.7349774,21.56372,305.7265,358.7046,0.4108148,-0.2587234,-0.5824747,6.486624,321.8524,1.769302
2018/06/22 - 01:52:33.3706869,0.1330421,0.5728724,0.2430601,-0.735716,21.44579,305.553,358.7395,0.409061,-0.2578962,-0.5833354,6.465037,321.327,1.248364
2018/06/22 - 01:52:33.3796617,0.1546727,0.572472,0.2430519,-0.7364898,21.34568,305.4141,358.7786,0.407376,-0.2569845,-0.5840318,6.329626,320.8119,1.034927
2018/06/22 - 01:52:33.3866437,0.1635295,0.571973,0.2430751,-0.7372561,21.25644,305.2794,358.7797,0.4055697,-0.2560855,-0.5847014,6.256511,320.1726,0.7753546
2018/06/22 - 01:52:33.3946235,0.1712593,0.5715328,0.2430892,-0.7379751,21.16931,305.0865,358.7989,0.4038048,-0.2551844,-0.5853769,6.130281,319.5718,0.5537475
2018/06/22 - 01:52:33.4045950,0.1782816,0.5710384,0.2431342,-0.7387041,21.07718,304.9005,358.8238,0.4018656,-0.2545264,-0.5860345,5.951376,318.8322,0.3819261
2018/06/22 - 01:52:33.4155660,0.1888524,0.5705323,0.2432141,-0.7393957,20.97095,304.6873,358.9032,0.4001352,-0.2541695,-0.5868654,5.815086,318.4604,0.2975231
2018/06/22 - 01:52:33.4255390,0.1993055,0.5700018,0.243272,-0.7400333,20.81285,304.3896,358.9913,0.3984178,-0.2540626,-0.5877357,5.808594,317.898,0.2587052
2018/06/22 - 01:52:33.4375070,0.2104381,0.5693836,0.2433334,-0.7407734,20.64777,304.119,358.9856,0.3972073,-0.2542978,-0.5884902,5.799126,317.1115,0.04281731
2018/06/22 - 01:52:33.4494761,0.221782,0.5688357,0.2433838,-0.7415075,20.55745,303.8121,359.0156,0.3965402,-0.2547036,-0.5890461,5.778455,316.7105,359.5374
2018/06/22 - 01:52:33.4604469,0.2332947,0.5682615,0.2433945,-0.7422814,20.45778,303.5333,359.0621,0.3965599,-0.2555015,-0.5894148,5.823516,316.7815,358.7501
2018/06/22 - 01:52:33.4704383,0.2442369,0.5677697,0.2434473,-0.7430595,20.41526,303.1773,359.0938,0.3966594,-0.2562653,-0.5899261,5.639206,316.8135,357.9331
2018/06/22 - 01:52:33.4813902,0.2548567,0.5673351,0.2434752,-0.7438776,20.35324,302.803,359.1419,0.3971343,-0.2567144,-0.5909584,5.079457,316.7116,356.9644
2018/06/22 - 01:52:33.4923604,0.2658883,0.5669184,0.2435774,-0.7446669,20.27497,302.401,359.1829,0.3976055,-0.2566988,-0.5922709,4.011862,316.2502,356.3564
2018/06/22 - 01:52:33.5043287,0.2765928,0.5665575,0.2438253,-0.7455031,20.18014,302.0017,359.2277,0.3981783,-0.256631,-0.5934289,3.226617,316.0343,355.8954
2018/06/22 - 01:52:33.5143022,0.2887201,0.5662231,0.2440892,-0.7463375,20.02884,301.6039,359.2619,0.3985367,-0.256513,-0.5945722,2.655691,315.781,355.6064
2018/06/22 - 01:52:33.5252724,0.2981358,0.566076,0.2443871,-0.747169,19.79742,301.1624,359.252,0.3984948,-0.2565089,-0.5956702,2.421746,315.2615,355.4097
2018/06/22 - 01:52:33.5372415,0.30974,0.5659692,0.2447083,-0.748049,19.59519,300.7914,359.2547,0.3981437,-0.2566882,-0.5968066,2.448602,314.6734,355.3065
2018/06/22 - 01:52:33.5482108,0.3212543,0.566033,0.2450945,-0.7489814,19.39492,300.4372,359.2168,0.3976873,-0.2570044,-0.5978907,2.443366,314.1924,355.2878
2018/06/22 - 01:52:33.5602690,0.3326793,0.5661848,0.24551,-0.7498991,19.13798,300.0456,359.1835,0.3970182,-0.2575875,-0.5986941,2.661066,313.7271,355.2235
2018/06/22 - 01:52:33.5702226,0.3439035,0.5663075,0.2460076,-0.750811,18.85628,299.6486,359.1207,0.3963887,-0.2581686,-0.5994672,2.961975,313.2779,355.1136
