Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,User Points:,Peer Points:,Action type:,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Left Hand Position x:,Left Hand Position y:,Left Hand Position z:,Left Hand rotation x:,Left Hand rotation y:,Left Hand rotation z:
2018/06/22 - 01:52:35.6955856,2.467047,0,0,User missed,0.5881485,0.254176,-0.7813691,12.43414,286.151,358.2186,0.4277682,-0.2228497,-0.6292163,6.380506,281.8756,3.078966
2018/06/22 - 01:52:35.9828120,2.754524,0,0,User missed,0.5878982,0.250022,-0.7673015,15.02149,294.5833,359.1509,0.434377,-0.232504,-0.6036333,10.3626,294.1929,6.030182
2018/06/22 - 01:52:36.2610680,3.033204,0,0,User missed,0.5926493,0.2486769,-0.7524166,15.46086,306.4671,0.2206172,0.4459155,-0.2333722,-0.5597377,12.02878,304.351,6.983543
2018/06/22 - 01:52:36.4834735,3.255151,1,0,User hit user's target,0.600134,0.2513732,-0.7433122,13.37813,316.3724,1.336875,0.4642949,-0.2211784,-0.5098804,10.38315,315.4128,6.469286
2018/06/22 - 01:52:37.7949984,4.567134,2,0,User hit user's target,0.5782852,0.2518307,-0.803717,12.0239,275.0365,357.8285,0.4314987,-0.195847,-0.7024179,15.38315,270.0055,2.175557
2018/06/22 - 01:52:38.4951872,5.267266,3,0,User hit user's target,0.5836509,0.2594453,-0.774921,8.395617,300.6765,357.9818,0.4624516,-0.1875966,-0.5477148,12.74391,312.0664,9.673585
2018/06/22 - 01:52:40.4708564,7.244884,4,0,User hit user's target,0.5746968,0.2577008,-0.8171309,6.790926,270.9493,358.5454,0.442633,-0.19178,-0.70424,13.45855,270.3819,27.54103
2018/06/22 - 01:52:44.9399317,11.71222,5,0,User hit user's target,0.6099071,0.2733689,-0.7678715,356.0129,307.9538,357.6135,0.4817837,-0.1005461,-0.6107705,347.2009,298.0282,10.27592
2018/06/22 - 01:52:46.5276372,13.30029,6,0,User hit user's target,0.6079893,0.2726322,-0.7796043,356.916,307.3108,357.2029,0.5061291,-0.122847,-0.5407958,352.2132,320.6921,6.972673
2018/06/22 - 01:52:47.9621463,14.73346,7,0,User hit user's target,0.6081125,0.2736212,-0.7791104,355.5136,299.0947,356.8561,0.4753204,-0.1182585,-0.6487194,348.0551,291.9207,20.34495
