Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Left Hand Position x:,Left Hand Position y:,Left Hand Position z:,Left Hand rotation x:,Left Hand rotation y:,Left Hand rotation z:
2018/06/22 - 01:52:53.6630801,15.00019,0.5998947,0.259843,-0.7628112,2.167329,303.7253,357.4796,0.4924449,-0.1216202,-0.6109326,347.0077,299.1246,18.65163
2018/06/22 - 01:52:53.6750486,15.01122,0.5998558,0.2598222,-0.7626969,2.151043,303.7174,357.4678,0.4925297,-0.1217587,-0.6122284,347.0265,298.3559,18.79424
2018/06/22 - 01:52:53.6850201,15.0231,0.5998186,0.2598238,-0.762604,2.161622,303.7156,357.4596,0.4925774,-0.1217658,-0.6137121,346.61,298.7046,19.53846
2018/06/22 - 01:52:53.6969884,15.03426,0.5997882,0.2598266,-0.7625099,2.173906,303.7166,357.4642,0.4924591,-0.1216895,-0.6148395,346.2647,298.5294,19.93737
2018/06/22 - 01:52:53.7059641,15.04534,0.5997534,0.2598147,-0.7624072,2.172425,303.7101,357.461,0.4921088,-0.1215394,-0.6157526,346.2298,297.7494,20.12848
2018/06/22 - 01:52:53.7179335,15.05574,0.5997131,0.2598041,-0.7623102,2.182935,303.7268,357.4502,0.4920192,-0.1214757,-0.616509,346.2297,297.5638,20.32002
2018/06/22 - 01:52:53.7289031,15.06688,0.5996878,0.2597792,-0.7622234,2.194168,303.7418,357.4445,0.4918641,-0.1213235,-0.6167945,346.1245,298.025,20.4653
2018/06/22 - 01:52:53.7428656,15.07834,0.5996683,0.2597401,-0.7621248,2.209982,303.7565,357.4357,0.4917665,-0.1212208,-0.6169056,346.1172,298.3912,20.41946
2018/06/22 - 01:52:53.7538364,15.09156,0.599648,0.259717,-0.7620766,2.217122,303.7621,357.4238,0.4916333,-0.1211553,-0.6167235,346.2604,298.8008,20.25267
2018/06/22 - 01:52:53.7707916,15.10204,0.5996017,0.2596715,-0.7619773,2.244522,303.7947,357.4307,0.491395,-0.1211466,-0.616428,346.5676,299.0839,19.97107
2018/06/22 - 01:52:53.7807642,15.11932,0.5995627,0.2596545,-0.7619438,2.239892,303.8049,357.4261,0.4910111,-0.1213215,-0.6162701,347.2156,299.1063,19.40134
2018/06/22 - 01:52:53.7887449,15.12863,0.5995364,0.2596411,-0.761919,2.234283,303.8032,357.4284,0.490698,-0.1214305,-0.6162911,347.6184,298.6458,19.06729
2018/06/22 - 01:52:53.7987181,15.13818,0.599497,0.2596397,-0.7618896,2.250481,303.8052,357.4155,0.4905239,-0.1215432,-0.6164389,347.913,298.2023,18.84615
2018/06/22 - 01:52:53.8086895,15.14752,0.5994573,0.2596265,-0.761875,2.242977,303.7982,357.4114,0.4905944,-0.1216787,-0.6167287,347.8538,297.9495,18.70443
2018/06/22 - 01:52:53.8266420,15.15827,0.599403,0.2596233,-0.7618676,2.236959,303.784,357.4116,0.4906549,-0.1217814,-0.6170531,347.6029,298.0465,18.7987
2018/06/22 - 01:52:53.8346209,15.16978,0.5993134,0.2596363,-0.7618803,2.232521,303.7374,357.4029,0.4905959,-0.1216861,-0.6169087,347.3832,298.3661,19.11964
2018/06/22 - 01:52:53.8445938,15.18317,0.5992317,0.2596195,-0.7618942,2.220525,303.7221,357.4306,0.4900937,-0.1220797,-0.6175405,347.3749,298.4818,19.45637
2018/06/22 - 01:52:53.8575594,15.19382,0.5991742,0.2596464,-0.7619352,2.247085,303.6577,357.422,0.4898783,-0.1222299,-0.6175303,347.462,298.6289,19.54499
2018/06/22 - 01:52:53.8675329,15.20552,0.5991149,0.2596561,-0.762006,2.286794,303.5678,357.423,0.4898904,-0.1223175,-0.6172464,347.4969,298.8948,19.37088
2018/06/22 - 01:52:53.8814951,15.21686,0.5990116,0.2595949,-0.762051,2.253068,303.5674,357.4151,0.490023,-0.1223645,-0.616734,347.4769,299.3056,18.93441
2018/06/22 - 01:52:53.8904714,15.23034,0.5989063,0.2595682,-0.7621129,2.286701,303.4759,357.4191,0.4901096,-0.1224669,-0.6162138,347.5573,299.5732,18.44301
2018/06/22 - 01:52:53.9034366,15.23983,0.5987361,0.2595114,-0.7622567,2.306162,303.2856,357.3714,0.4901088,-0.1226503,-0.6159207,347.6937,299.606,17.96609
2018/06/22 - 01:52:53.9144088,15.25224,0.5985538,0.2594765,-0.7624123,2.320405,303.0982,357.3526,0.4900913,-0.1228783,-0.6159951,347.7574,299.4448,17.63625
2018/06/22 - 01:52:53.9253781,15.26341,0.598323,0.2594881,-0.7626148,2.288045,302.9639,357.3298,0.4898809,-0.1231071,-0.6165045,347.7764,298.9556,17.31582
2018/06/22 - 01:52:53.9373464,15.27503,0.5981191,0.2595034,-0.7628161,2.241756,302.801,357.2989,0.4894348,-0.1233996,-0.6174007,347.9239,298.227,17.05367
2018/06/22 - 01:52:53.9483169,15.286,0.597962,0.2595966,-0.763003,2.183301,302.5411,357.2294,0.4886633,-0.1238218,-0.6188813,348.305,297.2796,16.76345
2018/06/22 - 01:52:53.9602860,15.29805,0.597814,0.2597661,-0.7632427,2.097086,302.3597,357.2343,0.4876859,-0.1242623,-0.6206846,348.8266,296.4596,16.25937
2018/06/22 - 01:52:53.9712786,15.30929,0.5978011,0.260098,-0.763485,2.023272,302.1129,357.2335,0.4867563,-0.1246059,-0.622682,349.3087,295.7918,15.73334
2018/06/22 - 01:52:53.9832424,15.32057,0.597798,0.2603378,-0.7637308,1.864542,301.9416,357.287,0.4859122,-0.1248187,-0.6249313,349.619,295.4952,15.21439
2018/06/22 - 01:52:53.9951928,15.33172,0.5978061,0.2606651,-0.7640571,1.693012,301.7991,357.2433,0.4850304,-0.1249258,-0.6278673,349.7267,295.5123,14.89368
2018/06/22 - 01:52:54.0041678,15.34322,0.5978981,0.2610658,-0.7643985,1.585545,301.6319,357.1744,0.4840664,-0.1250935,-0.6314865,349.7264,295.5907,14.93823
2018/06/22 - 01:52:54.0171323,15.35399,0.59804,0.2614495,-0.7648231,1.445653,301.5081,357.1428,0.4829439,-0.1253326,-0.6354246,349.8947,295.8359,15.15829
2018/06/22 - 01:52:54.0271274,15.3653,0.5982075,0.2618031,-0.7652665,1.206631,301.3733,357.1155,0.4818304,-0.1256098,-0.6394768,349.996,295.9838,15.40154
2018/06/22 - 01:52:54.0390743,15.37654,0.5984381,0.2622615,-0.7657953,1.087047,301.2574,357.092,0.4808907,-0.1259013,-0.6435958,349.9772,296.1543,15.65398
2018/06/22 - 01:52:54.0540563,15.38799,0.5987657,0.2627097,-0.7664976,0.937978,301.1448,357.0703,0.4800912,-0.126293,-0.6477985,349.8487,296.1804,15.7551
2018/06/22 - 01:52:54.0625521,15.40213,0.5991518,0.2631068,-0.7671641,0.7678298,300.9946,357.1095,0.4791491,-0.1269041,-0.6519839,349.8175,295.8928,15.5661
2018/06/22 - 01:52:54.0715306,15.41223,0.5995257,0.2635483,-0.7678514,0.6087028,300.8542,357.0824,0.4780467,-0.1276152,-0.6559259,349.9111,295.5599,15.31636
2018/06/22 - 01:52:54.0834966,15.42107,0.5999113,0.264011,-0.7685847,0.357478,300.7303,357.0829,0.4767536,-0.128475,-0.6598158,350.0416,295.169,15.18513
2018/06/22 - 01:52:54.0944676,15.43214,0.6002504,0.2644533,-0.7692245,359.9841,300.5768,357.1035,0.4751904,-0.129553,-0.6636347,350.2353,294.7013,15.30663
2018/06/22 - 01:52:54.1054398,15.44331,0.6005664,0.2649644,-0.7698972,359.6065,300.4322,357.1282,0.4735636,-0.1307599,-0.667248,350.4639,294.4409,15.54375
2018/06/22 - 01:52:54.1174274,15.45466,0.6007433,0.2654208,-0.7705848,359.1515,300.3282,357.1183,0.4718051,-0.1321227,-0.6703162,350.7884,294.5789,15.73155
2018/06/22 - 01:52:54.1273804,15.46568,0.6010551,0.2659359,-0.77124,358.8116,300.1235,357.1337,0.4700862,-0.133632,-0.6732779,351.0409,294.8251,15.65711
2018/06/22 - 01:52:54.1393484,15.47682,0.6012636,0.2664412,-0.7719749,358.4975,299.9946,357.1512,0.4680968,-0.135503,-0.6761463,351.394,295.1908,15.27186
2018/06/22 - 01:52:54.1503189,15.48772,0.6016557,0.2669865,-0.7727123,358.2631,299.7772,357.2038,0.4657189,-0.137648,-0.6794822,351.8015,295.7216,15.08871
2018/06/22 - 01:52:54.1618099,15.49977,0.6020992,0.2676164,-0.7735313,358.041,299.5794,357.1886,0.4629149,-0.1399271,-0.6836761,352.4258,296.5044,15.58005
2018/06/22 - 01:52:54.1717834,15.51013,0.6025563,0.268151,-0.7743217,357.6865,299.4039,357.2412,0.4600494,-0.1420693,-0.6886488,353.2199,297.0748,16.59998
2018/06/22 - 01:52:54.1837517,15.52102,0.6031328,0.2687678,-0.7750824,357.3132,299.1823,357.3,0.4568869,-0.1437764,-0.6944137,354.3274,297.4364,18.09217
2018/06/22 - 01:52:54.1947227,15.53202,0.6036677,0.2694674,-0.7758506,356.8896,299.0277,357.3192,0.4548715,-0.1453667,-0.7012886,354.7458,297.2227,19.92369
2018/06/22 - 01:52:54.2046950,15.54319,0.6042259,0.2702924,-0.7765432,356.3296,298.8867,357.368,0.4537357,-0.1466091,-0.708406,354.6268,295.7002,21.41915
2018/06/22 - 01:52:54.2176614,15.55449,0.6047645,0.2711545,-0.7771875,355.6655,298.7694,357.3687,0.4528363,-0.1475011,-0.7147796,355.0341,294.0152,22.14391
2018/06/22 - 01:52:54.2276341,15.56593,0.6053149,0.2719769,-0.7777707,355.0392,298.6426,357.4136,0.4523918,-0.1479281,-0.7204524,355.899,292.4815,21.98148
2018/06/22 - 01:52:54.2435917,15.57728,0.6058746,0.272775,-0.778294,354.4472,298.5568,357.455,0.4525366,-0.1477888,-0.7255147,356.9474,291.0787,20.89683
2018/06/22 - 01:52:54.2525679,15.59038,0.6064494,0.2736117,-0.7788678,353.9825,298.4741,357.4056,0.4528467,-0.1475291,-0.7304878,357.9743,289.5498,19.60544
2018/06/22 - 01:52:54.2625405,15.60188,0.6069955,0.2743328,-0.7793685,353.4806,298.3783,357.429,0.4533354,-0.1473013,-0.7357364,358.8634,288.0118,18.66278
2018/06/22 - 01:52:54.2725140,15.61056,0.6074983,0.2749945,-0.7798378,353.0354,298.3561,357.4474,0.4539385,-0.146896,-0.7411849,358.8301,286.8867,17.88865
2018/06/22 - 01:52:54.2844826,15.62162,0.6080415,0.2756995,-0.7803044,352.663,298.3167,357.4431,0.454818,-0.1464868,-0.7466421,357.982,286.3238,17.81103
2018/06/22 - 01:52:54.2954713,15.63309,0.6084511,0.2763124,-0.7807355,352.2609,298.3226,357.3913,0.4556852,-0.1465236,-0.7520198,356.652,285.6843,18.76173
2018/06/22 - 01:52:54.3054271,15.64385,0.6088175,0.2769007,-0.7810451,351.8343,298.3247,357.4597,0.4560755,-0.1469438,-0.7571179,355.8947,285.4839,20.32999
2018/06/22 - 01:52:54.3173937,15.65507,0.6091638,0.2774853,-0.7813246,351.4315,298.2906,357.4875,0.4561825,-0.1476828,-0.7609009,355.894,285.5376,21.54624
2018/06/22 - 01:52:54.3273894,15.66606,0.609521,0.2780167,-0.7816182,351.0524,298.2656,357.5417,0.4561356,-0.1484788,-0.7638207,356.2914,285.1896,21.54116
2018/06/22 - 01:52:54.3393352,15.67698,0.6098333,0.2784231,-0.7818071,350.6912,298.2401,357.682,0.4558181,-0.1493649,-0.7656575,357.0192,284.4167,20.47461
2018/06/22 - 01:52:54.3493087,15.68812,0.6101438,0.2788721,-0.7820204,350.3602,298.2196,357.7433,0.4553532,-0.1502626,-0.7668166,357.886,283.484,19.36729
2018/06/22 - 01:52:54.3632718,15.69904,0.6104671,0.2792757,-0.7821838,350.1337,298.1971,357.7942,0.4551555,-0.1506745,-0.7672727,357.838,284.6586,19.90691
2018/06/22 - 01:52:54.3742425,15.71178,0.6106372,0.2796016,-0.7821864,349.7231,298.1971,358.0129,0.4552508,-0.1498529,-0.7651838,356.2058,287.4139,20.54914
2018/06/22 - 01:52:54.3822351,15.72319,0.6109294,0.2799985,-0.7822162,349.3814,298.1779,358.1256,0.4552417,-0.148884,-0.7632494,354.8302,288.5217,20.87902
2018/06/22 - 01:52:54.3951867,15.73222,0.6111203,0.280296,-0.7823079,349.1561,298.1738,358.0695,0.4546418,-0.1487354,-0.7612197,354.8572,288.0762,21.75805
2018/06/22 - 01:52:54.4051608,15.74357,0.611257,0.2804589,-0.7822453,348.8477,298.1358,358.1177,0.4537677,-0.1493644,-0.7591403,355.8405,287.2754,22.14647
2018/06/22 - 01:52:54.4171274,15.7545,0.6114579,0.2807867,-0.7822409,348.5835,298.163,358.1844,0.4523668,-0.1504958,-0.7561349,357.6634,286.7859,21.29241
2018/06/22 - 01:52:54.4280978,15.76597,0.6116822,0.2810816,-0.782092,348.3568,298.099,358.2664,0.4513897,-0.1514752,-0.7525716,359.0388,286.6139,19.44844
2018/06/22 - 01:52:54.4400664,15.77723,0.61187,0.2812798,-0.7820245,348.1786,298.0762,358.2739,0.450637,-0.1522303,-0.7487483,0.2558205,286.5931,17.10072
2018/06/22 - 01:52:54.4500393,15.78857,0.6120955,0.2814035,-0.7819077,347.9901,298.0271,358.3138,0.4500335,-0.1528461,-0.7457156,1.159542,286.6908,15.23158
2018/06/22 - 01:52:54.4620076,15.79915,0.6123221,0.2815875,-0.7818266,347.8788,298.0139,358.2376,0.4496432,-0.1534048,-0.7439055,1.779941,286.8603,14.16967
2018/06/22 - 01:52:54.4729781,15.8105,0.6125178,0.2817366,-0.7816821,347.6933,298.0389,358.2524,0.4492933,-0.1539118,-0.7432063,2.169217,287.0087,13.90678
2018/06/22 - 01:52:54.4839488,15.82183,0.6127372,0.2819893,-0.781606,347.5499,298.072,358.164,0.4490798,-0.1542172,-0.7437098,2.329623,286.9458,14.25694
2018/06/22 - 01:52:54.4959171,15.83228,0.6129811,0.2821921,-0.7814811,347.3333,298.0538,358.0561,0.4490866,-0.1543387,-0.744589,2.175089,286.7577,14.57388
2018/06/22 - 01:52:54.5058914,15.84438,0.6132267,0.2823734,-0.7814041,347.1369,298.123,358.0193,0.4492972,-0.1539393,-0.7461267,1.758054,286.6303,15.19068
2018/06/22 - 01:52:54.5168707,15.85539,0.6135544,0.2825542,-0.7813652,346.9735,298.1462,357.9797,0.4495788,-0.1533198,-0.7476357,1.157335,286.7195,15.67719
2018/06/22 - 01:52:54.5278412,15.86579,0.613934,0.2826767,-0.781319,346.8163,298.1459,357.9642,0.4497826,-0.1523466,-0.7493723,0.5332133,286.7924,16.00819
2018/06/22 - 01:52:54.5407999,15.87765,0.6142865,0.282775,-0.7813359,346.6805,298.1744,357.9489,0.449843,-0.1514847,-0.7510636,0.1212949,286.6164,15.98436
2018/06/22 - 01:52:54.5497909,15.88986,0.6145462,0.2828503,-0.7813112,346.4843,298.2228,357.9533,0.4495784,-0.1507463,-0.752489,0.3153489,286.0985,15.27808
2018/06/22 - 01:52:54.5617421,15.89899,0.6148278,0.2830165,-0.7813011,346.3565,298.2343,357.9568,0.4493499,-0.1501136,-0.7536752,0.6867608,285.2896,14.24547
