Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,User Points:,Peer Points:,Action type:,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Left Hand Position x:,Left Hand Position y:,Left Hand Position z:,Left Hand rotation x:,Left Hand rotation y:,Left Hand rotation z:
2018/06/22 - 01:52:48.3848591,15.00019,0,0,User missed,0.6118788,0.27371,-0.7755359,355.5963,304.7533,357.1539,0.4915122,-0.1184584,-0.5735545,352.8063,312.4265,14.31373
2018/06/22 - 01:52:53.6507844,15.00019,0,0,User missed,0.5999145,0.2598244,-0.7628857,2.151866,303.7235,357.4834,0.4922836,-0.1214824,-0.6102533,347.2316,299.5361,18.36171
2018/06/22 - 01:52:53.9493141,15.29805,0,1,Peer hit peer's target,0.597962,0.2595966,-0.763003,2.183301,302.5411,357.2294,0.4886633,-0.1238218,-0.6188813,348.305,297.2796,16.76345
2018/06/22 - 01:52:55.6184686,16.96638,0,2,Peer hit peer's target,0.6290213,0.2915023,-0.7842041,341.5987,304.1406,357.2894,0.5103124,-0.004634296,-0.6169968,336.51,312.4508,2.339246
2018/06/22 - 01:52:55.7741048,17.11189,0,2,User missed,0.638586,0.2931091,-0.7802876,341.015,311.6942,355.8855,0.5414817,0.017221,-0.5609933,335.7844,323.2561,359.0059
2018/06/22 - 01:52:56.1520782,17.48855,1,2,User hit user's target,0.6570327,0.2933272,-0.7672148,342.0941,326.23,352.5555,0.5981437,0.02812581,-0.5068941,330.79,344.6306,357.7007
2018/06/22 - 01:52:56.5051226,17.85398,1,3,Peer hit peer's target,0.6641588,0.292086,-0.7599651,343.2272,333.4737,352.9634,0.6277636,0.02717064,-0.4846948,329.9948,346.1329,1.95739
2018/06/22 - 01:52:56.8164708,18.15391,0,3,User missed,0.6675093,0.2871166,-0.754446,347.5493,342.9198,352.7375,0.6638379,-0.04681043,-0.4116487,352.8892,358.9735,2.823153
2018/06/22 - 01:52:57.2416905,18.57746,1,3,User hit user's target,0.6834059,0.2747392,-0.7467743,357.9837,356.9622,353.3077,0.7361688,-0.1338902,-0.3575912,15.93207,7.126519,3.311055
2018/06/22 - 01:52:59.0403882,20.38802,1,2,Peer missed,0.6098068,0.2792666,-0.801177,352.6348,304.7076,1.217108,0.521712,-0.09897643,-0.6174418,354.0196,305.6299,18.15427
2018/06/22 - 01:53:00.4497606,21.78829,2,2,User hit user's target,0.5818938,0.2643404,-0.798067,1.796634,293.6003,358.5587,0.4756679,-0.1797196,-0.6610585,11.7379,291.133,21.23083
2018/06/22 - 01:53:00.5514834,21.90006,2,1,Peer missed,0.583015,0.2637991,-0.7941918,1.992072,295.9445,358.2686,0.4810665,-0.168247,-0.6504643,8.654455,291.7286,17.70448
2018/06/22 - 01:53:00.7619220,22.11002,2,0,Peer missed,0.5885817,0.2681101,-0.7926771,359.7976,296.8555,358.1848,0.4920388,-0.1453176,-0.6529319,2.615787,290.6161,17.42167
2018/06/22 - 01:53:02.8730147,24.21044,3,0,User hit user's target,0.5857949,0.2682332,-0.8069441,359.3116,290.1499,1.05967,0.488932,-0.1600785,-0.6775184,7.106441,284.951,20.9658
2018/06/22 - 01:53:04.0163261,25.3647,3,1,Peer hit peer's target,0.5896729,0.2674468,-0.7945862,359.7198,298.3452,0.5636829,0.5100785,-0.1070452,-0.6444889,353.0691,293.7578,16.65294
2018/06/22 - 01:53:04.0392828,25.38756,3,2,Peer hit peer's target,0.590371,0.2673993,-0.792616,359.9611,300.441,0.6484031,0.5114072,-0.1060544,-0.6315902,353.0347,297.4454,15.44937
2018/06/22 - 01:53:04.3614038,25.6988,4,2,User hit user's target,0.6214849,0.2659515,-0.7591581,1.348624,339.7,0.7012295,0.6448624,-0.1170704,-0.381229,4.597317,354.3321,12.78852
2018/06/22 - 01:53:04.4751174,25.823,4,3,Peer hit peer's target,0.6314164,0.2651044,-0.753585,1.934735,345.4906,359.8402,0.6730626,-0.1167093,-0.3651549,4.006142,359.489,14.91836
2018/06/22 - 01:53:04.9283434,26.27684,4,4,Peer hit peer's target,0.6246851,0.2692049,-0.7606228,0.4018184,329.2955,359.0164,0.592836,-0.09850924,-0.45433,357.7849,337.2312,8.781739
2018/06/22 - 01:53:05.6727065,27.01061,3,4,User missed,0.5994705,0.264263,-0.7900357,3.056578,307.6418,359.3682,0.4962079,-0.1980187,-0.5974078,14.05407,307.4707,16.10316
2018/06/22 - 01:53:06.1643770,27.51088,3,5,Peer hit peer's target,0.6023426,0.2668045,-0.783294,1.490434,308.5677,358.7563,0.4889903,-0.1190893,-0.5963722,0.3601514,303.3681,9.406664
2018/06/22 - 01:53:06.3279577,27.66593,4,5,User hit user's target,0.6034569,0.2709378,-0.7874866,358.4185,304.0069,358.0791,0.490211,-0.07380553,-0.6325672,352.3043,292.077,10.35654
2018/06/22 - 01:53:07.4074770,28.75519,4,6,Peer hit peer's target,0.6393476,0.2995638,-0.8077148,334.6185,306.4794,357.4242,0.5974265,0.03894142,-0.642383,318.1625,313.809,4.123678
2018/06/22 - 01:53:07.9052081,29.24339,5,6,User hit user's target,0.6326517,0.2988994,-0.8274186,335.8593,296.0045,0.7262853,0.5354499,-0.0128157,-0.7148019,335.3461,285.6358,15.32628
2018/06/22 - 01:53:08.6408650,29.97854,6,6,User hit user's target,0.6238235,0.2875463,-0.7974798,345.9799,319.8069,358.5873,0.5700203,-0.02868953,-0.5435705,342.8144,323.185,10.52671
