Time (s):,User Points:,Peer Points:,Action type:,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
1.776315,0,1,Peer hit peer's target,0.503794,0.7672466,-0.9034198,16.61871,351.7161,359.8213,0.4635514,0.4742998,-0.4995421,344.0361,312.1293,303.4722
3.688518,1,1,User hit user's target,0.4843733,0.7858179,-0.9019998,2.823386,314.1387,357.7563,0.2976851,0.519754,-0.5959146,356.6064,313.5297,356.667
4.299393,1,2,Peer hit peer's target,0.4785666,0.7904696,-0.9045938,358.6487,303.5652,357.3719,0.233364,0.5542271,-0.6550738,353.2327,299.4443,358.0157
5.122084,2,2,User hit user's target,0.5350368,0.8196023,-0.929234,340.0157,315.1189,353.71,0.3054917,0.7661508,-0.5814691,331.558,321.191,348.6336
5.155476,2,3,Peer hit peer's target,0.5358531,0.8198922,-0.9288037,340.1768,316.717,353.7584,0.3140568,0.7660181,-0.5756937,331.7704,320.9109,348.8196
7.822589,2,4,Peer hit peer's target,0.4378442,0.7955291,-0.9474595,4.321081,34.04686,1.463119,0.6011865,0.5595949,-0.5635531,352.4307,26.82304,0.03457614
8.922515,3,4,User hit user's target,0.3649434,0.7930783,-0.9615795,356.5435,97.71088,2.131973,0.8751758,0.5186,-1.017716,4.566592,98.39036,358.3468
11.20066,4,4,User hit user's target,0.4290991,0.8313089,-0.9816571,342.6214,347.5616,358.4048,0.3764207,0.736213,-0.5588446,339.0209,349.7332,352.3672
11.80107,4,5,Peer hit peer's target,0.4238301,0.8230395,-0.9784071,348.8741,351.033,357.6304,0.3923784,0.6394999,-0.5513679,350.9079,349.3547,353.2076
11.96738,4,6,Peer hit peer's target,0.4199922,0.8265667,-0.9873587,346.2573,343.4963,359.2135,0.3348726,0.6503506,-0.5763217,348.316,342.878,355.0331
12.52312,5,6,User hit user's target,0.4454432,0.826928,-0.9873384,345.2767,336.8951,357.7231,0.2963516,0.6779997,-0.586106,344.1221,339.0995,354.8883
13.95513,6,6,User hit user's target,0.4832901,0.7988772,-0.9516246,1.867034,45.80943,358.1795,0.8053312,0.5783884,-0.609803,357.8435,50.50535,355.429
15.20066,6,7,Peer hit peer's target,0.4396712,0.8264716,-0.9547778,345.5456,347.8157,1.11144,0.4058349,0.7773451,-0.5396116,332.6205,359.2563,354.3567
15.78942,7,7,User hit user's target,0.4797843,0.8302044,-0.9660291,343.5691,22.60188,355.2441,0.7476668,0.8240528,-0.574962,337.2264,41.07285,345.1631
15.8672,7,8,Peer hit peer's target,0.4814085,0.8292502,-0.9706037,343.9514,27.51346,354.0758,0.7832596,0.8119615,-0.5906901,338.6999,45.41869,345.6895
17.18993,8,8,User hit user's target,0.4534972,0.8264614,-0.9554362,347.8043,350.1146,1.16562,0.4503781,0.7229682,-0.4785881,345.1326,3.005013,355.8012
17.3674,8,9,Peer hit peer's target,0.4620667,0.8286741,-0.9608543,345.8602,1.340443,359.1089,0.5345579,0.7552512,-0.4874033,343.659,13.22398,352.0152
18.1784,8,10,Peer hit peer's target,0.4176709,0.8091363,-1.022475,355.1656,98.94714,357.4604,0.9216637,0.6077756,-1.157655,357.3305,122.1241,355.071
18.4227,9,10,User hit user's target,0.4214685,0.7881574,-1.035895,6.05788,114.7389,0.1164612,0.8514371,0.4159571,-1.287575,25.01901,134.6407,4.582901
20.76738,9,11,Peer hit peer's target,0.1629467,0.1509261,-0.9482733,339.8461,106.7694,175.4317,0.4096571,0.2406729,-0.8231849,21.83889,312.2212,3.786101
22.94599,9,12,Peer hit peer's target,0.1817314,-0.03595514,-1.038688,4.614733,93.5791,215.4736,0.676929,-0.02895362,-0.7486938,46.28188,341.8723,39.82552
26.29042,9,13,Peer hit peer's target,0.5859599,0.07949099,0.3246781,3.206346,257.5443,350.5584,0.6252096,0.07058794,0.468294,349.2553,339.3727,53.94167
27.65757,9,14,Peer hit peer's target,0.5875005,0.08139261,0.3304342,1.259767,259.8373,349.9423,0.6511148,-0.09635006,0.4890629,323.4257,327.6782,102.9297
